Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Fine Nine","Bear's Den > Lane Prospect Area > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/113377366/fine-nine,4.0,-1,"Trad, Alpine",5.9+,1,75,61.84414,-149.23615
"Orangutan Overhang","The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106207126/orangutan-overhang,3.5,-1,Trad,5.9+,2,220,61.82504,-149.24309
"Birds of Prey","Birds of Prey > Reed Lakes Bouldering and Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/113098033/birds-of-prey,3.6,-1,"Trad, Alpine",5.9+,1,90,61.83098,-149.18136
Afterglow,"Afterglow walls > Byers Lake > Fairbanks and Vicinity > Alaska",https://www.mountainproject.com/route/121263939/afterglow,4.0,-1,Trad,5.9+,4,400,62.72556,-150.09276
"8 Seconds to Glory","PBR Wall > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/119971473/8-seconds-to-glory,3.5,-1,"Trad, Boulder","5.9+ V3+",3,240,61.81168,-149.24492
"Texas Heatwave","Dew Mound - Lower Wall > Dew Mound > Eagle River > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/122736656/texas-heatwave,4.0,-1,"Sport, Boulder","5.9+ V2",1,90,61.20459,-149.25232
"Broken Promises","Dew Mound - Lower Wall > Dew Mound > Eagle River > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/122658847/broken-promises,4.0,-1,"Sport, Boulder","5.9+ V3",1,50,61.20459,-149.25232
Timeless,"The Wedge > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/110787215/timeless,3.7,-1,"Trad, Alpine",5.9+,2,210,61.07919,-149.58605
"Rainbow Crack","Green Gully > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/109154032/rainbow-crack,3.2,-1,Trad,5.9+,2,130,61.81376,-149.24389
Goldmine,"Black Lakes Crag > Skagway > Southeastern Alaska/Coastal Range > Alaska",https://www.mountainproject.com/route/112088266/goldmine,3.5,-1,Trad,5.9+,1,120,59.50367,-135.25976
"The RP boys","The Jungle Gym > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/108342086/the-rp-boys,3.3,-1,Trad,5.9+,1,70,61.82171,-149.24834
Zigzag,"The Monolith > Archangel Valley Sport and Traditional Climbing > Hatcher Pass > Anchorage & South Central Alaska > Alaska",https://www.mountainproject.com/route/106831834/zigzag,2.6,-1,"Trad, Sport",5.9+,1,80,61.82504,-149.24309
"Dear, Kentucky Pete","Swamp Land > Pipeline Area > Finger Mountain > Northern Alaska/Brooks Range > Alaska",https://www.mountainproject.com/route/119052776/dear-kentucky-pete,3.5,-1,TR,5.9+,1,35,66.37434,-150.49209
