Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Two Kings And A Pawn","4 - Queen > Chessman Area > 2 - Bear Canyon > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/106768707/two-kings-and-a-pawn,3.8,-1,Sport,5.11b,1,85,32.36032,-110.71983
Vertebrae,"1. The Left Wall > The Waterfall > Oak Creek Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105852465/vertebrae,3.7,-1,Trad,5.11b,1,80,34.9318,-111.73386
Mulva,"East Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106179825/mulva,3.5,-1,Sport,5.11b,1,90,34.94209,-110.6632
Homeostasis,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112914002/homeostasis,3.4,-1,Sport,5.11b,1,150,36.65703,-114.00822
"16 Weeks","North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110535318/16-weeks,3.5,-1,Sport,5.11b,1,70,35.30713,-111.70502
"Space Cowboys","The Planetarium > West Twin Butte > Twin Butte > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/105881746/space-cowboys,3.3,-1,Sport,5.11b,1,90,34.83432,-111.76848
"Bro Job","West Side > Winslow Wall > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106179914/bro-job,3.1,-1,Sport,5.11b,1,75,34.94209,-110.6632
"The Soft Parade","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106096694/the-soft-parade,3.0,-1,Sport,5.11b,1,85,33.3104,-111.06756
"Hobo Joe","North End > Peaks Crag > Peaks Crag > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/110521058/hobo-joe,3.0,-1,Sport,5.11b,1,70,35.30713,-111.70502
"Vitamin M","Main Wall - Center > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106030661/vitamin-m,3.3,-1,Sport,5.11b,1,80,34.36096,-111.45015
"Four Play","Main Wall > La Milagrosa Canyon > Southern Arizona > Arizona",https://www.mountainproject.com/route/105895582/four-play,2.9,-1,Sport,5.11b,1,,32.29825,-110.71317
Tufa-one,"Tufa City > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/107012739/tufa-one,3.5,-1,Sport,5.11b,1,,33.17567,-110.78048
"Mulligan Pie","Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/109043635/mulligan-pie,3.6,-1,Sport,5.11b,1,90,35.3874,-111.61355
"Last Supper","The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/111301575/last-supper,2.6,-1,Sport,5.11b,1,60,36.65703,-114.00822
"Sun Dogs","The Planetarium > West Twin Butte > Twin Butte > Sedona > Sedona Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/106193915/sun-dogs,2.4,-1,Sport,5.11b,1,35,34.83432,-111.76848
"Morning Mate","Cow Town Buttress > Rough Rider Zone > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106785497/morning-mate,3.6,-1,Sport,5.11b,1,90,33.17393,-110.7795
"Ruby Slippers","Wall of the Marching Munchkins > Munchkinland Area > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105971705/ruby-slippers,2.7,-1,Sport,5.11b,1,50,32.38886,-110.71688
Redball,"Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/107652086/redball,2.5,-1,Sport,5.11b,1,35,35.3874,-111.61355
Avalon,"(A) Nose Rock > The Pit (aka Le Petit Verdon) > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/106248485/avalon,3.1,-1,Sport,5.11b,1,35,35.12957,-111.59894
"Poker Face","Casino Cliffs > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105933845/poker-face,2.8,-1,Sport,5.11b,1,45,34.75623,-111.06529
Freezerburn,"The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/111301618/freezerburn,2.6,-1,Sport,5.11b,1,100,36.65703,-114.00822
"Mona Lisa","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106647157/mona-lisa,2.7,-1,Sport,5.11b,1,80,33.3104,-111.06756
Stiletto,"The Tombstone > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/107063456/stiletto,3.7,-1,Trad,5.11b,1,150,31.92201,-110.00142
"Broad Axe","Main Wall > Higher Solitude > Solitude Canyon > Mt. Elden Crags > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/109990770/broad-axe,3.1,-1,Sport,5.11b,1,100,35.24114,-111.61758
"Sea King","DWS East Side > DWS East Clear Creek > East Clear Creek > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106974070/sea-king,3.6,-1,"Trad, Boulder","5.11b V4",1,35,34.95661,-110.65823
"23 Red","Redbud Canyon > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/112902175/23-red,3.5,-1,Sport,5.11b,1,115,36.6573,-114.00503
"Always Smooth","High Life Wall > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/106046959/always-smooth,3.4,-1,Sport,5.11b,1,70,34.75412,-111.06837
"Hotter than a Three Peckered Goat","Rad Rock > Isle of Ewe > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105927802/hotter-than-a-three-peckered-goat,3.4,-1,Sport,5.11b,1,90,31.8746,-110.0148
Hobophobic,"Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/108079751/hobophobic,2.6,-1,Sport,5.11b,1,60,35.3874,-111.61355
"Double Play","Upper Sky Valley > Sky Valley > 6 - Mid-Mountain > Mount Lemmon (Catalina Highway) > Mount Lemmon (Santa Catalina Mountains) > Southern Arizona > Arizona",https://www.mountainproject.com/route/105841957/double-play,2.5,-1,Sport,5.11b,1,60,32.40294,-110.69481
"Infectious Groove","Slate Nation > The Homestead > Central Arizona > Arizona",https://www.mountainproject.com/route/106648286/infectious-groove,3.1,-1,Sport,5.11b,1,,33.17202,-110.78128
"Bird of Prey","Middle Section > West Clear Creek > Central Mogollon Rim > Northern Arizona > Arizona",https://www.mountainproject.com/route/106627418/bird-of-prey,3.7,-1,Trad,5.11b,2,160,34.55008,-111.4354
"Railway Runaway","Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/112849057/railway-runaway,2.9,-1,Sport,5.11b,1,100,35.3874,-111.61355
"In Water There Is Life","The Muttonhead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/107972390/in-water-there-is-life,3.1,-1,Sport,5.11b,3,165,31.87036,-109.99398
"A No.1","Hobo Jungle > San Francisco Peaks > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/107685069/a-no1,2.5,-1,Sport,5.11b,1,70,35.3874,-111.61355
"Sling Fest","(D) Pulse Roof > The Pit (aka Le Petit Verdon) > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/106403248/sling-fest,2.6,-1,Sport,5.11b,1,65,35.12923,-111.59782
"Secret Tryst","The Sacred Trust > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/111750368/secret-tryst,3.0,-1,Sport,5.11b,6,,36.65804,-114.00725
"Casting Shadows","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106096702/casting-shadows,2.5,-1,Sport,5.11b,1,70,33.3104,-111.06756
"Duckie Butt Rub","Main Wall - South > Isolation Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106127429/duckie-butt-rub,2.9,-1,Sport,5.11b,1,120,34.36127,-111.45026
"The Long, Strange Trip","Rockfellow Dome > Rockfellow Group > East Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/108591020/the-long-strange-trip,3.0,-1,"Trad, Sport",5.11b,6,500,31.92692,-109.97782
