Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Taliban Soup","Prophecy Wall > West Side > Horseshoe Canyon Ranch > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/105986418/taliban-soup,3.7,-1,Sport,5.11,1,,36.00388,-93.29631
"Wall Gazer","City Rock Proper > City Rock Bluff > Northeast Arkansas Region > Arkansas",https://www.mountainproject.com/route/121315403/wall-gazer,4.0,-1,Sport,5.11,1,40,36.10266,-92.18572
Eggspecting,"2. Breakfast Wall > Mt. Magazine Proper > Mount Magazine State Park > River Valley and Ouachitas Region > Arkansas",https://www.mountainproject.com/route/118775480/eggspecting,3.3,-1,Sport,5.11,1,60,35.16312,-93.64745
"Unknown Left Route","Kyles Landing DWS > Buffalo River Region > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/117692296/unknown-left-route,3.3,-1,TR,5.11,1,15,36.05648,-93.27526
"Fine Pine","The Next > Hollis Mountain > River Valley and Ouachitas Region > Arkansas",https://www.mountainproject.com/route/112500729/fine-pine,3.0,-1,"Sport, TR",5.11,1,40,34.87823,-93.11185
"Blood In Blood Out","Bleeder Boulder > Fern > Northwest Arkansas (NWA) Region > Arkansas",https://www.mountainproject.com/route/111857825/blood-in-blood-out,2.6,-1,Sport,5.11,1,30,35.61544,-94.00783
Derailed,"Hudson Mountain > Cowell > Cowell/Deer Area > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/118640078/derailed,2.4,-1,Sport,5.11,1,35,35.85138,-93.12402
"European Vacation","Fish Wall > Steel Creek - Upper Buffalo River > Buffalo River Region > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/118236566/european-vacation,2.0,-1,Trad,5.11,2,120,36.03554,-93.34472
Horsepower,"2. Swing Station > Fitzgerald South Area > Fitzgerald Mountain > Northwest Arkansas (NWA) Region > Arkansas",https://www.mountainproject.com/route/124961861/horsepower,3.0,-1,Sport,5.11,1,45,36.20286,-94.10329
"Iron Horse","2. Swing Station > Fitzgerald South Area > Fitzgerald Mountain > Northwest Arkansas (NWA) Region > Arkansas",https://www.mountainproject.com/route/124962083/iron-horse,3.0,-1,Sport,5.11,1,50,36.20286,-94.10329
