Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Circus,"Cap Rock Upper North Face > Cap Rock > Cap Rock Area > Sheep Pass Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/105969818/circus,2.2,-1,Trad,5.2,1,50,33.9898,-116.16329
"Mastering Five-Two","Outward Bound Slab > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106680125/mastering-five-two,1.8,-1,Trad,"5.2 PG13",1,70,34.0527,-116.17472
"Southeast Face","Mount Starr King > Mount Starr King Area > Southern Yosemite > Yosemite National Park > California",https://www.mountainproject.com/route/108165000/southeast-face,2.8,-1,"Trad, Alpine",5.2,2,350,37.7027,-119.51766
"Cracker Jacks","Tower of Babel > Texas Canyon > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/107473804/cracker-jacks,2.2,-1,Sport,5.2,1,50,34.51352,-118.40239
"Casual Observer","90 Foot Wall > Eagle Creek Canyon > West Shore > Lake Tahoe > California",https://www.mountainproject.com/route/105879428/casual-observer,2.1,-1,"Trad, TR",5.2,1,,38.9506,-120.1165
Tarantula,"Wooly Spider Boulder > Stirrup Tank > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725188/tarantula,2.0,-1,Trad,5.2,1,40,33.96049,-116.01741
"Breakfast Burger","Icehouse Canyon > Mount Baldy Road > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/120478785/breakfast-burger,3.0,-1,"Sport, Alpine",5.2,1,50,34.24924,-117.62013
"Easy Flake","Bald Mountain > Shaver Lake Area > Hwy 168:Tollhouse, Shaver Lake, Courtright > Southern-Western Sierra > California",https://www.mountainproject.com/route/121812738/easy-flake,3.0,-1,Trad,5.2,1,140,37.10208,-119.20777
Salamander,"7-Lewis > Silver Lake > June Lake Area > Sierra Eastside > California",https://www.mountainproject.com/route/113407192/salamander,2.5,-1,"Sport, TR",5.2,1,95,37.77396,-119.12861
"Super Doo","Lower Cliffs, Upper Tier > Indian Springs > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/109153300/super-doo,2.1,-1,Trad,5.2,1,50,39.32835,-120.56524
"Beeats Me","Bee Rock (Griffith Park) > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/111473581/beeats-me,2.0,-1,Sport,5.2,3,150,34.13437,-118.29307
"The North Face","Fat Freddie's Cat > East Wonderland Valley > Wonderland Valley > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106314217/the-north-face,2.7,-1,Trad,"5.2 X",1,90,34.04347,-116.14372
"Regular Route","Bynum's Spire > High Peaks North > High Peaks > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/120287311/regular-route,2.3,-1,Sport,"5.2 PG13",1,40,36.48813,-121.1971
"Cable Route","Half Dome Boulder > Joe Brown and Half Dome Area > Mount Rubidoux > Riverside Area > Inland Empire > California",https://www.mountainproject.com/route/106413800/cable-route,1.8,-1,TR,5.2,1,30,33.98281,-117.39353
"Nursery School Slab Left","Bastille (aka Nursery School) Slab > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/113362281/nursery-school-slab-left,2.0,-1,"Trad, TR",5.2,1,45,39.31913,-120.32203
"Nursery School Slab Center","Bastille (aka Nursery School) Slab > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/113362286/nursery-school-slab-center,1.9,-1,"Trad, TR",5.2,1,45,39.31913,-120.32203
"Solar Panel","SW Face Center (The Solarium) > Little Hunk - SW Face > Little Hunk > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/114273481/solar-panel,2.3,-1,Trad,5.2,1,80,34.0265,-116.152
"Genesis 666","The Main Wall > Burney Limestone (aka The Shredding) > Redding Area > Northeast California > California",https://www.mountainproject.com/route/110829696/genesis-666,2.0,-1,"Sport, TR",5.2,1,,40.77938,-122.00276
"Trenchtown Slabs - Center","Tower of Babel > Texas Canyon > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/115376391/trenchtown-slabs-center,2.0,-1,Sport,5.2,1,30,34.51352,-118.40239
Skyline,"The Elephant Head - South Face (aka Hyperion Slab) > Texas Canyon > Angeles National Forest > Los Angeles Basin > California",https://www.mountainproject.com/route/106644595/skyline,1.9,-1,Sport,5.2,1,120,34.51313,-118.4012
"Bonnie Brae","Scot Rock (South Face) > Scot Rock > Lake Arrowhead Area > San Bernardino Mountains > California",https://www.mountainproject.com/route/106465265/bonnie-brae,1.8,-1,Sport,5.2,1,70,34.2255,-117.19634
"Easy Buttress-Left","Easy Buttress > Land's End Area > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106052067/easy-buttress-left,2.0,-1,Trad,5.2,1,60,34.05707,-116.17729
"North Couloir Variation","Mt. Sill > 09 - Palisades & Surrounding Peaks > High Sierra > California",https://www.mountainproject.com/route/118958512/north-couloir-variation,2.0,-1,"Trad, Alpine",5.2,3,450,37.0959,-118.503
"Yosemite Falls","No Falls Wall > Barker Dam Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/118018448/yosemite-falls,2.0,-1,Trad,"5.2 PG13",1,60,34.02934,-116.14453
"Toog's Terror","Toog's Upper > Toog's Formation > West Side > Pinnacles National Park > Central Coast > California",https://www.mountainproject.com/route/120187303/toogs-terror,2.0,-1,Trad,"5.2 R",3,250,36.49982,-121.20222
"Nursery School Slab Right","Bastille (aka Nursery School) Slab > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/113362295/nursery-school-slab-right,1.9,-1,"Trad, TR",5.2,1,45,39.31913,-120.32203
"The Teacher","West Face > Herring Creek Dome > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/114423136/the-teacher,2.5,-1,Trad,"5.2 R",1,180,38.22639,-119.94572
