Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Lightning Bolt Crack","SOB Gully (skier's left side) > North Rim Routes > Black Canyon of the Gunnison > Gunnison > Colorado",https://www.mountainproject.com/route/112091001/lightning-bolt-crack,3.9,-1,Trad,5.11,1,75,38.58606,-107.71322
"Climb Of The Century","Rincon - L of Center Route > Rincon > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105753106/climb-of-the-century,3.7,-1,Trad,5.11,1,,39.93435,-105.28993
"The Raw and the Roasted","The Gym > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/106015558/the-raw-and-the-roasted,3.7,-1,Sport,5.11,1,,38.6329,-105.2165
"Wishbone Dihedral","Chicken Head Ranch > Devil's Head > South Platte > Colorado",https://www.mountainproject.com/route/106895231/wishbone-dihedral,3.6,-1,Sport,5.11,1,80,39.25855,-105.10569
"Rednekk Justus","Cabin Wall > Escalante Canyon > Grand Junction Area > Colorado",https://www.mountainproject.com/route/105855118/rednekk-justus,3.6,-1,Trad,5.11,1,60,38.68073,-108.31363
"C'est La Vie","Redgarden - S Buttress > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105748792/cest-la-vie,3.5,-1,Trad,5.11,3,,39.93119,-105.28395
"Frank's Wild Years","The Quarry Wall > North Table Mountain/Golden Cliffs > Golden > Colorado",https://www.mountainproject.com/route/106141011/franks-wild-years,3.1,-1,Trad,5.11,1,80,39.77115,-105.20625
"Iron Horse","West Ridge - part C - Pony Express to Long John > The West Ridge > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105756538/iron-horse,3.0,-1,Trad,5.11,2,,39.93203,-105.28849
"In Search of Unicorns","Turkey Tail > Turkey Rocks > South Platte > Colorado",https://www.mountainproject.com/route/105763476/in-search-of-unicorns,3.4,-1,Trad,5.11,1,50,39.11911,-105.23949
"Eagle Hardware","Eagle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105749557/eagle-hardware,2.8,-1,Sport,5.11,1,80,39.9992,-105.3826
"Storming the Castle","Castle Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106118679/storming-the-castle,2.8,-1,Sport,5.11,1,50,39.9787,-105.4551
Transformation,"6. Endless Wall > Monitor Rock > Independence Pass > Colorado",https://www.mountainproject.com/route/106875622/transformation,3.7,-1,Sport,5.11,4,450,39.0726,-106.4513
"Silver Glide","The Riviera > The Bihedral Area > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748259/silver-glide,1.9,-1,Sport,5.11,1,60,40.0034,-105.3959
"Platinum Curl","South Face > Surprising Crag > The Sport Park > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105752233/platinum-curl,1.9,-1,Sport,5.11,1,,39.97305,-105.46306
Atlantis,"Prisoner of Your Hairdo Gully > North Rim Routes > Black Canyon of the Gunnison > Gunnison > Colorado",https://www.mountainproject.com/route/106037758/atlantis,3.6,-1,Trad,"5.11 PG13",16,1600,38.57939,-107.70252
"Fork It (HVS)","Zappa Wall > Escalante Canyon > Grand Junction Area > Colorado",https://www.mountainproject.com/route/107063914/fork-it-hvs,3.6,-1,Trad,5.11,1,100,38.64055,-108.38967
"Job Security","The Highlands aka Highlander > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/105753661/job-security,2.6,-1,Sport,5.11,2,150,39.73821,-105.3164
"Question of Balance","Left Hand > First Buttress > Taylor Canyon > Gunnison > Colorado",https://www.mountainproject.com/route/105761061/question-of-balance,3.6,-1,"Trad, TR",5.11,1,80,38.72589,-106.77013
"Comic 2.0","SOB Gully (skier's left side) > North Rim Routes > Black Canyon of the Gunnison > Gunnison > Colorado",https://www.mountainproject.com/route/115382133/comic-20,4.0,-1,Trad,5.11,8,950,38.58606,-107.71322
"C'est What?","The Whale's Tail > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105749173/cest-what,2.5,-1,Sport,5.11,1,,39.9312,-105.283
"Happy Ending","North Chasm View Wall > North Rim Routes > Black Canyon of the Gunnison > Gunnison > Colorado",https://www.mountainproject.com/route/115423281/happy-ending,3.9,-1,Trad,5.11,1,165,38.582,-107.70883
"Sublime Buttress","Cathedral Wall > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105763431/sublime-buttress,3.5,-1,"Trad, Alpine","5.11 R",7,1000,40.2874,-105.66821
Rover,"Redgarden - Tower One > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105760578/rover,2.8,-1,Trad,"5.11 R",3,250,39.93194,-105.28603
"Papa's Got a Brand New Crag","The Post Office > Thunder Ridge > West Creek > South Platte > Colorado",https://www.mountainproject.com/route/106387480/papas-got-a-brand-new-crag,3.6,-1,Trad,5.11,1,,39.1986,-105.21935
"The Mantra","The Icon > Upper Dream Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748666/the-mantra,2.8,-1,"Sport, TR",5.11,1,,40.01022,-105.40894
"Cowboys and Indians","Chiefshead Northeast Face > Chiefshead > Glacier Gorge > RMNP - Rock > Alpine Rock > Colorado",https://www.mountainproject.com/route/105749587/cowboys-and-indians,3.9,-1,"Trad, Alpine",5.11,1,,40.2494,-105.641
"Smokin' Stems","Piedra River -  Lower West > Piedra River > Pagosa Springs > Colorado",https://www.mountainproject.com/route/106977629/smokin-stems,3.9,-1,Trad,5.11,1,75,37.4197,-107.1968
"Via Manolo","West Side > Lemon Reservoir > Durango > Colorado",https://www.mountainproject.com/route/106236284/via-manolo,2.8,-1,Sport,5.11,1,110,37.46485,-107.67834
"Roof Issues","Woodstone > Woodstone, Half & Half, and Slot Rock > The Crags > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado",https://www.mountainproject.com/route/115371759/roof-issues,3.0,-1,Sport,5.11,1,65,40.30619,-105.52353
"Interstellar Overdrive","Winterfest Wall > North Table Mountain/Golden Cliffs > Golden > Colorado",https://www.mountainproject.com/route/105750829/interstellar-overdrive,3.0,-1,Sport,5.11,1,,39.76953,-105.22006
"Back for Seconds","Second Buttress > Taylor Canyon > Gunnison > Colorado",https://www.mountainproject.com/route/105963989/back-for-seconds,3.9,-1,Trad,5.11,1,95,38.72652,-106.76942
"Iron Maiden","Middle Mother's > Mother's Buttress > Main Canyon: Unaweep Granite > Unaweep Canyon > Grand Junction Area > Colorado",https://www.mountainproject.com/route/107940164/iron-maiden,4.0,-1,"Trad, Sport",5.11,1,120,38.81392,-108.61899
"The Arrival (removed July 21, 2022)","C. Wizard's Gate > Lower Great Face > The Crags > CO Hwy 7 & Tributaries > Estes Park Valley > Colorado",https://www.mountainproject.com/route/114807519/the-arrival-removed-july-21-2022,3.1,-1,Sport,5.11,4,400,40.30276,-105.52422
"The Spice Tour","The Bastille - N Face > The Bastille > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105749737/the-spice-tour,3.8,-1,Trad,"5.11 R",1,,39.9307,-105.283
"Organic Gardening","Rock Garden > San Luis Valley > Colorado",https://www.mountainproject.com/route/116708891/organic-gardening,4.0,-1,Trad,5.11,1,80,37.85137,-106.29103
[Redacted],"The Brown Wall > Thunder Ridge > West Creek > South Platte > Colorado",https://www.mountainproject.com/route/106125970/redacted,3.0,-1,Trad,"5.11 PG13",1,70,39.1994,-105.21801
