Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Guzzler,"Lost Wall > Georgia",https://www.mountainproject.com/route/105900338/guzzler,2.9,-1,Trad,5.8,1,50,34.6669,-85.3712
"Mescaline Daydream","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105898061/mescaline-daydream,3.6,-1,Trad,5.8+,2,200,34.73817,-83.38763
"Mickey's Mantle","Main/Slab Wall Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/105901450/mickeys-mantle,3.1,-1,Sport,5.10a,1,60,34.52765,-83.37556
Dihedral,"Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/105942566/dihedral,2.7,-1,Trad,5.6,2,150,34.63735,-83.71498
"All I Wanted was a Pepsi","Main/Slab Wall Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106075362/all-i-wanted-was-a-pepsi,2.5,-1,"Trad, TR","5.6 PG13",1,130,34.52765,-83.37556
"Digital Delight","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105898048/digital-delight,3.0,-1,Trad,5.8,4,300,34.73817,-83.38763
"Booze and Broads","Lost Wall > Georgia",https://www.mountainproject.com/route/105900342/booze-and-broads,3.4,-1,Trad,5.9+,1,100,34.6669,-85.3712
"Black Pig","Lost Wall > Georgia",https://www.mountainproject.com/route/106376294/black-pig,2.9,-1,Trad,5.8,1,50,34.6669,-85.3712
"Return of The Jodi","White Wall > Mount Yonah > Georgia",https://www.mountainproject.com/route/106109970/return-of-the-jodi,3.1,-1,"Sport, TR",5.10,1,,34.63604,-83.71671
"Punk Wave","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105920651/punk-wave,3.9,-1,Trad,5.10,3,,34.73817,-83.38763
"Beam Me Up Scotty","Beam Me Up Scotty Area > Beam Me Up Scotty Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106084900/beam-me-up-scotty,3.6,-1,Boulder,"5.10+ V3+",1,,33.71763,-84.5636
"Buzzard Breath","The Buzzard Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106083097/buzzard-breath,2.6,-1,"Trad, Sport",5.8+,1,,34.52793,-83.37525
"Flying Frog","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105898212/flying-frog,3.8,-1,Trad,5.10,1,200,34.73817,-83.38763
"No Name Crack","Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106103076/no-name-crack,2.4,-1,"Trad, TR",5.9,1,30,34.52858,-83.37667
"Deprived Child","Main/Slab Wall Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106075583/deprived-child,2.5,-1,"Trad, Sport, TR","5.6 PG13",1,90,34.52765,-83.37556
"Stranger than Friction","Main/Slab Wall Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/105901457/stranger-than-friction,3.0,-1,"Trad, Sport",5.9+,1,70,34.52765,-83.37556
"Primitive Paradox","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/105898042/primitive-paradox,3.5,-1,Trad,5.9+,2,200,34.73817,-83.38763
"Two Man Party Orange","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/106160576/two-man-party-orange,2.1,-1,"Trad, Sport, TR",5.6,2,200,34.63735,-83.71498
"Power Flyer","Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106090638/power-flyer,2.9,-1,"Sport, TR",5.10b,1,40,34.52858,-83.37667
"Lucy in the Sky with Diamonds","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/105942550/lucy-in-the-sky-with-diamonds,3.5,-1,Trad,5.10a,1,80,34.63735,-83.71498
Frictionary,"Main/Slab Wall Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106083087/frictionary,2.9,-1,Trad,5.9,1,80,34.52765,-83.37556
"Smooth as Silk","The Buzzard Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106092516/smooth-as-silk,3.5,-1,Trad,5.11-,1,100,34.52793,-83.37525
"Gaping Crack - 5.9 Hand Crack","Firewoman Area > Paint Can/Lost Digits Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106085897/gaping-crack-59-hand-crack,2.3,-1,Boulder,"5.9 V1",1,,33.72093,-84.56445
"Highly Wired","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/107047477/highly-wired,4.0,-1,Trad,"5.10+ R",2,220,34.73817,-83.38763
"Copperhead Row","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/118683324/copperhead-row,4.0,-1,Trad,5.11-,1,98,34.73817,-83.38763
"Kashmir Crack","Kashmir Area > Paint Can/Lost Digits Area > Boat Rock > Georgia",https://www.mountainproject.com/route/106084788/kashmir-crack,3.3,-1,Boulder,"5.10+ V3",1,15,33.72095,-84.56461
"As A Turtle Thinketh","Little Sunset Wall > Turtle > Georgia",https://www.mountainproject.com/route/120015723/as-a-turtle-thinketh,4.0,-1,Trad,5.10a,1,70,34.72794,-83.37032
"Rapture of the Steep","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/106617980/rapture-of-the-steep,3.9,-1,Trad,5.11a,1,120,34.73817,-83.38763
"Rock Till You Drop","The Throne of God > Juliette Boulders > Georgia",https://www.mountainproject.com/route/106322385/rock-till-you-drop,3.6,-1,Boulder,"5.8 V2",1,20,33.02969,-83.76744
Steggo,"Lost Wall > Georgia",https://www.mountainproject.com/route/105900347/steggo,2.1,-1,Trad,"5.6 PG13",1,40,34.6669,-85.3712
"BT Express","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/106447303/bt-express,3.8,-1,Trad,5.11b/c,1,90,34.73817,-83.38763
Urushiol,"Sport Wall > Turtle > Georgia",https://www.mountainproject.com/route/120069987/urushiol,4.0,-1,Sport,5.11c,1,,34.72794,-83.37032
"Creatures Void Of Form","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/121211240/creatures-void-of-form,3.7,-1,Trad,5.11+,2,,34.73817,-83.38763
"Georgia Meatshower","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/121699140/georgia-meatshower,4.0,-1,Trad,5.12,2,,34.73817,-83.38763
"Jeep Streak","Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106102940/jeep-streak,3.3,-1,Sport,5.12a,1,40,34.52858,-83.37667
"Next Time","Hobbits Perch > Mount Yonah > Georgia",https://www.mountainproject.com/route/110071293/next-time,4.0,-1,"Trad, TR",5.11a/b,1,45,34.6365,-83.7157
"Dust Bowl Daze","Main/Slab Wall Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106075368/dust-bowl-daze,2.5,-1,Trad,5.7,1,100,34.52765,-83.37556
"Maybe Not","Lost Wall > Georgia",https://www.mountainproject.com/route/106376270/maybe-not,2.6,-1,Trad,5.8,1,40,34.6669,-85.3712
"Copperhead Row Direct Finish","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/121712805/copperhead-row-direct-finish,4.0,-1,Trad,5.12-,1,,34.73817,-83.38763
"Smyrna Burna","Smyrna Wall > Bob Callan Trail - Bridge Area > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/121933373/smyrna-burna,4.0,-1,"Trad, TR",5.7,1,30,33.88719,-84.45496
"Future's Window","Lost Wall > Georgia",https://www.mountainproject.com/route/107897577/futures-window,4.0,-1,Sport,5.11b,1,60,34.6669,-85.3712
"Angels corner","Lost Wall > Georgia",https://www.mountainproject.com/route/107639165/angels-corner,4.0,-1,Trad,"5.8+ PG13",1,60,34.6669,-85.3712
"Thorn And Thistle","Viewers Point > Turtle > Georgia",https://www.mountainproject.com/route/120132600/thorn-and-thistle,4.0,-1,Trad,5.8,1,,34.72794,-83.37032
Plague,"Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106103057/plague,3.3,-1,Sport,5.11b/c,1,45,34.52858,-83.37667
"Try Again","Hobbits Perch > Mount Yonah > Georgia",https://www.mountainproject.com/route/110069953/try-again,4.0,-1,"Trad, TR",5.11a/b,1,45,34.6365,-83.7157
"Laurel Lie","Lost Wall > Georgia",https://www.mountainproject.com/route/106534999/laurel-lie,3.3,-1,Trad,5.10a,1,50,34.6669,-85.3712
"Linda's Corner","Lost Wall > Georgia",https://www.mountainproject.com/route/106376299/lindas-corner,2.5,-1,Trad,5.7,1,50,34.6669,-85.3712
Dreams,"Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106102947/dreams,3.4,-1,Trad,5.11c,1,40,34.52858,-83.37667
Three,"The Lowers > Mount Yonah > Georgia",https://www.mountainproject.com/route/106324894/three,2.0,-1,"Sport, TR",5.6,1,60,34.63698,-83.71682
"The Groove","Allenbrook > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/106086870/the-groove,2.1,-1,"Trad, TR",5.8,1,30,34.01023,-84.35609
"Pigs On the Wing","Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106090668/pigs-on-the-wing,2.5,-1,"Sport, TR",5.10b/c,1,35,34.52858,-83.37667
"Butthole Surfers","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/122151247/butthole-surfers,3.7,-1,Trad,5.12a/b,1,,34.73817,-83.38763
Four,"The Lowers > Mount Yonah > Georgia",https://www.mountainproject.com/route/106324901/four,2.3,-1,TR,5.6,1,65,34.63698,-83.71682
"Face to Face","White Wall > Mount Yonah > Georgia",https://www.mountainproject.com/route/106718492/face-to-face,2.4,-1,Sport,5.10b,1,,34.63604,-83.71671
"Trad and True","Main/Slab Wall Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106409692/trad-and-true,2.6,-1,Trad,"5.8+ PG13",1,100,34.52765,-83.37556
"Four Bravo","The Lowers > Mount Yonah > Georgia",https://www.mountainproject.com/route/106324906/four-bravo,2.5,-1,"Trad, TR",5.8,1,65,34.63698,-83.71682
"Edges to Ledges","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/106039500/edges-to-ledges,2.5,-1,Trad,5.7,2,210,34.63735,-83.71498
Ebola,"Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106192625/ebola,3.2,-1,Sport,5.12b,1,35,34.52858,-83.37667
"Kid Fears","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/107569745/kid-fears,3.4,-1,Trad,"5.11a R",1,80,34.63735,-83.71498
"Diving Board","The Lowers > Mount Yonah > Georgia",https://www.mountainproject.com/route/111698607/diving-board,3.4,-1,Trad,5.10+,1,65,34.63698,-83.71682
Clodhopper,"Lost Wall > Georgia",https://www.mountainproject.com/route/106376279/clodhopper,2.4,-1,Trad,5.9,1,40,34.6669,-85.3712
Xanadu,"Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/120164478/xanadu,3.5,-1,"Trad, Ice","5.6 WI4-",3,250,34.63735,-83.71498
"Turtle Proof","Little Sunset Wall > Turtle > Georgia",https://www.mountainproject.com/route/122108581/turtle-proof,3.5,-1,Trad,5.11a,1,,34.72794,-83.37032
"Tourist Trap","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/119125696/tourist-trap,3.5,-1,Trad,5.10,4,,34.73817,-83.38763
"First Overhang","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/112179902/first-overhang,3.7,-1,Trad,"5.9 PG13",1,40,34.63735,-83.71498
"Br'er Turtle","Little Sunset Wall > Turtle > Georgia",https://www.mountainproject.com/route/120068962/brer-turtle,3.7,-1,Trad,5.11d,1,,34.72794,-83.37032
Zipper,"The Zipper > Metro-Atlanta Area > Georgia",https://www.mountainproject.com/route/106109826/zipper,3.5,-1,"Trad, TR",5.11d,1,25,33.9034,-84.4454
"Afternoon Delight","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/105942534/afternoon-delight,2.9,-1,Trad,5.11a,1,80,34.63735,-83.71498
"The Diagonal","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/106298267/the-diagonal,3.0,-1,Trad,5.10c/d,2,250,34.73817,-83.38763
"Stannard's Crack","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/106073106/stannards-crack,2.9,-1,Trad,5.9+,1,35,34.63735,-83.71498
Astro-Geodesy,"Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/121314446/astro-geodesy,3.3,-1,Trad,5.11d,1,,34.73817,-83.38763
"Prevailing Winds","Lost Wall > Georgia",https://www.mountainproject.com/route/107945212/prevailing-winds,3.3,-1,Trad,5.11c,1,50,34.6669,-85.3712
"P4 of Bloodshot Eyes","Upper Deck > Turtle > Georgia",https://www.mountainproject.com/route/120130488/p4-of-bloodshot-eyes,3.7,-1,Trad,5.8+,1,,34.72796,-83.37034
"Autumn Gold","Main Wall > Tallulah Gorge > Georgia",https://www.mountainproject.com/route/107996179/autumn-gold,3.3,-1,Trad,5.11b/c,1,80,34.73817,-83.38763
"Ten Alpha","The Lowers > Mount Yonah > Georgia",https://www.mountainproject.com/route/111346348/ten-alpha,2.9,-1,"Sport, TR",5.9+,1,40,34.63698,-83.71682
"One Alpha","The Lowers > Mount Yonah > Georgia",https://www.mountainproject.com/route/106324883/one-alpha,2.1,-1,"Sport, TR",5.5,1,50,34.63698,-83.71682
"Pipe Full of Fun","Lost Wall > Georgia",https://www.mountainproject.com/route/107074172/pipe-full-of-fun,2.8,-1,Trad,5.10a,1,90,34.6669,-85.3712
"Deprived Direct","Main/Slab Wall Area > Currahee Mountain > Georgia",https://www.mountainproject.com/route/112941133/deprived-direct,3.0,-1,"Trad, TR",5.10c/d,1,100,34.52765,-83.37556
"Balance Climb 4","Main Face > Mount Yonah > Georgia",https://www.mountainproject.com/route/106294996/balance-climb-4,2.1,-1,Trad,5.5,1,70,34.63735,-83.71498
"Comfortably Numb","Brick Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/106103068/comfortably-numb,2.8,-1,Sport,5.11a,1,40,34.52858,-83.37667
"Fun Size","The Small Wall > Currahee Mountain > Georgia",https://www.mountainproject.com/route/114599289/fun-size,3.1,-1,Trad,5.10a,1,40,34.52749,-83.37601
