Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
LSH,"Upper Fifth Canyon > Q'Emiln Park > North Idaho > Idaho",https://www.mountainproject.com/route/106397371/lsh,2.8,-1,"Trad, TR",5.8-,1,50,47.70252,-116.96123
Tiramisu,"Fence Line > East Sector > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106261947/tiramisu,2.6,-1,Trad,5.8-,1,130,42.13611,-113.66496
"Potato Flake","Mid Cliffs > Black Cliffs > West Idaho > Idaho",https://www.mountainproject.com/route/108693501/potato-flake,3.0,-1,Trad,5.8-,1,60,43.53804,-116.08996
"The Harem Route","Myrtle  2 aka ""Turtle Arches"" > Boundary County Climbing Areas > North Idaho > Idaho",https://www.mountainproject.com/route/110781464/the-harem-route,3.0,-1,"Trad, Alpine","5.8- PG13",3,500,48.71382,-116.64845
"Eye in the Sky","14. Cannonball Wall > Mortal Earth > The Fins > Central Idaho > Idaho",https://www.mountainproject.com/route/117244312/eye-in-the-sky,2.9,-1,Sport,5.8-,1,,43.72184,-113.07809
"Sparkle Dance","The Thinking Spot > McCall Area > West Idaho > Idaho",https://www.mountainproject.com/route/115965186/sparkle-dance,2.2,-1,Trad,5.8-,2,180,45.00345,-116.05926
"Hero Roof","Moss Rock > Auger Falls Park > Twin Falls and the Snake River Canyon > South Idaho > Idaho",https://www.mountainproject.com/route/112796705/hero-roof,2.3,-1,TR,5.8-,1,25,42.62379,-114.51493
"Five Seven","Darby Canyon > East Idaho > Idaho",https://www.mountainproject.com/route/117256958/five-seven,2.2,-1,Sport,5.8-,1,30,43.6769,-111.0238
"Pooh Corner","Heffalump > East Sector > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/112312003/pooh-corner,2.0,-1,Trad,5.8-,1,55,42.13587,-113.66384
"Short Crack","Short Cliffs > Black Cliffs > West Idaho > Idaho",https://www.mountainproject.com/route/114456422/short-crack,1.9,-1,"Trad, TR",5.8-,1,35,43.53993,-116.09204
"Moon Shadow","The South Face of the Flatiron > Hells Canyon > West Idaho > Idaho",https://www.mountainproject.com/route/105799013/moon-shadow,2.0,-1,Sport,5.8-,1,40,45.1313,-116.732
"Babe the Blue Ox","Kittle Rocks > North Idaho > Idaho",https://www.mountainproject.com/route/123022615/babe-the-blue-ox,2.0,-1,"Trad, TR",5.8-,1,50,47.26954,-116.5975
