Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Roadside Attraction","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860741/roadside-attraction,3.8,-1,Trad,5.7,2,120,37.73151,-83.65679
"Casual Viewing","Global Village > Natural Bridge Region > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105878287/casual-viewing,3.5,-1,Trad,5.7,1,70,37.75161,-83.65731
"Party Time","Fortress Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870326/party-time,3.5,-1,Trad,5.7,2,110,37.83768,-83.64701
"Shock and Awe","The Hideout > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106789874/shock-and-awe,3.4,-1,Trad,5.7,1,95,37.73189,-83.63725
"Environmental Impact","Pebble Beach > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105860612/environmental-impact,3.1,-1,Trad,5.7,2,130,37.8588,-83.67163
Vision,"Global Village > Natural Bridge Region > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105880914/vision,3.1,-1,Trad,5.7,1,80,37.75161,-83.65731
"Father and Son","Global Village > Natural Bridge Region > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105872426/father-and-son,2.9,-1,Trad,5.7,1,50,37.75161,-83.65731
"Calypso I","Fortress Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106129927/calypso-i,2.8,-1,Trad,5.7,1,60,37.83768,-83.64701
"Call of the Wild","The Hideout > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107640216/call-of-the-wild,2.8,-1,Trad,5.7,1,80,37.73189,-83.63725
"Dragon's Mouth","Practice Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107640368/dragons-mouth,2.7,-1,Sport,5.7,1,40,37.7275,-83.6278
"The Offering","Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106085047/the-offering,2.7,-1,Sport,5.7,1,45,37.72444,-83.62657
Foxfire,"Eagle Point Buttress > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105854070/foxfire,3.5,-1,Trad,"5.7 R",5,200,37.82621,-83.5621
"The Arrowhead","Pebble Beach > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105869491/the-arrowhead,2.6,-1,Trad,"5.7 PG13",1,60,37.8588,-83.67163
"C Sharp or B Flat","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105882846/c-sharp-or-b-flat,2.4,-1,Sport,5.7,1,60,37.73151,-83.65679
"Free Clinic","The Infirmary > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/113916597/free-clinic,2.4,-1,Sport,5.7,1,50,37.64186,-83.68375
Harvey,"Animal Crackers Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107124339/harvey,2.2,-1,Sport,5.7,2,80,37.73064,-83.63911
"Ledger Line","Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105892929/ledger-line,2.2,-1,Sport,5.7,1,80,37.73151,-83.65679
Ham,"Dip Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105872442/ham,2.2,-1,Trad,5.7,1,30,37.8927,-83.6519
"Short and Sweet","Practice Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106767080/short-and-sweet,2.1,-1,Trad,5.7,1,20,37.7275,-83.6278
"Dyslexics Untie!","Chaos > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/110334956/dyslexics-untie,2.0,-1,Sport,5.7,1,40,37.64193,-83.68041
"Ai Bang Mai Fa Kin Ni","Practice Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106793328/ai-bang-mai-fa-kin-ni,2.0,-1,Sport,5.7,1,25,37.7275,-83.6278
"You Can't Piss on Hospitality","Secret Garden > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/111085092/you-cant-piss-on-hospitality,2.0,-1,Sport,5.7,1,45,37.64036,-83.67556
"Pocahontas Path","Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/107353477/pocahontas-path,2.0,-1,Sport,5.7,1,30,37.65078,-83.72161
G.I.,"Military Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105885179/gi,3.3,-1,Trad,"5.7 PG13",2,130,37.8159,-83.66918
