Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Relaxed Atmoshere","Left Flank > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105866366/relaxed-atmoshere,2.3,-1,Sport,5.11,1,60,37.81449,-83.66388
"Smokin' Joe","Funk Rock City > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106282997/smokin-joe,3.1,-1,Sport,5.11,1,80,37.8029,-83.5762
"Souders Crack","Long Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106937634/souders-crack,3.1,-1,Trad,"5.11 R",1,80,37.8446,-83.6686
"My Quads Are Too Big","Velo Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/120073763/my-quads-are-too-big,3.2,-1,Trad,5.11,1,70,37.64552,-83.71831
"Linkage Disequilibrium","Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/119248336/linkage-disequilibrium,3.0,-1,Trad,5.11,1,90,37.65292,-83.72495
"Insanity Ceiling","Tower Rock > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/114274915/insanity-ceiling,3.0,-1,Trad,5.11,1,45,37.82823,-83.59714
"Relay Race","Velo Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/119969029/relay-race,3.0,-1,Sport,5.11,1,60,37.64552,-83.71831
"A Middle Path","Slab City > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/114369491/a-middle-path,3.5,-1,TR,5.11,1,60,37.734,-83.64101
"Goldilocks Project- CLOSED","Bear's Den > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/122841990/goldilocks-project-closed,3.0,-1,Sport,5.11,1,50,37.64408,-83.70784
"The Upside Down","Sanitarium > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/113828832/the-upside-down,2.5,-1,Sport,5.11,1,70,37.64891,-83.67849
"Blowing Your Lobe","The Kentucky Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/112885346/blowing-your-lobe,3.0,-1,Trad,5.11,1,80,37.89425,-83.65755
"Sylvester McMonkey McBean (aka Snitches)","Dip Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/108192487/sylvester-mcmonkey-mcbean-aka-snitches,3.0,-1,Trad,5.11,1,100,37.8927,-83.6519
"Muir Power To You","Coyote Cliff > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/123401742/muir-power-to-you,3.5,-1,Sport,5.11,1,85,37.7356,-83.64148
"Through the Looking Glass","Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/108640459/through-the-looking-glass,2.7,-1,Trad,5.11,1,60,37.64919,-83.71343
"Critical Crystal","Friction Slab AKA Bulldog Boulder > Natural Bridge Region > Red River Gorge > Kentucky",https://www.mountainproject.com/route/111975891/critical-crystal,2.6,-1,TR,5.11,1,20,37.76416,-83.67008
"Spinal Tap","Chocolate Factory > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/119641910/spinal-tap,2.0,-1,Sport,5.11,1,60,37.64919,-83.71343
"INDY Project","Monastery > Miller Fork Recreational Preserve (MFRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/120085435/indy-project,2.0,-1,Sport,5.11,1,80,37.64121,-83.67611
"Perfidious Deciduous","The Sanctuary > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/120509409/perfidious-deciduous,2.0,-1,Trad,5.11,1,55,37.73135,-83.63397
"Baer Necessity","Inner Sanctum > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/120376949/baer-necessity,2.0,-1,Sport,5.11,1,60,37.73203,-83.63337
