Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Cro-Magnon,"3. Fisherman's Wall > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/106126391/cro-magnon,3.7,-1,"Trad, TR",5.10,1,50,42.51922,-71.85935
Priapism,"Mormon Hollow > Western MA > Massachusetts",https://www.mountainproject.com/route/107085591/priapism,3.7,-1,Sport,5.12a,1,40,42.5692,-72.4608
Zipper,"Red Rock Main Area > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/105909226/zipper,3.5,-1,"Trad, TR",5.6,1,45,42.61668,-70.72752
"Double Helix (aka Rikert's Corner)","02 - Main Face > Rose Ledge > Western MA > Massachusetts",https://www.mountainproject.com/route/105805595/double-helix-aka-rikerts-corner,3.4,-1,"Trad, TR",5.9,1,40,42.6105,-72.4711
Intertwine,"5. Main Face > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/105905517/intertwine,3.3,-1,"Trad, TR",5.8,1,45,42.51937,-71.85904
Tennessee,"02 - Main Face > Rose Ledge > Western MA > Massachusetts",https://www.mountainproject.com/route/105805574/tennessee,3.3,-1,"Trad, TR",5.10-,1,40,42.6105,-72.4711
"Guillotine (aka Double Overhead Cam)","02 - Main Face > Rose Ledge > Western MA > Massachusetts",https://www.mountainproject.com/route/105805587/guillotine-aka-double-overhead-cam,3.0,-1,"Trad, TR",5.8,1,40,42.6105,-72.4711
Tarzan,"3. Fisherman's Wall > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/106225509/tarzan,2.8,-1,Trad,5.8+,1,60,42.51922,-71.85935
"Outside Corner","K Wall (aka M Face) > Quincy Quarries > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/105909380/outside-corner,2.7,-1,"Trad, TR",5.8,1,50,42.2445,-71.0353
Layback,"J Wall (aka L Face) > Quincy Quarries > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/105908871/layback,2.6,-1,"Trad, TR",5.7,1,50,42.24444,-71.03543
"Toe Jams","Red Rock Main Area > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/106282211/toe-jams,2.6,-1,"Trad, TR",5.5,1,40,42.61668,-70.72752
Boardwalk,"6. Practice Face (right end) > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/105905500/boardwalk,2.4,-1,"Trad, TR",5.5,1,80,42.51958,-71.85875
"Green Route","2. Green Corner > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/105907205/green-route,2.5,-1,Trad,5.5,2,120,42.5191,-71.8596
"Thin Line","5. Main Face > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/107651747/thin-line,3.3,-1,Trad,"5.9- PG13",1,50,42.51937,-71.85904
Sidewinder,"6. Practice Face (right end) > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/106395063/sidewinder,2.2,-1,"Trad, TR",5.7,1,70,42.51958,-71.85875
Diagonal,"3. Fisherman's Wall > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/106174844/diagonal,2.6,-1,Trad,5.8+,1,35,42.51922,-71.85935
"Rising Tide","The Grotto > Hanging Mountain > Western MA > Massachusetts",https://www.mountainproject.com/route/121415854/rising-tide,3.6,-1,Sport,5.10b/c,1,50,42.07115,-73.06671
"Beginner's (aka Easy Corner)","02 - Main Face > Rose Ledge > Western MA > Massachusetts",https://www.mountainproject.com/route/105982725/beginners-aka-easy-corner,2.2,-1,"Trad, TR",5.6,1,35,42.6105,-72.4711
"Lunge Roof (aka Rhino Dyno, or Gunks Roof)","03 - Overhang Buttress > Rose Ledge > Western MA > Massachusetts",https://www.mountainproject.com/route/106155495/lunge-roof-aka-rhino-dyno-or-gunks-roof,3.2,-1,"Trad, TR",5.10-,1,40,42.60162,-72.46223
"Radiant Sky","Acorn Face/Squirrel Wall > Hanging Mountain > Western MA > Massachusetts",https://www.mountainproject.com/route/121443970/radiant-sky,3.8,-1,Sport,5.10d,1,63,42.07053,-73.06693
"Cardiac Arete (aka route  8)","Mormon Hollow > Western MA > Massachusetts",https://www.mountainproject.com/route/111416600/cardiac-arete-aka-route-8,2.6,-1,Sport,5.10c,1,40,42.5692,-72.4608
"Tom's Dilemma","1. End Crags > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/105907659/toms-dilemma,2.6,-1,Trad,5.6,1,35,42.519,-71.8601
Steps,"Red Rock Main Area > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/106119852/steps,2.3,-1,Trad,5.8,1,50,42.61668,-70.72752
Transcendentalism,"Cloud Buttress > Hanging Mountain > Western MA > Massachusetts",https://www.mountainproject.com/route/121426317/transcendentalism,3.4,-1,Sport,5.11a,1,70,42.07037,-73.06708
Pins,"K Wall (aka M Face) > Quincy Quarries > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/105909388/pins,2.6,-1,"Trad, TR",5.9+,1,50,42.2445,-71.0353
Jane,"3. Fisherman's Wall > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/106128569/jane,3.4,-1,"Trad, TR","5.11a PG13",1,100,42.51922,-71.85935
"Tensile Strength","K Wall (aka M Face) > Quincy Quarries > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/105909396/tensile-strength,2.8,-1,"Sport, TR",5.9+,1,50,42.2445,-71.0353
"Morning Glory","Red Rock Main Area > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/106297036/morning-glory,2.8,-1,Sport,5.10a,1,35,42.61668,-70.72752
"Cloud Nine","Cloud Buttress > Hanging Mountain > Western MA > Massachusetts",https://www.mountainproject.com/route/121426331/cloud-nine,3.7,-1,Trad,5.9,1,80,42.07037,-73.06708
"Stone By Stone","Cloud Buttress > Hanging Mountain > Western MA > Massachusetts",https://www.mountainproject.com/route/121472410/stone-by-stone,3.1,-1,Sport,5.8,1,50,42.07037,-73.06708
Hepatitis,"Pusherman Wall > Temple Area > Hammond Pond > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106848189/hepatitis,3.4,-1,"TR, Boulder","5.12 V5",1,15,42.32665,-71.17776
"Cracker Jack","Lower Walls > Other Walls and Crags > Hammond Pond > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/105908313/cracker-jack,2.6,-1,"Trad, TR",5.6,1,30,42.32392,-71.17326
Zits,"Red Rock Main Area > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/106297031/zits,2.5,-1,Sport,"5.9- PG13",1,35,42.61668,-70.72752
"Original Sin","Mormon Hollow > Western MA > Massachusetts",https://www.mountainproject.com/route/106397993/original-sin,2.9,-1,Trad,5.10a,1,50,42.5692,-72.4608
"Black Knight","S Wall (aka N Face) > Quincy Quarries > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106745261/black-knight,2.4,-1,"Trad, TR",5.6,1,30,42.24383,-71.03469
"My Mind Is A Blank","Main Crag > College Rock > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106209165/my-mind-is-a-blank,3.6,-1,"Trad, TR",5.11+,1,25,42.1945,-71.4998
"Rip Van Winkle","Red Rock Main Area > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/106305662/rip-van-winkle,2.6,-1,"Trad, TR",5.10a,1,35,42.61668,-70.72752
"The Chimney","4. The Buttress > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/105907634/the-chimney,2.2,-1,Trad,5.6,2,120,42.5193,-71.8591
"White Knight","S Wall (aka N Face) > Quincy Quarries > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106745257/white-knight,2.3,-1,"Trad, TR",5.5,1,30,42.24383,-71.03469
"Drawn and Quartered","Cloud Buttress > Hanging Mountain > Western MA > Massachusetts",https://www.mountainproject.com/route/121635893/drawn-and-quartered,4.0,-1,Sport,5.12b/c,1,80,42.07037,-73.06708
"Roll the Bones","Red Rock Main Area > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/107338663/roll-the-bones,2.5,-1,"Sport, TR",5.5,1,40,42.61668,-70.72752
"The Mormon Experience","Mormon Hollow > Western MA > Massachusetts",https://www.mountainproject.com/route/116090596/the-mormon-experience,2.7,-1,Sport,5.10a,1,45,42.5692,-72.4608
Layback,"1. End Crags > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/106395099/layback,2.4,-1,"Trad, TR",5.6,1,32,42.519,-71.8601
"Ladder Line","J Wall (aka L Face) > Quincy Quarries > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106202948/ladder-line,3.1,-1,TR,5.10d,1,50,42.24444,-71.03543
"Hang Ten","Mormon Hollow > Western MA > Massachusetts",https://www.mountainproject.com/route/111416412/hang-ten,2.4,-1,Sport,5.10,1,50,42.5692,-72.4608
"Post Road (aka Black Route)","5. Main Face > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/106302902/post-road-aka-black-route,2.2,-1,Trad,5.7,1,60,42.51937,-71.85904
"The Power of Positive Thinking","K Wall (aka M Face) > Quincy Quarries > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106084986/the-power-of-positive-thinking,2.8,-1,"Trad, TR","5.10+ PG13",1,65,42.2445,-71.0353
"Tunnel Vision","Mormon Hollow > Western MA > Massachusetts",https://www.mountainproject.com/route/111156381/tunnel-vision,3.6,-1,Sport,5.12d,1,30,42.5692,-72.4608
Nevertheless,"Progressive Buttress > Hanging Mountain > Western MA > Massachusetts",https://www.mountainproject.com/route/121415686/nevertheless,2.8,-1,Sport,5.8-,1,55,42.07076,-73.06679
"Breakfast of Champions","Main Alcove Wall > Alcove Area > Hammond Pond > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/105908305/breakfast-of-champions,2.8,-1,"Trad, TR, Boulder","5.11 V3-4 PG13",1,12,42.32285,-71.17406
"Trouble Weighs a Ton","Cloud Buttress > Hanging Mountain > Western MA > Massachusetts",https://www.mountainproject.com/route/121426311/trouble-weighs-a-ton,3.2,-1,Sport,5.10d,1,60,42.07037,-73.06708
"Marie Antoinette","02 - Main Face > Rose Ledge > Western MA > Massachusetts",https://www.mountainproject.com/route/106129707/marie-antoinette,2.8,-1,TR,5.10a/b,1,50,42.6105,-72.4711
"Franny's Folly","5. Main Face > Crow Hill > Crow Hill and Leominster Area > Central, MA > Massachusetts",https://www.mountainproject.com/route/107246634/frannys-folly,2.5,-1,Trad,5.7+,1,80,42.51937,-71.85904
"High Me","Red Rock Main Area > Redrocks and Vicinity > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/107385434/high-me,2.6,-1,"Trad, TR","5.7 R",1,65,42.61668,-70.72752
