Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Sigma,"Sigma Wall > Robinson Park > Sandstone > Minnesota",https://www.mountainproject.com/route/105912205/sigma,3.9,-1,Sport,5.12a/b,1,60,46.13653,-92.86031
"Chinese Freedom","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826213/chinese-freedom,3.6,-1,Sport,5.11d,1,50,44.56899,-92.52106
"Urge to Mate","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105920472/urge-to-mate,3.6,-1,"Trad, TR",5.10b,1,45,47.32016,-91.21086
"Number 6 a.k.a. The Bulge","Minnesota Strip > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/105826937/number-6-aka-the-bulge,3.5,-1,"Trad, TR",5.10a,1,60,45.39843,-92.6535
Rapprochement,"Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105920464/rapprochement,3.5,-1,"Trad, TR",5.10b,1,90,47.32016,-91.21086
"Scars and Tripes Forever","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105920333/scars-and-tripes-forever,3.6,-1,"Trad, TR",5.10b,1,145,47.32016,-91.21086
"Work Ethic","Cyclops Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105820225/work-ethic,3.4,-1,Sport,5.12a,1,,44.56905,-92.52198
Adoption,"Relationship Wall > Robinson Park > Sandstone > Minnesota",https://www.mountainproject.com/route/106069799/adoption,3.4,-1,"Sport, TR",5.11c,1,45,46.13405,-92.85854
"Advanced Birding","Perfect Crimb Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105842122/advanced-birding,3.4,-1,Sport,5.11d,1,50,44.5696,-92.52273
"Dance of the Sugar-Plum Faeries","Shovel Point > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105831445/dance-of-the-sugar-plum-faeries,3.3,-1,TR,5.8,1,60,47.33938,-91.18778
"Living All Over Me","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826230/living-all-over-me,3.7,-1,Sport,5.12b,1,40,44.56899,-92.52106
"Preemptive Strike","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825179/preemptive-strike,3.5,-1,Sport,5.12a/b,1,60,44.56899,-92.52106
"Roof Burner","The East End > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826245/roof-burner,3.2,-1,Sport,5.11a,1,,44.56911,-92.5209
Compromises,"Relationship Wall > Robinson Park > Sandstone > Minnesota",https://www.mountainproject.com/route/106069794/compromises,3.2,-1,"Sport, TR",5.10b,1,40,46.13405,-92.85854
"Doctor Limit","New Vice Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826091/doctor-limit,3.2,-1,Sport,5.11b/c,1,50,44.56993,-92.5238
"Frequent Flatulence","New Vice Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825974/frequent-flatulence,3.2,-1,Sport,5.10b,1,50,44.56993,-92.5238
"Superior Crack","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105827808/superior-crack,3.1,-1,"Trad, TR",5.9,1,95,47.32016,-91.21086
"Quick Draw Moves to Hollywood","Large Roof Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105842391/quick-draw-moves-to-hollywood,3.1,-1,Sport,5.11-,1,,44.56992,-92.52484
"Poseidon Adventure","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105872011/poseidon-adventure,3.9,-1,Trad,"5.11d PG13",2,80,47.32016,-91.21086
"The Perfect Crimb","Perfect Crimb Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826069/the-perfect-crimb,3.0,-1,Sport,5.9,1,45,44.5696,-92.52273
"Looking for Lust","Annadonia Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825151/looking-for-lust,2.9,-1,Sport,5.9,1,65,44.56927,-92.52108
Bluebells,"Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105826905/bluebells,3.0,-1,"Trad, TR",5.9,1,70,47.32016,-91.21086
"Suicide Squeeze","Cyclops Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105820229/suicide-squeeze,3.0,-1,Sport,5.11,1,,44.56905,-92.52198
"Phantom Crack","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105826890/phantom-crack,2.9,-1,"Trad, TR",5.9,1,85,47.32016,-91.21086
Annadonia,"Annadonia Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825155/annadonia,3.0,-1,Sport,5.11b,1,75,44.56927,-92.52108
"The Future","Annadonia Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/106266364/the-future,2.9,-1,Sport,5.8,1,,44.56927,-92.52108
"Don't bring a knife to a gun fight a.k.a. ""Gun Fight""","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/106019926/dont-bring-a-knife-to-a-gun-fight-aka-gun-fight,3.7,-1,Trad,5.11b,1,105,47.32016,-91.21086
"Column Direct","Minnesota Strip > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/105826799/column-direct,2.9,-1,"Trad, TR",5.9+,1,85,45.39843,-92.6535
"Wasp Mentality","Cyclops Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105819431/wasp-mentality,2.9,-1,Sport,5.11c,1,,44.56905,-92.52198
"A Drilling Experience","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825176/a-drilling-experience,2.9,-1,Sport,5.11b,1,,44.56899,-92.52106
"Mack the Knife","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105863608/mack-the-knife,3.1,-1,"Trad, TR",5.10b,1,55,47.32016,-91.21086
"Hidden Treasure","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105827817/hidden-treasure,3.5,-1,"Trad, TR",5.11b,1,90,47.32016,-91.21086
Cyclops,"Cyclops Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105820233/cyclops,2.8,-1,Sport,5.12a,1,,44.56905,-92.52198
"Needles and Pins","Large Roof Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826285/needles-and-pins,2.8,-1,Sport,5.10a,1,55,44.56992,-92.52484
"Jasper's Dihedral","5. Saturday Buttress > Prairie Walls Area > Blue Mounds State Park (Luverne) > Minnesota",https://www.mountainproject.com/route/105827346/jaspers-dihedral,2.9,-1,"Trad, TR",5.8,1,45,43.6988,-96.18381
Crank-n-Go-Go,"Perfect Crimb Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826082/crank-n-go-go,2.8,-1,Sport,5.10d,1,50,44.5696,-92.52273
"3) Morphine","Sax Wall > Robinson Park > Sandstone > Minnesota",https://www.mountainproject.com/route/106919665/3-morphine,2.7,-1,"Sport, TR",5.9,1,50,46.13658,-92.85931
"Piece of Cake","Minnesota Strip > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/105826312/piece-of-cake,2.7,-1,"Trad, TR",5.7+,1,70,45.39843,-92.6535
"Fallen Knight","Minnesota Strip > Interstate SP (Taylors Falls) > Minnesota",https://www.mountainproject.com/route/105844633/fallen-knight,2.7,-1,"Trad, TR",5.9+,1,70,45.39843,-92.6535
"Sleeping Bat in a Ziplock Bag","Cyclops Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105824443/sleeping-bat-in-a-ziplock-bag,2.7,-1,Sport,5.10a/b,1,,44.56905,-92.52198
"Two Tone Zephyr","New Vice Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825445/two-tone-zephyr,2.7,-1,Sport,5.9,1,50,44.56993,-92.5238
"Quetico Crack","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105831429/quetico-crack,2.7,-1,"Trad, TR",5.8,1,95,47.32016,-91.21086
"Foreign Affairs","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105826209/foreign-affairs,2.6,-1,Sport,5.11a,1,,44.56899,-92.52106
"Jump Start","Winter Wall > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825167/jump-start,2.6,-1,Sport,5.10a,1,,44.56899,-92.52106
"Danger High Voltage","Palisade Head > Tettegouche SP (North Shore) > Minnesota",https://www.mountainproject.com/route/105887364/danger-high-voltage,2.5,-1,Trad,5.8+,2,160,47.32016,-91.21086
"Arachnid Tendencies","Large Roof Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105843549/arachnid-tendencies,3.3,-1,Sport,5.11d,1,,44.56992,-92.52484
"Goofed On Skunk Weed","New Vice Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105825456/goofed-on-skunk-weed,2.4,-1,"Trad, Sport",5.8,1,50,44.56993,-92.5238
"Micro Balls","Annadonia Area > Red Wing (a.k.a. He Mni Can, Barn Bluff) > Minnesota",https://www.mountainproject.com/route/105827127/micro-balls,2.5,-1,Sport,5.9+,1,45,44.56927,-92.52108
