Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Rancho Deluxe","7-11 Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/107527732/rancho-deluxe,3.5,-1,Sport,5.11b,1,70,45.594,-110.55906
"Orange Crack","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105947722/orange-crack,3.1,-1,Trad,5.11b,3,300,45.4169,-111.2342
"Hate Street Dialogue","Lower Replica > Wolverine Bowl > Bridger Range > Southwest Region > Montana",https://www.mountainproject.com/route/109342255/hate-street-dialogue,3.7,-1,"Sport, Alpine",5.11b,1,80,45.83735,-110.93638
"Black Parade","The Foyer > Natural Bridge and Falls > South Central Region > Montana",https://www.mountainproject.com/route/108072051/black-parade,2.9,-1,Sport,5.11b,1,,45.5492,-110.205
"Sky King","Skyline North > Skyline Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/113215990/sky-king,3.8,-1,Trad,5.11b,1,70,45.41887,-111.22837
"Trial By Fire","Ross Peak > Bridger Range > Southwest Region > Montana",https://www.mountainproject.com/route/112038080/trial-by-fire,3.7,-1,"Sport, Alpine","5.11b PG13",9,1100,45.8589,-110.9532
"Big Eagle Feather","Phipps Park > Billings Rimrocks > South Central Region > Montana",https://www.mountainproject.com/route/107978811/big-eagle-feather,3.9,-1,Trad,5.11b,1,50,45.816,-108.6882
"Single Synapse Rat Brain","Summer Triangle (aka Upper Replica) > Wolverine Bowl > Bridger Range > Southwest Region > Montana",https://www.mountainproject.com/route/109342651/single-synapse-rat-brain,3.7,-1,"Sport, Alpine",5.11b,1,90,45.8382,-110.93683
"Kabooki Direct","Black Line Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/108067391/kabooki-direct,3.6,-1,Trad,5.11b,1,80,45.41671,-111.2296
"Rockchuck Arete","Gregory > Billings Rimrocks > South Central Region > Montana",https://www.mountainproject.com/route/107500363/rockchuck-arete,3.9,-1,"Sport, TR",5.11b,1,60,45.8033,-108.5884
"If Pleiades Could Dance","Black Line Buttress > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/120484774/if-pleiades-could-dance,4.0,-1,Trad,5.11b,1,100,45.41671,-111.2296
"Against the Grain","Northern Exposure > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/110856710/against-the-grain,3.9,-1,Sport,5.11b,1,,45.41943,-111.22715
"Excuse Abuse","Gregory > Billings Rimrocks > South Central Region > Montana",https://www.mountainproject.com/route/107551661/excuse-abuse,4.0,-1,"Trad, TR",5.11b,1,55,45.8033,-108.5884
"In Spite of Ourselves","Winter Wall > Madison River Area > Southwest Region > Montana",https://www.mountainproject.com/route/111878612/in-spite-of-ourselves,3.5,-1,Trad,5.11b,1,70,45.5916,-111.5744
Peyote,"Vision Quest Wall > Indian Creek > Southwest Region > Montana",https://www.mountainproject.com/route/122434058/peyote,4.0,-1,Sport,5.11b,1,85,46.32318,-111.62483
"Who Shot the Datsun?","Main Wall > Lost Horse > Northwest Region > Montana",https://www.mountainproject.com/route/120723070/who-shot-the-datsun,4.0,-1,Trad,5.11b,1,80,46.10551,-114.26451
NWS,"The Fins > Coolidge > Southwest Region > Montana",https://www.mountainproject.com/route/117994590/nws,4.0,-1,"Trad, Alpine","5.11b R",6,800,45.47959,-113.01336
Direttissima,"Bertha Buttress > Stone Hill > Northwest Region > Montana",https://www.mountainproject.com/route/120590221/direttissima,3.5,-1,Sport,5.11b,1,50,48.78762,-115.29426
"Dancing on Air","New Rock (Butte) > Southwest Region > Montana",https://www.mountainproject.com/route/111657691/dancing-on-air,4.0,-1,Trad,"5.11b R",1,50,45.83536,-112.33778
"Flake Fest Direct","7-11 Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/120694574/flake-fest-direct,3.2,-1,Sport,5.11b,1,75,45.594,-110.55906
"Crack of Libido","Libido Formation > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107024645/crack-of-libido,3.3,-1,Trad,5.11b,1,40,45.41152,-111.22577
"The Gem","Gregory > Billings Rimrocks > South Central Region > Montana",https://www.mountainproject.com/route/107540534/the-gem,3.7,-1,TR,5.11b,1,40,45.8033,-108.5884
"No Drama Obama","Upper Tier > Mill Creek North Rim > Mill Creek > Northwest Region > Montana",https://www.mountainproject.com/route/107949800/no-drama-obama,3.6,-1,"Sport, Alpine",5.11b,1,80,46.3102,-114.2394
Tsunami,"Tsunami Area > Upper Bear Canyon > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/114802071/tsunami,3.5,-1,Sport,5.11b,1,70,45.59913,-110.90875
"No Sense of Fashion","Hantavirus Cave > Stormcastle > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/109314628/no-sense-of-fashion,3.1,-1,Sport,5.11b,1,70,45.4526,-111.2342
"Drill'em Fill'em","Dentist Area > Blackleaf Canyon > Northwest Region > Montana",https://www.mountainproject.com/route/118988077/drillem-fillem,3.3,-1,Sport,5.11b,2,90,48.00717,-112.71189
"Center Face","Gregory > Billings Rimrocks > South Central Region > Montana",https://www.mountainproject.com/route/107473497/center-face,3.2,-1,"Sport, TR",5.11b,1,40,45.8033,-108.5884
Hyperspace,"Fantasia Proper (roped routes) > Fantasia > Gillespie Basin > Southwest Region > Montana",https://www.mountainproject.com/route/121049390/hyperspace,3.5,-1,Trad,5.11b,1,25,46.00113,-112.24882
"Super Jesus","Upper Prow > Lower Bear Canyon > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/108264881/super-jesus,2.6,-1,Sport,5.11b,1,,45.85313,-111.57188
"Glory Hole","Metropolis > Point of Rocks > Northwest Region > Montana",https://www.mountainproject.com/route/122924827/glory-hole,3.3,-1,Sport,5.11b,1,80,48.65058,-114.70521
"Sweet Honey Biscuits","Rock In Between > Rattler Gulch > Northwest Region > Montana",https://www.mountainproject.com/route/113233387/sweet-honey-biscuits,3.0,-1,Sport,5.11b,1,55,46.727,-113.23219
"Unknown 11","Bukowski Buttress > Avalanche Gulch > Big Belt Mountains > Southwest Region > Montana",https://www.mountainproject.com/route/111886204/unknown-11,3.0,-1,Sport,5.11b,1,45,46.63387,-111.56291
"Witness the Tickness","Tick Farm > Mill Creek North Rim > Mill Creek > Northwest Region > Montana",https://www.mountainproject.com/route/107416436/witness-the-tickness,2.7,-1,"Sport, Alpine",5.11b,1,70,46.3102,-114.2394
Barfly,"Bukowski Buttress > Avalanche Gulch > Big Belt Mountains > Southwest Region > Montana",https://www.mountainproject.com/route/112886941/barfly,3.0,-1,Sport,5.11b,1,60,46.63387,-111.56291
"Fatal Attraction","Winter Wall > Hellgate Gulch > Big Belt Mountains > Southwest Region > Montana",https://www.mountainproject.com/route/108121896/fatal-attraction,3.0,-1,Sport,5.11b,3,200,46.65266,-111.59481
Tangentially,"Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/117392760/tangentially,2.8,-1,Trad,5.11b,1,85,45.55519,-111.06181
"Swan Song","Lower Replica > Wolverine Bowl > Bridger Range > Southwest Region > Montana",https://www.mountainproject.com/route/109342141/swan-song,2.8,-1,"Sport, Alpine",5.11b,1,100,45.83735,-110.93638
