Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Armatron,"Brownstone Wall > (11) Juniper Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105809181/armatron,3.5,-1,Trad,5.9-,6,680,36.11483,-115.4957
"Couldn't be Schmooter","Winter Heat Wall > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105934930/couldnt-be-schmooter,3.2,-1,Trad,5.9-,1,80,36.16876,-115.42245
"Long Walk Off Of a Short Pier","The Pier > Parking Lot Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105811893/long-walk-off-of-a-short-pier,2.4,-1,Sport,5.9-,1,70,36.1607,-115.44627
Atras,"Necromancer Wall > (09) Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732926/atras,2.8,-1,Trad,5.9-,2,200,36.144,-115.49069
"Vanishing Act","Disappearing Buttress > (19) Southern Outcrops > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106541312/vanishing-act,2.8,-1,Trad,5.9-,1,500,36.00623,-115.46607
"Halidon Spur","Halidon Spur > La Madre Range > Southern Nevada > Nevada",https://www.mountainproject.com/route/112896573/halidon-spur,3.3,-1,Trad,5.9-,10,2000,36.19546,-115.48648
"Magnificent 7","Suburban Crag > Lone Mountain > La Madre Range > Southern Nevada > Nevada",https://www.mountainproject.com/route/116563108/magnificent-7,2.4,-1,Sport,5.9-,1,45,36.23651,-115.31342
"Fire on the Horizon","Lava Butte Wall > Lava Butte > Lake Mead Area > Southern Nevada > Nevada",https://www.mountainproject.com/route/120106835/fire-on-the-horizon,3.0,-1,Trad,5.9-,1,120,36.15086,-114.93622
Brusk,"South Breezeway Dome > The Moon (aka Knob Hill) > Southern Nevada > Nevada",https://www.mountainproject.com/route/113906718/brusk,3.0,-1,Trad,5.9-,1,18,35.65105,-114.84571
"Climber of 5.9","Classic Rock Wall > (03) First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/122128607/climber-of-59,2.4,-1,"Sport, TR",5.9-,1,50,36.14572,-115.42813
Aristocats,"Left Side > Universal Wall > Kyle Canyon > Mount Charleston > Southern Nevada > Nevada",https://www.mountainproject.com/route/117354439/aristocats,2.2,-1,Sport,5.9-,1,50,36.2635,-115.66794
Skynet,"Blue Diamond Cave > Blue Diamond Area > Southern Nevada > Nevada",https://www.mountainproject.com/route/120453412/skynet,2.0,-1,Sport,5.9-,1,30,36.03775,-115.39201
"Harristone Ford","Red Springs Rock Lower Tier (aka Jabba the Hutt Rock) > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/122089973/harristone-ford,2.0,-1,Sport,5.9-,1,60,36.14562,-115.42186
"Life of Briley","Shark Fin Wall > Lower Canyon > Keyhole Canyon > Southern Nevada > Nevada",https://www.mountainproject.com/route/113791277/life-of-briley,2.5,-1,Trad,5.9-,1,80,35.71485,-114.92546
"The Schnozz","Mogul Cliffs > Reno Area > Western Nevada > Nevada",https://www.mountainproject.com/route/118851217/the-schnozz,2.3,-1,TR,5.9-,1,50,39.52233,-119.92515
"Cougar's Path","Tear Drop Dome > Lone Mountain > Western Nevada > Nevada",https://www.mountainproject.com/route/110334733/cougars-path,2.3,-1,Sport,5.9-,3,300,37.99488,-117.51581
