Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Brain Cramp","02. The Ocean > Dickey Ledge > Welch and Dickey Area > WM: Waterville Valley > New Hampshire",https://www.mountainproject.com/route/107359704/brain-cramp,3.9,-1,Trad,5.11c/d,1,100,43.91713,-71.58705
"Hard Times","The Northwest Territories > *Rumney > New Hampshire",https://www.mountainproject.com/route/106694077/hard-times,2.2,-1,Sport,5.11c/d,1,60,43.80478,-71.84537
"Jet Set","The Main Wall > Greens Cliff > WM: Kancamagus (Central) > New Hampshire",https://www.mountainproject.com/route/113766214/jet-set,3.5,-1,Sport,5.11c/d,1,85,44.0358,-71.3996
Shriek,"The Nest > Bird Murder > Merriam Woods aka Russell Crags > WM: Lincoln/Woodstock Area > New Hampshire",https://www.mountainproject.com/route/121567842/shriek,3.4,-1,Sport,5.11c/d,1,85,43.9927,-71.65781
"Pendulum Route","The Mordor Wall > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/106922081/pendulum-route,3.3,-1,Trad,"5.11c/d PG13",8,400,44.0636,-71.16568
"Ozone Bypass","Thin Air Face > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/122636025/ozone-bypass,3.0,-1,Trad,5.11c/d,1,60,44.06342,-71.16578
"Desperate Depression","Upper Cliff > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/106449416/desperate-depression,3.0,-1,"Trad, TR","5.11c/d R",1,40,43.11795,-71.17791
Telekinesis,"Jeremy's Wall - Main Cliff upper right > Main Cliff Area > Merriam Woods aka Russell Crags > WM: Lincoln/Woodstock Area > New Hampshire",https://www.mountainproject.com/route/121804214/telekinesis,2.7,-1,Sport,5.11c/d,1,70,43.99321,-71.65832
Flicker,"The Stolen Buttress - Main Cliff Left > Main Cliff Area > Merriam Woods aka Russell Crags > WM: Lincoln/Woodstock Area > New Hampshire",https://www.mountainproject.com/route/120947449/flicker,2.6,-1,Sport,5.11c/d,1,75,43.99317,-71.65888
Sasha,"Big Rock Cave > Lakes Region > New Hampshire",https://www.mountainproject.com/route/106596000/sasha,2.5,-1,Trad,5.11c/d,1,40,43.9211,-71.3292
"Cougar Eyes","The Outcrops > Devil's Den > New Durham Area  (Longstack, Devil's Den, Rines Hill, etc.) > Lakes Region > New Hampshire",https://www.mountainproject.com/route/106907513/cougar-eyes,2.5,-1,TR,5.11c/d,1,40,43.51347,-71.17278
"White Lightning","Big Wall > Owl's Head Cliff (Oliverian Notch) > WM: Oliverian Notch > New Hampshire",https://www.mountainproject.com/route/106498758/white-lightning,2.0,-1,Trad,"5.11c/d X",1,150,44.00389,-71.9085
"Jonny Rotten","El Wall > Jackson Crag > WM: Bartlett / Jackson Area > New Hampshire",https://www.mountainproject.com/route/112090164/jonny-rotten,2.0,-1,Sport,5.11c/d,1,85,44.15931,-71.1976
"Trash Juice","Love Bowl > 01. Boganville > 11a Gorham Area / Gorham Slab > WM: Pinkham / Presidentials > New Hampshire",https://www.mountainproject.com/route/123483388/trash-juice,2.0,-1,Sport,5.11c/d,1,60,44.43396,-71.16725
