Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Good,"Grotto Left (East Side) > The Grotto > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/105941860/good,2.8,-1,Sport,5.10b,1,65,35.805,-106.14337
"Balls to the Wall","Gnar Wall and Route Canal > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105980226/balls-to-the-wall,2.8,-1,Sport,5.10b,1,50,36.39297,-106.19541
"Cheshire Cat","Sleeping Beauty Wall > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105797213/cheshire-cat,2.7,-1,Sport,5.10b,1,50,34.23143,-107.91705
Blackballed,"Gnar Wall and Route Canal > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105980222/blackballed,2.6,-1,Sport,5.10b,1,50,36.39297,-106.19541
"Drive By Shooting","(B) Gateway Rock > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/105848492/drive-by-shooting,2.6,-1,Sport,5.10b,1,,35.816,-106.533
"Waiting to Procrastinate","Grotto Left (East Side) > The Grotto > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/105824878/waiting-to-procrastinate,2.9,-1,Sport,5.10b,1,,35.805,-106.14337
"We Bulls Wobble","(A) Cattle Call Wall Area > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106787298/we-bulls-wobble,2.4,-1,Sport,5.10b,1,40,35.81428,-106.53097
"Prima Donna","Pogue's Cave Area > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105821699/prima-donna,2.6,-1,Sport,5.10b,1,40,34.23284,-107.91784
"Juckets & Bugs","Major Wall > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/105895717/juckets-bugs,2.3,-1,Sport,5.10b,1,55,33.98603,-106.99008
"Yucca Flower Tower","Yucca Flower Tower > Echo Canyon > Sandia Mountains > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/105862618/yucca-flower-tower,3.2,-1,Trad,5.10b,3,,35.20149,-106.445
"Class Act","Grotto Right (West Side) > The Grotto > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/105803898/class-act,3.0,-1,Sport,5.10b,1,,35.80532,-106.14347
"Busted by Dewey","Main Wall > Little River Wall > El Rito > New Mexico",https://www.mountainproject.com/route/109281862/busted-by-dewey,3.5,-1,Sport,5.10b,1,90,36.38922,-106.23463
"The Other Woman","(E) Love Shack Area > Las Conchas > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/109498531/the-other-woman,2.8,-1,Sport,5.10b,1,60,35.81876,-106.53353
Reddi-Wip,"(C) Reddi-Wip Area > Rough and Ready Hills > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/106379912/reddi-wip,3.2,-1,Sport,5.10b,1,55,32.39492,-107.03712
"New Kids on the Block","Filet de Papillon Wall (aka Dirt Wall) > Northern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106096045/new-kids-on-the-block,2.7,-1,Sport,5.10b,1,40,34.0013,-106.99046
"Prescribed Burn","Fire Wall > Upper Tier > Comales Canyon > Taos Area > New Mexico",https://www.mountainproject.com/route/107746569/prescribed-burn,3.1,-1,Sport,5.10b,1,50,36.15739,-105.58167
Oreo,"Super Slab > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105939172/oreo,2.4,-1,Sport,5.10b,1,85,36.39224,-106.19574
