Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Bolting Barbie","Rad Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105818753/bolting-barbie,3.7,-1,Sport,5.11c/d,1,50,36.39259,-106.19534
"Astro Devil","Sun Devil Wall > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/107046712/astro-devil,4.0,-1,Sport,5.11c/d,3,350,35.80568,-106.14055
"Pocket Change","Pocket Change Wall > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/105959089/pocket-change,3.4,-1,Sport,5.11c/d,1,60,33.98623,-106.98927
"Unrelenting Nines","The Playground > White Rock > Los Alamos & White Rock > New Mexico",https://www.mountainproject.com/route/106058819/unrelenting-nines,3.7,-1,"Trad, TR",5.11c/d,1,50,35.8164,-106.1912
Edenic,"Eden Wall North Sector > Eden Wall > Eden Canyon > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/116680779/edenic,3.9,-1,Sport,5.11c/d,1,75,35.80798,-106.15547
Pepto-Dismal,"Eagle Canyon > Capulin Canyon and Cochiti Mesa Area Crags > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106043096/pepto-dismal,4.0,-1,Sport,5.11c/d,1,53,35.7184,-106.3853
"Lard Ass","El Norte > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/108344347/lard-ass,4.0,-1,Sport,5.11c/d,1,40,36.39508,-106.1954
"Extra Cheese","(09) The Far Side II > Palomas Peak > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106565114/extra-cheese,3.7,-1,Sport,5.11c/d,1,50,35.2347,-106.406
"Sink or Swim","(03) Wall of Dreams > New Side > Mentmore > Gallup Area > New Mexico",https://www.mountainproject.com/route/105805550/sink-or-swim,3.3,-1,Sport,5.11c/d,1,,35.51219,-108.86996
"Rolling Brownout","Upper Tier of  The Grotto > The Grotto > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/118926261/rolling-brownout,3.5,-1,Trad,5.11c/d,1,95,35.8054,-106.14319
"Johnny Appleseed","(A2) White Riot Wall Upper Tier > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/106756381/johnny-appleseed,3.5,-1,Sport,5.11c/d,1,50,36.3671,-105.7276
Tupper-Where,"Main Wall > The Shack > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/108348587/tupper-where,3.0,-1,Sport,5.11c/d,1,70,35.81327,-106.14429
"Airway Arete","Left End > Early Wall > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/105947124/airway-arete,3.2,-1,Sport,5.11c/d,1,60,35.80501,-106.14174
"One Chance... To Get Everything Right","(A1) Utopian Vista Upper Tier > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/105963243/one-chance-to-get-everything-right,3.3,-1,Sport,5.11c/d,1,50,36.3642,-105.7269
"Cheap Sunglasses","(B) Spaghetti Western Wall > Upper East Fork (UEF) > Jemez Mountains and Jemez Valley > New Mexico",https://www.mountainproject.com/route/106383122/cheap-sunglasses,2.8,-1,Sport,5.11c/d,1,,35.81978,-106.52028
"Zagreb (Unnamed  4)","Violince Wall > Last Chance Canyon > New Mexico, other Southern Areas > New Mexico",https://www.mountainproject.com/route/109773112/zagreb-unnamed-4,2.7,-1,Sport,5.11c/d,1,55,32.2365,-104.754
"Drop in the Ocean","(01) The Entrance > Palomas Peak > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/105953981/drop-in-the-ocean,3.0,-1,Sport,5.11c/d,1,70,35.2347,-106.406
"Rock Star","Damage Wall > New Canyon > East Side > Manzano Mountains > New Mexico, I-40 Corridor > New Mexico",https://www.mountainproject.com/route/107895662/rock-star,3.0,-1,Sport,5.11c/d,1,35,34.6811,-106.36119
"Dancing on the Moon","The Knifeblade > Pinnacle Valley > Sandia Mountains > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/106076745/dancing-on-the-moon,3.0,-1,Trad,"5.11c/d PG13",1,115,35.2223,-106.4556
"The Magic Journey","(L3)  El Grito Del Norte Wall > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/105973222/the-magic-journey,3.0,-1,Sport,5.11c/d,1,90,36.364,-105.7281
"Crossed Legs to Paradise","The Cheap Seats > Pecos River Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/107589184/crossed-legs-to-paradise,3.0,-1,Sport,5.11c/d,1,,35.7023,-105.6863
"Hail Bop","Solstice Cave > Last Chance Canyon > New Mexico, other Southern Areas > New Mexico",https://www.mountainproject.com/route/112524468/hail-bop,2.6,-1,Sport,5.11c/d,1,30,32.24017,-104.75719
"Tacoma Man","1. Bat Cave > Vista Verde Crag > Taos Area > New Mexico",https://www.mountainproject.com/route/106014177/tacoma-man,2.5,-1,Sport,5.11c/d,1,45,36.342,-105.7394
"Just Another Pretty Face","Training Wall > El Rito Sport Area > El Rito > New Mexico",https://www.mountainproject.com/route/105819896/just-another-pretty-face,2.3,-1,Sport,5.11c/d,1,30,36.3905,-106.1956
"Smoke Signals","(A1) Utopian Vista Upper Tier > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/107196617/smoke-signals,2.7,-1,"Trad, Sport",5.11c/d,1,55,36.3642,-105.7269
"Spring Chicken","The Other Side > Cockscomb Crag > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/106335053/spring-chicken,2.5,-1,Sport,5.11c/d,1,70,35.8052,-106.139
"Yo La Tango","South Face > The Land Beyond > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/105868382/yo-la-tango,2.5,-1,Sport,5.11c/d,1,,34.25338,-107.91031
"Breaking Bad","(L6) Mud Palace Wall > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/106715538/breaking-bad,2.5,-1,Sport,5.11c/d,1,80,36.3671,-105.7276
"Sideshow Rodeo","(05) The Open Face Wall > New Side > Mentmore > Gallup Area > New Mexico",https://www.mountainproject.com/route/106166547/sideshow-rodeo,2.5,-1,Sport,5.11c/d,1,35,35.51121,-108.87032
"The Empanada Brotherhood","(L4) Dammit Samet Wall > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/106309667/the-empanada-brotherhood,2.5,-1,Sport,5.11c/d,1,50,36.3671,-105.7276
"If Mountains Die","(L4) Dammit Samet Wall > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/106320107/if-mountains-die,2.5,-1,Sport,5.11c/d,1,50,36.3671,-105.7276
"Man in the Arena","(A2) White Riot Wall Upper Tier > Utopian Vistas > Taos Area > New Mexico",https://www.mountainproject.com/route/105998317/man-in-the-arena,2.5,-1,"Trad, Sport",5.11c/d,1,70,36.3671,-105.7276
Grumpy,"The Giants Molars > Enchanted Tower > New Mexico",https://www.mountainproject.com/route/106378810/grumpy,2.3,-1,Sport,5.11c/d,1,55,34.22974,-107.91422
"Slopey Seconds","Slope City (a.k.a. Pink Wall) > Little River Wall > El Rito > New Mexico",https://www.mountainproject.com/route/110835089/slopey-seconds,2.0,-1,Sport,5.11c/d,1,65,36.3905,-106.23489
"Septic Maiden","The Sewer Crag > White Rock > Los Alamos & White Rock > New Mexico",https://www.mountainproject.com/route/106997946/septic-maiden,2.0,-1,Sport,5.11c/d,1,60,35.8299,-106.1811
"Dirty Diapers","Vedauwoo Dome > Dona Ana Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/105951764/dirty-diapers,2.0,-1,TR,5.11c/d,1,30,32.4536,-106.7778
Oxbow,"Main Wall > Big River Wall > Diablo Canyon > Santa Fe Area > New Mexico",https://www.mountainproject.com/route/123713878/oxbow,3.0,-1,Sport,5.11c/d,1,70,35.84389,-106.14834
