Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Supper's Ready","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105877392/suppers-ready,3.9,-1,Trad,5.12a,1,150,41.74396,-74.17964
"To Be Or Not To Be","b. Gelsa to Moe (closure) > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/106379705/to-be-or-not-to-be,3.6,-1,Trad,"5.12a R",1,80,41.73294,-74.19626
"Kingdom Come","The King Wall > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/105983183/kingdom-come,3.7,-1,"Sport, Aid","5.12a A0",4,270,44.13223,-73.74423
"White Knight","The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/107287722/white-knight,3.8,-1,Trad,5.12a,1,90,44.1454,-73.75082
"No Solution","a1. The Uberfall - left > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/106440087/no-solution,2.8,-1,"Trad, TR",5.12a,1,60,41.737,-74.18943
"One Route to Rule Them All","Underwood Canyon > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/118694361/one-route-to-rule-them-all,3.8,-1,Sport,5.12a,1,130,44.08727,-73.68867
"Vanishing Point","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/115446450/vanishing-point,4.0,-1,Trad,"5.12a R",1,100,41.74396,-74.17964
"Crack'n Up","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/112426662/crackn-up,3.8,-1,Trad,"5.12a PG13",1,90,41.74396,-74.17964
"Captain Hooks","The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/108154746/captain-hooks,4.0,-1,Trad,5.12a,1,90,44.1454,-73.75082
"Iron Cross","Potash Cliff > F: Lake George Region > Adirondacks > New York",https://www.mountainproject.com/route/110283062/iron-cross,3.8,-1,Sport,5.12a,1,70,43.3751,-73.82928
Eraserhead,"b. Gelsa to Moe (closure) > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/111820401/eraserhead,2.8,-1,"Trad, TR",5.12a,1,60,41.73294,-74.19626
"Looney Toons","Frontiertown Crag > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/120729678/looney-toons,3.3,-1,Trad,5.12a,1,80,43.94721,-73.72774
"Partners in Climb","Split Rock Canyon > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/112017224/partners-in-climb,3.4,-1,Sport,5.12a,1,55,44.22557,-73.38588
"Sound and Fury","Purple Rain Wall > Silver Lake > K: Northern Region > Adirondacks > New York",https://www.mountainproject.com/route/115446730/sound-and-fury,4.0,-1,Trad,5.12a,1,90,44.51959,-73.81865
"Project X","Main Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York",https://www.mountainproject.com/route/122888221/project-x,4.0,-1,Trad,5.12a,1,100,43.5605,-73.60366
"Inner Sanctum","Lost Hunters > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/123404803/inner-sanctum,4.0,-1,Trad,"5.12a PG13",1,80,43.27049,-74.51824
"Activate Your Almonds","The Reef > Hailes Cave South > Thacher State Park > New York",https://www.mountainproject.com/route/123269984/activate-your-almonds,4.0,-1,Sport,5.12a,1,50,42.66036,-74.02018
"Crimptogramma Stelleri","Mahican Section > Hailes Cave South > Thacher State Park > New York",https://www.mountainproject.com/route/113765943/crimptogramma-stelleri,3.1,-1,Sport,5.12a,1,40,42.66278,-74.02052
"Another Wack and Dangle Job","The King Wall > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/106545399/another-wack-and-dangle-job,3.6,-1,Trad,5.12a,1,70,44.13223,-73.74423
"Summer Break","Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/119293561/summer-break,3.5,-1,Trad,"5.12a PG13",3,250,44.40783,-73.50371
"Crazy Horse","Main Cliff > Deadwater > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/110843186/crazy-horse,3.2,-1,Sport,5.12a,1,90,44.06109,-73.66381
"Sling Time","a. Beginning of cliff to Gelsa > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/108317530/sling-time,3.3,-1,Trad,5.12a,1,,41.73517,-74.19463
Birdbrain,"b. Gelsa to Moe (closure) > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/109199024/birdbrain,2.8,-1,"Trad, TR","5.12a X",1,80,41.73294,-74.19626
Dissonance,"j. The Yellow Wall and The Seasons > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/112426725/dissonance,3.0,-1,Trad,5.12a,1,70,41.74756,-74.17576
"Mental Blocks","Wallface > E: High Peaks Region > Adirondacks > New York",https://www.mountainproject.com/route/112062675/mental-blocks,2.9,-1,"Trad, Aid","5.12a C1",6,530,44.137,-74.035
"Something Taken","Dark Block > Horseshoe North Cliff > Thacher State Park > New York",https://www.mountainproject.com/route/114428453/something-taken,2.9,-1,Sport,5.12a,1,80,42.66066,-74.01661
"Totally Chossum","Cave Wall > Hailes Cave South > Thacher State Park > New York",https://www.mountainproject.com/route/118225045/totally-chossum,3.0,-1,Sport,5.12a,1,90,42.66434,-74.02004
"Moments in Peace","Ausable Buttress > D: Wilmington Region > Adirondacks > New York",https://www.mountainproject.com/route/121208302/moments-in-peace,3.0,-1,Trad,5.12a,3,185,44.29692,-73.79077
Época,"The Fortress > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/118708399/epoca,3.0,-1,Sport,5.12a,1,70,44.04003,-73.61361
"Queen For a Day","Good Luck Mountain > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/111349379/queen-for-a-day,3.0,-1,Trad,5.12a,1,90,43.249,-74.557
"Future Shock","l. Sleepy Hollow > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/111059966/future-shock,2.7,-1,"Trad, TR","5.12a R",1,70,41.75034,-74.17373
Hydrophobia,"Cave Wall > Hailes Cave South > Thacher State Park > New York",https://www.mountainproject.com/route/122939770/hydrophobia,3.0,-1,Sport,5.12a,1,60,42.66434,-74.02004
"Squat Thrust","a. Beginning of cliff to Gelsa > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/113354890/squat-thrust,3.0,-1,Trad,"5.12a PG13",1,110,41.73517,-74.19463
"Munchky Microarete","Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/113483012/munchky-microarete,3.0,-1,Sport,5.12a,1,120,44.40783,-73.50371
"Hot Flash","Boxcar > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/116167171/hot-flash,3.0,-1,"Sport, TR",5.12a,1,70,44.10826,-73.72038
"Hells Yeah!","The Choss Factory > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/114391247/hells-yeah,3.0,-1,Sport,5.12a,1,95,43.2618,-74.56091
"Hot Compress","Lost Hunters > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/106902780/hot-compress,3.0,-1,Sport,5.12a,1,50,43.27049,-74.51824
"Royal Pain","The King Wall > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/116835050/royal-pain,2.6,-1,Sport,5.12a,1,50,44.13223,-73.74423
"Smilin' the Hard Way","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/108002758/smilin-the-hard-way,2.7,-1,Trad,"5.12a PG13",1,,41.74396,-74.17964
"Flavor of the Day","Lost T > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/107564808/flavor-of-the-day,2.7,-1,Sport,5.12a,1,45,43.2608,-74.5222
"Roof Direct","Otter Lake Cliff > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/107623474/roof-direct,2.8,-1,Sport,5.12a,1,35,43.1936,-74.4966
"Barndance, a.k.a. Crankmaster T's Arete","s. The Golden Wall > Peterskill > The Gunks > New York",https://www.mountainproject.com/route/105899750/barndance-aka-crankmaster-ts-arete,2.6,-1,TR,"5.12a X",1,70,41.73904,-74.21411
"Three Raccoons in a Patagonia Fleece","Eagle Falls > I: Old Forge Region > Adirondacks > New York",https://www.mountainproject.com/route/113506573/three-raccoons-in-a-patagonia-fleece,2.4,-1,Sport,5.12a,1,90,43.9051,-75.1959
"A Touch of Gray","Tanager Face > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/113463512/a-touch-of-gray,2.4,-1,Sport,5.12a,1,60,44.13715,-73.74584
"Too Many Video Games","9. Basilisk > h. Revolutionary Ramparts > Powerlinez > New York",https://www.mountainproject.com/route/109335019/too-many-video-games,2.5,-1,TR,5.12a,1,40,41.14576,-74.16786
"The Numbers Racket","l. Sleepy Hollow > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/123256662/the-numbers-racket,2.0,-1,Trad,"5.12a R",1,70,41.75034,-74.17373
"Kama Sutra","c. Frog's Head - the Arch > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/108247043/kama-sutra,2.1,-1,"Trad, TR","5.12a R",1,70,41.73836,-74.18537
Poopooplexy,"a1. The Uberfall - left > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/121330952/poopooplexy,2.3,-1,Trad,"5.12a R",1,90,41.737,-74.18943
"Cilley Dicken'","b. Jackie and friends > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/112555800/cilley-dicken,2.0,-1,Trad,"5.12a R",1,80,41.73755,-74.18693
"The Rapture","Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/106518301/the-rapture,2.0,-1,Trad,5.12a,1,80,44.40783,-73.50371
"That Thing","k. The Slime Wall > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/113015330/that-thing,2.0,-1,Trad,"5.12a PG13",1,60,41.74928,-74.1749
PLEH!,"g. V3 - Middle Earth > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/121140301/pleh,2.0,-1,Trad,"5.12a PG13",1,120,41.74267,-74.18075
"Slime World","l. Sleepy Hollow > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/114933479/slime-world,2.0,-1,Trad,5.12a,1,50,41.75034,-74.17373
"Drop Zone","k. The Slime Wall > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/114129141/drop-zone,2.0,-1,"Trad, TR","5.12a R",1,50,41.74928,-74.1749
"The Brutalizer","3. Scheyichbi > m. Picatinny > Powerlinez > New York",https://www.mountainproject.com/route/112251847/the-brutalizer,2.0,-1,TR,5.12a,1,40,41.1458,-74.16712
STaT,"Upper South Corner Cliffs > Crane Mountain > G: Indian Lake Region > Adirondacks > New York",https://www.mountainproject.com/route/112286077/stat,2.0,-1,"Trad, TR",5.12a,1,65,43.5378,-73.9677
