Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Unwritten Law","The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/106107118/unwritten-law,3.7,-1,Sport,5.12b/c,1,45,36.09709,-81.7719
"Blind Prophet","08. Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107503803/blind-prophet,3.4,-1,Sport,"5.12b/c PG13",1,70,36.34013,-80.48401
"Waste Not, Want Not","North Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106736482/waste-not-want-not,3.7,-1,Trad,5.12b/c,1,80,35.30546,-82.79093
"Spry Look","Hanging Chain > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/107361500/spry-look,4.0,-1,Sport,5.12b/c,1,100,35.4555,-82.22473
"Appalachian Spring","Middle Hawksbill > Hawksbill Mtn > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/106450568/appalachian-spring,3.4,-1,Trad,5.12b/c,1,60,35.91263,-81.88769
Underdog,"Fire Wall > Moore's Wall (Routes) > Moore's Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/106274979/underdog,4.0,-1,Trad,"5.12b/c R",1,100,36.3979,-80.2917
Predator,"Sun Wall > Looking Glass Rock > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106165300/predator,4.0,-1,"Trad, Sport",5.12b/c,1,120,35.30308,-82.79529
"Bat Attack","North End > Moore's Wall (Routes) > Moore's Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/106301044/bat-attack,3.7,-1,"Trad, Sport",5.12b/c,1,90,36.3979,-80.2917
"Horse Shoes & Hand Grenades","North Carolina Wall > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/108262859/horse-shoes-hand-grenades,4.0,-1,Trad,5.12b/c,1,90,35.87662,-81.89174
"Alternative Man","Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/108068427/alternative-man,3.6,-1,Trad,"5.12b/c PG13",2,200,36.099,-81.7815
Rabies,"The Kennel > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/107293267/rabies,3.3,-1,Sport,"5.12b/c PG13",1,60,35.449,-82.2143
"Orange Peel","The Wall of Solitude > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106065010/orange-peel,3.3,-1,"Trad, Sport",5.12b/c,1,85,35.449,-82.2143
Desp-arete,"Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/108122409/desp-arete,3.0,-1,Sport,5.12b/c,1,70,35.83139,-81.90257
Kidsmoke,"Lower Hawksbill > Hawksbill Mtn > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/117795777/kidsmoke,3.0,-1,Trad,5.12b/c,1,80,35.91349,-81.88801
"Green Eggs and Ham","Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106708297/green-eggs-and-ham,2.8,-1,Sport,"5.12b/c PG13",1,80,35.44953,-82.21258
"Superman's Dead","North End > Moore's Wall (Routes) > Moore's Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/108212919/supermans-dead,2.7,-1,Trad,"5.12b/c R",1,80,36.3979,-80.2917
"Jean Claude Trans-Am (F.A. 2001)","Little Wilson > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/107781481/jean-claude-trans-am-fa-2001,2.3,-1,Sport,5.12b/c,1,,36.0885,-81.79303
"Kramer v Kramer","The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/113272685/kramer-v-kramer,2.0,-1,Sport,5.12b/c,1,,36.09709,-81.7719
