Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Ledge 'N' Dairy","Square Butte > North Dakota",https://www.mountainproject.com/route/118992044/ledge-n-dairy,4.0,-1,Sport,5.10a,1,80,46.86779,-103.70275
"Slabby Cat","Square Butte > North Dakota",https://www.mountainproject.com/route/118902652/slabby-cat,4.0,-1,Sport,5.12a,1,50,46.86779,-103.70275
"Powerline Crack","Sentinel Butte > North Dakota",https://www.mountainproject.com/route/110755732/powerline-crack,3.7,-1,"Trad, TR",5.10a,1,60,46.8784,-103.8363
"The Great Roof","Sentinel Butte > North Dakota",https://www.mountainproject.com/route/110755963/the-great-roof,3.3,-1,"Trad, TR",5.7,1,60,46.8784,-103.8363
"Step or Stone, Breath or Bone","Square Butte > North Dakota",https://www.mountainproject.com/route/118902608/step-or-stone-breath-or-bone,3.0,-1,Sport,5.11a,1,50,46.86779,-103.70275
"Gift of Life","Square Butte > North Dakota",https://www.mountainproject.com/route/118902402/gift-of-life,3.0,-1,Trad,"5.10b R",1,75,46.86779,-103.70275
"Splendor of Jobs Gone By","Square Butte > North Dakota",https://www.mountainproject.com/route/118902678/splendor-of-jobs-gone-by,2.5,-1,Sport,5.10a,1,65,46.86779,-103.70275
"Hell's Heaven","Sentinel Butte > North Dakota",https://www.mountainproject.com/route/106598217/hells-heaven,2.3,-1,"Sport, TR",5.10a,1,30,46.8784,-103.8363
"Cal's Crack","Medora Interstate Rocks > North Dakota",https://www.mountainproject.com/route/110388638/cals-crack,2.0,-1,"Trad, TR",5.9,1,25,46.93678,-103.59757
"Off Width His Head","Square Butte > North Dakota",https://www.mountainproject.com/route/113790739/off-width-his-head,2.0,-1,Trad,5.10c,1,80,46.86779,-103.70275
"Volkswagen Crack","Sentinel Butte > North Dakota",https://www.mountainproject.com/route/110681366/volkswagen-crack,2.0,-1,"Trad, TR",5.8,1,80,46.8784,-103.8363
"Right Crack","Chimney Butte > North Dakota",https://www.mountainproject.com/route/119088078/right-crack,2.0,-1,"Trad, TR","5.9 PG13",1,55,47.92742,-102.84008
"Doodlebugger (AKA Standard Route)","Chimney Butte > North Dakota",https://www.mountainproject.com/route/119350595/doodlebugger-aka-standard-route,2.0,-1,TR,5.8,1,50,47.92742,-102.84008
"Wrong Crack","Chimney Butte > North Dakota",https://www.mountainproject.com/route/119350523/wrong-crack,2.0,-1,TR,5.10,1,60,47.92742,-102.84008
"Red Cloud Crack","Square Butte > North Dakota",https://www.mountainproject.com/route/113775252/red-cloud-crack,2.0,-1,Trad,5.10b,1,50,46.86779,-103.70275
"Barbwire Love","Square Butte > North Dakota",https://www.mountainproject.com/route/118902285/barbwire-love,2.0,-1,Trad,5.9,1,50,46.86779,-103.70275
"American Black Eagle","Sentinel Butte > North Dakota",https://www.mountainproject.com/route/115189062/american-black-eagle,2.0,-1,"Sport, TR",5.9,1,50,46.8784,-103.8363
"Definitive Expletive","Square Butte > North Dakota",https://www.mountainproject.com/route/118902337/definitive-expletive,2.0,-1,Trad,5.11c,1,60,46.86779,-103.70275
"The Easy Route","Trestle 2 > Shake Dome > North Dakota",https://www.mountainproject.com/route/120451153/the-easy-route,2.0,-1,Sport,5.7,1,15,46.87946,-96.77594
"The Pogo Hole Route","Trestle 2 > Shake Dome > North Dakota",https://www.mountainproject.com/route/120451076/the-pogo-hole-route,2.0,-1,Sport,5.9,1,15,46.87946,-96.77594
Criss,"Trestle 2 > Shake Dome > North Dakota",https://www.mountainproject.com/route/120451099/criss,2.0,-1,Sport,5.8,1,20,46.87946,-96.77594
"That's Da-Beta-ble","Sentinel Butte > North Dakota",https://www.mountainproject.com/route/119000326/thats-da-beta-ble,2.0,-1,Sport,5.10d,1,35,46.8784,-103.8363
"Bottom Brick Traverse","Trestle 2 > Shake Dome > North Dakota",https://www.mountainproject.com/route/120452120/bottom-brick-traverse,2.0,-1,Sport,5.9,1,50,46.87946,-96.77594
"West Overhang","Trestle 2 > Shake Dome > North Dakota",https://www.mountainproject.com/route/120451241/west-overhang,2.0,-1,Sport,5.8,1,15,46.87946,-96.77594
"East Overhang","Trestle 2 > Shake Dome > North Dakota",https://www.mountainproject.com/route/120451224/east-overhang,2.0,-1,Sport,5.8,1,15,46.87946,-96.77594
Cross,"Trestle 2 > Shake Dome > North Dakota",https://www.mountainproject.com/route/120451121/cross,2.0,-1,Sport,5.8,1,20,46.87946,-96.77594
