Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Silver Streaks","D. Katz Wall > Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/116983736/silver-streaks,3.6,-1,Sport,5.9,1,60,40.06862,-82.26248
"Excellent Ella","Dad's Wall (aka Glass Buttress) > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113104498/excellent-ella,2.7,-1,Sport,5.6,1,30,39.91534,-83.85963
Scrub-a-Dub-Dub,"Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113201588/scrub-a-dub-dub,2.6,-1,Sport,5.9,1,,39.91546,-83.86007
Slingshot,"Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113213933/slingshot,2.5,-1,Sport,5.8,1,25,39.91506,-83.85918
"Knope We Can","Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113214186/knope-we-can,2.2,-1,Sport,5.7,1,25,39.91506,-83.85918
"Slippery When Wet","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113109467/slippery-when-wet,3.2,-1,Sport,5.10a/b,1,40,39.91546,-83.86007
"6 pack","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113533042/6-pack,2.5,-1,Sport,5.9,1,30,39.91546,-83.86007
"The Crack","Main Wall > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105992553/the-crack,3.2,-1,"Trad, TR",5.8+,1,40,41.21978,-81.70137
"Casual Business","F. Genesis Wall and East Side Boulders > Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/116981260/casual-business,3.5,-1,Sport,5.11a,1,60,40.06951,-82.26206
Smokey,"Overpass Wall > Overpass Area > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113097796/smokey,3.5,-1,Sport,5.10b,1,,39.91476,-83.85385
"Slappy McCracken","Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113138344/slappy-mccracken,2.6,-1,Sport,5.10-,1,30,39.91506,-83.85918
J-Ella,"Dad's Wall (aka Glass Buttress) > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113098494/j-ella,2.6,-1,Sport,5.10b,1,30,39.91534,-83.85963
"Wu Who","Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/115437970/wu-who,3.0,-1,Sport,5.9,1,25,39.91506,-83.85918
Bangarang,"Amusement Wall > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113137214/bangarang,2.7,-1,Sport,5.10a/b,1,30,39.91506,-83.85918
Recycler,"Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113106584/recycler,3.9,-1,Sport,5.12b,1,45,39.91546,-83.86007
"Booty Call","D. Katz Wall > Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/122041741/booty-call,3.4,-1,Sport,5.9+,1,65,40.06862,-82.26248
"S Crack","Dad's Wall (aka Glass Buttress) > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113098313/s-crack,2.4,-1,Trad,5.7,1,30,39.91534,-83.85963
"Squeeze Box","Clear Creek Crag > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/114303578/squeeze-box,3.0,-1,Sport,5.10b,1,40,39.91546,-83.86007
"Roadside Distraction","Overpass Wall > Overpass Area > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/113097805/roadside-distraction,3.5,-1,Trad,5.8,1,,39.91476,-83.85385
"Christ Died Crack","Christ Died > Whipps Ledges > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105994130/christ-died-crack,3.0,-1,"Trad, TR",5.8,1,40,41.21643,-81.69996
"Drop Zone","Overpass Wall > Overpass Area > MRG Southeast (aka Darkside) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/117798856/drop-zone,2.7,-1,Sport,5.8,1,40,39.91476,-83.85385
"Footloose and Finger Free","3. Right Main Wall > Big Cliffs > Logtown > Northeast Ohio > Ohio",https://www.mountainproject.com/route/105959741/footloose-and-finger-free,2.7,-1,Sport,"5.9 PG13",1,40,40.77932,-80.78356
"Bush League","E. Poison Ivy Wall (""The Cave"") > Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/117336232/bush-league,3.7,-1,Sport,5.11c,1,32,40.0692,-82.26208
"Slug Buddy","Trash Shoot Wall > Trash Shoot Area > MRG Southwest (aka Western Wetlands) > Mad River Gorge & Nature Preserve > Southwest Ohio > Ohio",https://www.mountainproject.com/route/115147938/slug-buddy,2.6,-1,Sport,5.8,1,25,39.91483,-83.86433
"The Phoenix","C. Warm-Up Wall > Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/115408187/the-phoenix,2.4,-1,Sport,5.8+,1,32,40.06859,-82.26251
"Witless & Fitless","F. Genesis Wall and East Side Boulders > Marne Road > Central Ohio > Ohio",https://www.mountainproject.com/route/119438387/witless-fitless,3.7,-1,Sport,5.11b/c,1,60,40.06951,-82.26206
