Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Dirty Pinkos","(u) Red Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/108347741/dirty-pinkos,3.5,-1,Sport,5.9+,4,,44.3696,-121.13916
"Gandalf's Grip","(1) North Face > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/105789504/gandalfs-grip,3.3,-1,Trad,5.9+,3,200,45.5409,-122.37723
"Honey Pot","(a) Picnic Lunch Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105814633/honey-pot,2.8,-1,Sport,5.9+,1,80,44.36818,-121.1401
"Classic Crack","(3) Red Wall > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/105789513/classic-crack,2.7,-1,Trad,5.9+,1,35,45.53999,-122.37622
"The Morgul Vale","Southeast Face > Wolf Rock > Willamette Valley > Oregon",https://www.mountainproject.com/route/111750995/the-morgul-vale,3.3,-1,Sport,"5.9+ PG13",8,800,44.30131,-122.14792
"Catharsis P1","(4) Main Wall > Madrone Wall > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/113772203/catharsis-p1,2.5,-1,Sport,5.9+,1,40,45.3906,-122.45762
"Flaked out","Spring Mountain > Northeast Oregon > Oregon",https://www.mountainproject.com/route/107303725/flaked-out,2.9,-1,Sport,5.9+,1,60,45.45812,-118.23642
"Eagle's Dare","Acker Rock > Southwest Oregon > Oregon",https://www.mountainproject.com/route/113728534/eagles-dare,3.7,-1,Sport,"5.9+ PG13",8,710,43.05188,-122.64633
Sauron,"(5) Shakespeare Cliff > East Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105888984/sauron,3.0,-1,Trad,5.9+,1,85,44.36684,-121.12991
"Sesame Street","(2) Hanging Gardens > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/106116195/sesame-street,3.0,-1,Trad,5.9+,1,25,45.54039,-122.37726
"Frodo's Journey","(1) North Face > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/105878883/frodos-journey,2.5,-1,Trad,5.9+,1,45,45.5409,-122.37723
Roswell,"Area 51 > Mt. Hood National Forest > Oregon",https://www.mountainproject.com/route/109554534/roswell,2.8,-1,Trad,5.9+,1,55,45.34836,-121.43762
"Tiger Pause","e. Bill's Buttress > Rocky Butte > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/122202244/tiger-pause,3.5,-1,"Trad, TR","5.9+ PG13",1,115,45.551,-122.56473
"Barley Hurley Route","Wallowa County Crag > Lakes Basin > Wallowa Mountains > Northeast Oregon > Oregon",https://www.mountainproject.com/route/108514225/barley-hurley-route,4.0,-1,"Trad, Alpine",5.9+,4,600,45.20359,-117.28738
"Hard Lieback","Skinner Butte (aka The Columns) > Willamette Valley > Oregon",https://www.mountainproject.com/route/105790268/hard-lieback,3.0,-1,"Trad, TR",5.9+,1,35,44.05839,-123.09714
Cerberus,"(2) Land of Shadows > Klinger Spring > Mt. Hood National Forest > Oregon",https://www.mountainproject.com/route/109610277/cerberus,2.5,-1,Sport,5.9+,1,95,45.40966,-121.56826
"Lunatic To Love","Christian Brothers - East Side > (l) Christian Brothers > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106032536/lunatic-to-love,2.2,-1,Sport,5.9+,1,,44.36598,-121.14688
"Two Step Right","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/108208213/two-step-right,2.5,-1,Trad,5.9+,1,,44.80197,-121.10859
"Snibble Tower","(1) Northeast Face > (m) Smith Rock Group > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/105923678/snibble-tower,3.1,-1,"Trad, Aid","5.9+ C1",5,500,44.36442,-121.14739
Excalibur,"Coethedral Main > Coethedral > Mt. Hood National Forest > Oregon",https://www.mountainproject.com/route/107231145/excalibur,3.2,-1,Sport,5.9+,1,175,45.07772,-122.10021
"Power Surge","j. Toothpick Wall > Rocky Butte > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/111800008/power-surge,2.9,-1,TR,5.9+,1,50,45.55193,-122.56703
