Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Jim's Throne","11 - Jim's Wall > White Rocks > Pond Bank > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107171270/jims-throne,2.9,-1,Trad,5.4,1,120,39.8684,-77.5237
"Ivy Leaf","b. Practice Face > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106134918/ivy-leaf,2.2,-1,"Trad, TR","5.4 PG13",1,50,40.44047,-75.0994
"Quaranteenage Mutant Ninja Turtles","f. Super Slab Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/119429825/quaranteenage-mutant-ninja-turtles,2.7,-1,Sport,5.4,1,50,39.91766,-76.37693
Beelzebub,"Devils Pulpit- Closed > Northeast Ridges and Valleys > Pennsylvania",https://www.mountainproject.com/route/116625019/beelzebub,4.0,-1,Trad,"5.4 X",2,150,40.78945,-75.6136
Surprise,"f. Land of the Giants > Mount Minsi > Delaware Water Gap (PA) > Northeast Ridges and Valleys > Pennsylvania",https://www.mountainproject.com/route/107238582/surprise,2.9,-1,Trad,5.4,2,100,40.96313,-75.12387
"The Library","Main Wall > Chickies Rock > South Central PA > Pennsylvania",https://www.mountainproject.com/route/106461514/the-library,2.3,-1,"Trad, TR",5.4,1,80,40.05153,-76.52507
"Patriot Act","9 - Calvin's Slabs > White Rocks > Pond Bank > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107979731/patriot-act,2.7,-1,"Trad, TR",5.4,1,80,39.86785,-77.52389
"Entrance Route","Trailside > 1.5 Chimney of Horror Section > Safe Harbor North > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/114144225/entrance-route,2.0,-1,Sport,5.4,1,60,39.95017,-76.45129
"Pillar Front Face","Right Side > Damnation Wall > Donation Rocks > Central PA > Pennsylvania",https://www.mountainproject.com/route/119636343/pillar-front-face,3.0,-1,Trad,"5.4 X",1,35,40.57418,-77.94383
"Das Fraulein","Main Rock > Livezey Rock > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107287528/das-fraulein,3.0,-1,"Trad, TR",5.4,1,,40.0477,-75.21129
"Beginners' Face","Beginners' Face > Rim Road Climbing Area > McConnells Mill State Park > The Northwest > Pennsylvania",https://www.mountainproject.com/route/106917883/beginners-face,2.2,-1,"Trad, TR",5.4,1,35,40.95449,-80.17109
"Far Face Corner","r. Far Face > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106488991/far-face-corner,1.8,-1,"Trad, TR",5.4,1,45,40.4416,-75.096
"Deaf is Beautiful","o. Chain Reaction Buttress > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/106384695/deaf-is-beautiful,2.3,-1,"Trad, TR",5.4,1,75,40.44162,-75.09668
"Snowflake Variation 1","Main Wall > Chickies Rock > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107785614/snowflake-variation-1,2.6,-1,Trad,"5.4 PG13",1,100,40.05153,-76.52507
"Well Groomed When Pruned","10 - Pillar 2 > White Rocks > Pond Bank > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107205542/well-groomed-when-pruned,2.1,-1,"Trad, TR",5.4,1,90,39.86844,-77.52353
Noted.,"s. Lower Stover > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/122284142/noted,2.5,-1,TR,5.4,1,35,40.43866,-75.09122
"Beginners Top-Rope Face","Main Wall > Mocanaqua (aka Shickshinny) > Northeast Ridges and Valleys > Pennsylvania",https://www.mountainproject.com/route/109494970/beginners-top-rope-face,2.5,-1,TR,5.4,1,,41.1485,-76.1133
"Oh Promise Me","m. Noncensus Area > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107982061/oh-promise-me,2.3,-1,Trad,5.4,1,75,40.44158,-75.09739
"Flake Accesss","The Main Attraction > Blue Run Rocks > Central PA > Pennsylvania",https://www.mountainproject.com/route/107903176/flake-accesss,2.1,-1,"Trad, TR",5.4,1,,41.80355,-77.54746
"Snowflake Direct","Main Wall > Chickies Rock > South Central PA > Pennsylvania",https://www.mountainproject.com/route/118804785/snowflake-direct,2.1,-1,"Trad, TR",5.4,1,101,40.05153,-76.52507
Smiley,"Right Wall > Pike Run > Southwestern Highlands > Pennsylvania",https://www.mountainproject.com/route/118711071/smiley,2.3,-1,TR,5.4,1,35,40.08043,-79.31845
"Three Buttresses (first pitch)","g. The Great Buttress > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107269643/three-buttresses-first-pitch,2.3,-1,Trad,5.4,1,60,40.44115,-75.09862
"Sunday Morning","Main Wall > Chickies Rock > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107909242/sunday-morning,1.8,-1,Trad,5.4,1,90,40.05153,-76.52507
Nuts,"Main Wall > Chickies Rock > South Central PA > Pennsylvania",https://www.mountainproject.com/route/113511362/nuts,2.0,-1,"Trad, TR",5.4,2,90,40.05153,-76.52507
William,"s. Lower Stover > Ralph Stover State Park (High Rocks) > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/122284194/william,2.0,-1,TR,5.4,1,35,40.43866,-75.09122
"Jeff's Corner","Right Wall > Pike Run > Southwestern Highlands > Pennsylvania",https://www.mountainproject.com/route/118713168/jeffs-corner,2.0,-1,TR,5.4,1,35,40.08043,-79.31845
"Monkey See, Monkey Do","South Buttress (Linoy Buttress) > Dauphin Narrows > South Central PA > Pennsylvania",https://www.mountainproject.com/route/108181564/monkey-see-monkey-do,2.0,-1,Trad,5.4,2,85,40.35807,-76.92394
