Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"No exposure","Zeezus Wall > Rocky Point > Rhode Island",https://www.mountainproject.com/route/112389896/no-exposure,3.4,-1,"TR, Boulder","5.10b V0-1",1,25,41.68924,-71.36946
"The Land Down Under","The Quarry > Snake Den > Rhode Island",https://www.mountainproject.com/route/111851880/the-land-down-under,3.5,-1,TR,5.8,1,40,41.84754,-71.53425
"Topless Beach","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994489/topless-beach,2.7,-1,"Sport, TR",5.7,1,40,41.56924,-71.77669
"Oh Mandy","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994670/oh-mandy,2.8,-1,"Sport, TR",5.8+,1,40,41.56924,-71.77669
"Muscle Beach","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994176/muscle-beach,2.8,-1,"Sport, TR",5.7,1,40,41.56924,-71.77669
"Toe or Throw","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994778/toe-or-throw,2.7,-1,"Sport, TR",5.10,1,35,41.56924,-71.77669
Smiley,"Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994720/smiley,2.4,-1,"Sport, TR",5.6,1,35,41.56924,-71.77669
"The ""5.11""/ Unnamed #2","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/119075504/the-511-unnamed-2,3.0,-1,"TR, Boulder","5.11 V2 R",1,25,41.89878,-71.42737
Halloween,"Halloween > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/107029818/halloween,3.0,-1,TR,"5.12c PG13",1,25,41.5675,-71.73
"Shelby's Off Ramp","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/119796236/shelbys-off-ramp,2.7,-1,"Trad, TR",5.8+,1,20,41.56924,-71.77669
"One Holer","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/121533859/one-holer,2.5,-1,"Sport, TR",5.8,1,35,41.56924,-71.77669
"Beach Blanket Bingo","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994604/beach-blanket-bingo,2.4,-1,"Sport, TR",5.7+,1,40,41.56924,-71.77669
Venom,"Venom (Crag 7) > Snake Den > Rhode Island",https://www.mountainproject.com/route/106850876/venom,2.5,-1,Boulder,"5.10 V1+",1,18,41.84925,-71.5284
"Son of a Beach","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994626/son-of-a-beach,2.3,-1,"Sport, TR",5.7,1,40,41.56924,-71.77669
"Sand Bag","Hemlock Ledges > Beach Pond > Rhode Island",https://www.mountainproject.com/route/117994557/sand-bag,2.2,-1,"Sport, TR",5.6,1,40,41.56924,-71.77669
"Latex Sheath","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112474761/latex-sheath,2.5,-1,TR,5.11+,1,30,41.89878,-71.42737
"Diagonal Climb","Main Wall > Main Wall > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108110141/diagonal-climb,2.3,-1,TR,5.8-,1,30,41.5701,-71.7327
"Quartz 5.7","Main Wall > Main Wall > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108110137/quartz-57,2.0,-1,TR,5.7,1,30,41.5701,-71.7327
"5.8 Crack","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112496134/58-crack,2.0,-1,TR,5.8,1,25,41.89878,-71.42737
"Trad Crack","Durfee Hill > Rhode Island",https://www.mountainproject.com/route/117541715/trad-crack,2.0,-1,"Trad, TR",5.7,1,30,41.8983,-71.7912
"Unknown 5.9","Main Wall > Main Wall > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108110124/unknown-59,2.0,-1,"Trad, TR",5.9,1,30,41.5701,-71.7327
"Unknown 5.10","Main Wall > Main Wall > Mt. Tom > Arcadia Management Area > Rhode Island",https://www.mountainproject.com/route/108110133/unknown-510,2.0,-1,TR,5.10-,1,30,41.5701,-71.7327
"The Quartz Shrimp","Warm Up Wall (Crag 4) > Snake Den > Rhode Island",https://www.mountainproject.com/route/120714162/the-quartz-shrimp,2.0,-1,TR,5.8,1,25,41.85339,-71.53097
"Conventional Fate","Warm Up Wall (Crag 4) > Snake Den > Rhode Island",https://www.mountainproject.com/route/120721334/conventional-fate,2.0,-1,TR,5.8,1,25,41.85339,-71.53097
"Zero Gravity","Goat Rock > Lincoln Woods > Rhode Island",https://www.mountainproject.com/route/112474709/zero-gravity,2.0,-1,TR,5.11+,1,25,41.89878,-71.42737
"Slip and Slide","Riverwood > Rhode Island",https://www.mountainproject.com/route/124141811/slip-and-slide,2.0,-1,TR,5.6,1,30,41.38519,-71.7915
