Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Spire 1 Reppy Variation","Spire One > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/105715226/spire-1-reppy-variation,3.5,-1,Trad,5.7+,4,215,43.84878,-103.53499
"Spire One East Chimney","Spire One > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/106501876/spire-one-east-chimney,3.1,-1,Trad,5.7+,3,200,43.84878,-103.53499
"Standard Route","Bloody Spire > Needles Eye Area > Custer State Park > South Dakota",https://www.mountainproject.com/route/105715247/standard-route,3.1,-1,Trad,5.7+,3,70,43.84157,-103.54527
"Summer lovin","Bell Ringer > Needles Eye Area > Custer State Park > South Dakota",https://www.mountainproject.com/route/106197483/summer-lovin,2.7,-1,Sport,"5.7+ PG13",1,70,43.8415,-103.54615
"Carl's Bad Caverns","Weather Watchers Wall > Raspberry Rocks > Iron Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/107246890/carls-bad-caverns,3.1,-1,Trad,5.7+,2,180,43.83905,-103.40947
"Mr. October Also","Palmer Gulch > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/109583663/mr-october-also,4.0,-1,Trad,5.7+,4,590,43.88607,-103.55451
"One Epic Leads to Another","Stonehenge > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105946206/one-epic-leads-to-another,2.9,-1,Trad,5.7+,1,100,43.8477,-103.5668
"White Line","Goldline > Needles Eye Area > Custer State Park > South Dakota",https://www.mountainproject.com/route/105715316/white-line,2.9,-1,Trad,5.7+,1,110,43.84104,-103.54618
"Unknown Gill route variation - Javelin chimney","Spire One > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/121229645/unknown-gill-route-variation-javelin-chimney,3.0,-1,Trad,"5.7+ PG13",1,120,43.84878,-103.53499
"Shake Your Mungy Maker!","MungeSkinLand > The Chessmen > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/112851493/shake-your-mungy-maker,3.0,-1,Trad,5.7+,1,100,43.89094,-103.48266
"5.7 Crack","Boxelder Forks > Rapid City Area > South Dakota",https://www.mountainproject.com/route/110655984/57-crack,2.7,-1,Trad,5.7+,1,90,44.20158,-103.53879
"Freaky Deaky Frog Juice","Cleaver > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/108368610/freaky-deaky-frog-juice,2.3,-1,Sport,5.7+,1,70,43.88532,-103.46903
Foreplay,"The Green Mile > Shadowlands > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/120930632/foreplay,2.4,-1,Sport,5.7+,1,40,44.28338,-103.89865
"Chewy Tumble","Thin Fin > Moonlight Ridge > Custer State Park > South Dakota",https://www.mountainproject.com/route/109266505/chewy-tumble,2.6,-1,Trad,5.7+,1,,43.84379,-103.54321
"Racecar Ya Ya's","Split creek cracks > Palisades State Park > East Side SD > South Dakota",https://www.mountainproject.com/route/106901235/racecar-ya-yas,2.5,-1,"Trad, TR",5.7+,1,40,43.6901,-96.5147
Humper,"Great North Wall > Palisades State Park > East Side SD > South Dakota",https://www.mountainproject.com/route/106726977/humper,2.3,-1,TR,5.7+,1,,43.68913,-96.51836
"The Big Stick","Horsethief Spire West Face > Horsethief Spire > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/111703899/the-big-stick,2.5,-1,Trad,5.7+,1,45,43.88803,-103.48126
"Moby Dick Standard Routes","Moby Dick > Tenpins/Switchbacks > Custer State Park > South Dakota",https://www.mountainproject.com/route/106502041/moby-dick-standard-routes,2.0,-1,Trad,5.7+,1,40,43.8394,-103.5358
"Herb and Jan's Lighting Bolt","Lightning Bolt > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/110420170/herb-and-jans-lighting-bolt,1.9,-1,Trad,"5.7+ PG13",1,130,43.8856,-103.4696
"Gandy Dancer","1880 Wall East > Old Hill City Road > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/120570552/gandy-dancer,2.0,-1,Sport,5.7+,1,46,43.90755,-103.47745
Hoggin,"JHMS (James Hann Memorial Spire) > Playground Proper > The Playground > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/120461528/hoggin,2.0,-1,Trad,"5.7+ R",2,150,43.87432,-103.48679
"Another Damn Variation","Damn Rock > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/121085755/another-damn-variation,2.0,-1,Trad,"5.7+ X",1,80,43.84852,-103.56734
"Tea & Crumpets","Sentinel Rock > Sentinel Rock > Breezy Point > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/120500562/tea-crumpets,2.0,-1,Trad,5.7+,1,60,43.8913,-103.47529
"NW face (Dallymore Spur)","Mt. Dallymore > The Chessmen > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/122619315/nw-face-dallymore-spur,2.0,-1,Trad,"5.7+ R",1,120,43.87906,-103.4981
Dromedary,"MungeSkinLand > The Chessmen > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/112775634/dromedary,2.0,-1,Trad,"5.7+ X",1,70,43.89094,-103.48266
"The Dromedary","Camel > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/108644610/the-dromedary,2.0,-1,Trad,"5.7+ PG13",1,60,43.84729,-103.56299
"Whiskey Water and Meat Pots","The OG Eastern Wall > The OG > Elkhorn Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/124328826/whiskey-water-and-meat-pots,3.0,-1,Trad,5.7+,1,100,43.88755,-103.52016
"Hail No!","Sputnik > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/124617945/hail-no,3.0,-1,Trad,"5.7+ PG13",1,125,43.84827,-103.53372
