Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Threading the Needle","Needle's Eye > Needles Eye Area > Custer State Park > South Dakota",https://www.mountainproject.com/route/106053351/threading-the-needle,3.7,-1,Trad,5.8+,1,,43.84169,-103.5458
"Critical View","Critical View > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715007/critical-view,2.5,-1,Sport,5.8+,1,60,43.88677,-103.46697
"West Buttress","Outer Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/107517307/west-buttress,3.8,-1,Trad,5.8+,3,300,43.84828,-103.56827
"Liquid Sunshine","Skeletal Remains > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106809041/liquid-sunshine,2.7,-1,Sport,5.8+,1,45,44.4514,-103.864
"Middle of the Road","Weather Watchers Wall > Raspberry Rocks > Iron Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715214/middle-of-the-road,3.9,-1,Trad,5.8+,1,170,43.83905,-103.40947
"There and Back Again","Near Downs > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/110424981/there-and-back-again,3.6,-1,Trad,5.8+,1,125,43.8486,-103.5705
"Preparation H","Skeletal Remains > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/105714878/preparation-h,2.1,-1,Sport,5.8+,1,40,44.4514,-103.864
"The Conn Diagonal Variation","Outer Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/106892902/the-conn-diagonal-variation,3.9,-1,Trad,5.8+,3,,43.84828,-103.56827
"Crystalline Lady","Spindle > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/111066027/crystalline-lady,4.0,-1,Trad,"5.8+ PG13",1,120,43.84892,-103.53096
"Goats on a Bridge","Chockstone Corridor - South Summit > The Chessmen > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/109297031/goats-on-a-bridge,4.0,-1,Trad,5.8+,1,100,43.88305,-103.49947
"Pastaman Vibration","Vertigo View > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/106626058/pastaman-vibration,3.3,-1,Sport,"5.8+ PG13",1,100,43.84839,-103.56826
"Death Flake Arete","Mern > The Chessmen > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/107203076/death-flake-arete,4.0,-1,Trad,5.8+,1,100,43.88305,-103.49947
"Beggar's Banquet","Breakfast Wall > Big Picture Gully > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106478790/beggars-banquet,2.7,-1,Sport,5.8+,1,60,44.31726,-103.90147
"Unemployment Line","Goldline > Needles Eye Area > Custer State Park > South Dakota",https://www.mountainproject.com/route/109576075/unemployment-line,3.2,-1,Trad,5.8+,1,100,43.84104,-103.54618
"I Gotta Take a Crack","High Point > Tenpins/Switchbacks > Custer State Park > South Dakota",https://www.mountainproject.com/route/106514934/i-gotta-take-a-crack,3.0,-1,Trad,5.8+,1,60,43.83976,-103.53613
"Step of Valor","Grotto > West World > Breezy Point > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/113597584/step-of-valor,3.0,-1,Trad,5.8+,2,130,43.88909,-103.47771
"She's So Rock Steady","Black Betty Wall > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/122163037/shes-so-rock-steady,3.2,-1,Sport,5.8+,1,70,44.42385,-103.88148
"Fenton-Oslund Route","Exclamation Point > Needles Eye Area > Custer State Park > South Dakota",https://www.mountainproject.com/route/107313776/fenton-oslund-route,3.0,-1,Trad,5.8+,1,120,43.84036,-103.5459
"The Bitch","Chockstone Tower > Palisades State Park > East Side SD > South Dakota",https://www.mountainproject.com/route/106713286/the-bitch,2.4,-1,"Trad, TR",5.8+,1,65,43.68762,-96.52117
"Remembering The Crain","West Face > Raspberry Rocks > Iron Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/110428506/remembering-the-crain,3.0,-1,Trad,5.8+,1,70,43.85037,-103.39708
"Direct CONNection","Outer Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/119476719/direct-connection,3.0,-1,Trad,"5.8+ PG13",3,140,43.84828,-103.56827
"Guardian Face","The Guardian > Towers of Teeth > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/110614893/guardian-face,2.6,-1,Sport,5.8+,1,50,43.84812,-103.56999
"The Joker","Assassin Wall > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/106934930/the-joker,1.9,-1,Sport,5.8+,1,60,44.34357,-103.92619
"Hells Bells","Damn Rock > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/111027177/hells-bells,3.0,-1,Trad,5.8+,1,80,43.84852,-103.56734
"Kamps/Goldstone Route","Spire Four > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/107533624/kampsgoldstone-route,3.0,-1,Trad,5.8+,2,330,43.84908,-103.53358
Resurrection,"Prodigal Son > Isolated Spires > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/116514070/resurrection,3.0,-1,Sport,5.8+,1,,43.85771,-103.58769
"Unknown Direct Start","Leaning Tower > Tenpins/Switchbacks > Custer State Park > South Dakota",https://www.mountainproject.com/route/122918252/unknown-direct-start,3.0,-1,Sport,"5.8+ PG13",1,50,43.8394,-103.5358
"Chipmunk Stampede","Elkorn Mountain > Elkhorn Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/109443343/chipmunk-stampede,3.0,-1,Trad,5.8+,3,400,43.88582,-103.51617
"Job Corps Left Crack","Boxelder Forks > Rapid City Area > South Dakota",https://www.mountainproject.com/route/110656510/job-corps-left-crack,3.0,-1,Trad,5.8+,1,90,44.20158,-103.53879
"Righty - O","Journeyman > The Chessmen > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/111918988/righty-o,3.0,-1,Trad,"5.8+ PG13",1,40,43.8897,-103.50017
"Ms. Chi V. Huss","Hobgoblin's Hideout > Palisades State Park > East Side SD > South Dakota",https://www.mountainproject.com/route/107308887/ms-chi-v-huss,3.0,-1,TR,5.8+,1,30,43.68762,-96.5197
Vespidae,"Hornets Nest > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/113534071/vespidae,2.4,-1,Sport,5.8+,1,60,43.88643,-103.46702
"Where the Sky Hangs","Crocket Tor > Needles Eye Area > Custer State Park > South Dakota",https://www.mountainproject.com/route/111332713/where-the-sky-hangs,2.6,-1,Trad,"5.8+ R",2,200,43.84089,-103.5484
"Chari's Face","Middle Earth Overlook > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/106104175/charis-face,2.7,-1,Trad,5.8+,1,80,43.8477,-103.5668
"Under an Open Sky","Balcony Point > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/114585031/under-an-open-sky,2.7,-1,Trad,5.8+,1,130,43.8484,-103.53476
Floridays,"Breezy Point Main Wall Upper > Breezy Point > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/113297934/floridays,2.7,-1,Sport,5.8+,1,50,43.89113,-103.47493
"Guardian Face","Ered Lithui > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105714926/guardian-face,2.3,-1,Sport,5.8+,1,50,43.8478,-103.5717
"Head Over Heels Right","New Domentions > Iron Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/122832886/head-over-heels-right,2.6,-1,Trad,5.8+,1,100,43.85035,-103.44533
"Chuga Chuga","1880 Wall East > Old Hill City Road > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/109820020/chuga-chuga,2.3,-1,"Sport, TR",5.8+,1,75,43.90755,-103.47745
"Pop Your Clogs","Sentinel Rock > Sentinel Rock > Breezy Point > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/120878613/pop-your-clogs,2.5,-1,Trad,5.8+,1,60,43.8913,-103.47529
"Bowman Route","Sledgehammer > Iron Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/123271903/bowman-route,2.3,-1,"Trad, TR","5.8+ X",1,60,43.86277,-103.44302
"Hurry Up","Upper Cliff > Meat Packing Plant > Rapid City Area > South Dakota",https://www.mountainproject.com/route/110615939/hurry-up,2.0,-1,TR,5.8+,1,40,44.08629,-103.24408
"Par 9","Highway 87 Rock > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/121439543/par-9,2.3,-1,Sport,5.8+,1,75,43.84751,-103.56926
"Frodo's Fright","Ered Lithui > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/121104648/frodos-fright,2.0,-1,Trad,"5.8+ R",1,120,43.8478,-103.5717
"Puddle Pie","Inside corner store > Devils Gulch > East Side SD > South Dakota",https://www.mountainproject.com/route/106772136/puddle-pie,2.0,-1,"Trad, TR",5.8+,1,30,43.72266,-96.49232
"Coming In Hot","Picnic Pinnacle > Breezy Point > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/121496587/coming-in-hot,2.0,-1,Sport,5.8+,1,50,43.89067,-103.47477
"Fintastic Direct","Fin > Tenpins/Switchbacks > Custer State Park > South Dakota",https://www.mountainproject.com/route/107153605/fintastic-direct,2.0,-1,Sport,5.8+,1,,43.8394,-103.5358
Unknown,"Khazad Dum > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/121407946/unknown,2.0,-1,Sport,5.8+,1,75,43.84793,-103.57312
"The Pickle","Sultans Tower > Playground Proper > The Playground > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/112522863/the-pickle,2.0,-1,Trad,"5.8+ PG13",1,60,43.87308,-103.48827
"impuissant (impotent)","Reunion Rock > Tenpins/Switchbacks > Custer State Park > South Dakota",https://www.mountainproject.com/route/111629298/impuissant-impotent,2.0,-1,Sport,"5.8+ R",1,65,43.84225,-103.53696
"Mungy Horse","MungeSkinLand > The Chessmen > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/112158342/mungy-horse,2.0,-1,Trad,"5.8+ X",1,100,43.89094,-103.48266
"Walkers route","Boxelder Forks > Rapid City Area > South Dakota",https://www.mountainproject.com/route/110656003/walkers-route,2.0,-1,Trad,"5.8+ PG13",1,90,44.20158,-103.53879
"My Ass-pen","Veiny > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/123244958/my-ass-pen,2.0,-1,Sport,5.8+,1,55,43.88644,-103.46927
"Swallow Your Pride","Overlook South: > Dells Of The Sioux River > East Side SD > South Dakota",https://www.mountainproject.com/route/123806272/swallow-your-pride,2.0,-1,"Sport, TR",5.8+,1,40,43.81297,-96.71227
"Lichen it Alot","Overlook South: > Dells Of The Sioux River > East Side SD > South Dakota",https://www.mountainproject.com/route/123806282/lichen-it-alot,2.0,-1,"Sport, TR",5.8+,1,40,43.81297,-96.71227
"50 One Arm Pull-ups","Hardman's Hideout > Dells Of The Sioux River > East Side SD > South Dakota",https://www.mountainproject.com/route/123819690/50-one-arm-pull-ups,2.5,-1,Sport,5.8+,1,35,43.8098,-96.71248
"Shaggin' & Braggin'","Hardman's Hideout > Dells Of The Sioux River > East Side SD > South Dakota",https://www.mountainproject.com/route/123820697/shaggin-braggin,3.0,-1,Sport,5.8+,1,22,43.8098,-96.71248
Solstice,"Community Cove > Dells Of The Sioux River > East Side SD > South Dakota",https://www.mountainproject.com/route/124474144/solstice,2.6,-1,Sport,5.8+,1,25,43.80765,-96.71396
"The Nine","Ephel Duath > Towers of Teeth > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/124743152/the-nine,2.5,-1,Trad,5.8+,1,125,43.8482,-103.56972
"Kamps-Powell Route","Freak’s Foot > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/124763655/kamps-powell-route,4.0,-1,Trad,5.8+,1,60,43.84532,-103.53262
