Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Passages,"T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105894863/passages,3.5,-1,Trad,5.8,1,90,35.07379,-85.40108
Art,"T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105935012/art,3.4,-1,Trad,5.8,1,80,35.07379,-85.40108
"Prerequisite for Excellence","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105888371/prerequisite-for-excellence,3.4,-1,Trad,5.8,1,80,35.07379,-85.40108
Saturated,"Jimmywood > Foster Falls > Tennessee",https://www.mountainproject.com/route/108440738/saturated,3.2,-1,Sport,5.8,1,90,35.17715,-85.68247
"Lillian's Arete","Squeeze Ledge > North Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/107789796/lillians-arete,3.4,-1,Sport,5.8,1,65,36.09595,-84.70764
"Bill's Route","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/105957472/bills-route,3.0,-1,Trad,5.8,1,100,34.9992,-85.3554
"Sweet Surrender","Music City/The 5.9 Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/112293152/sweet-surrender,3.5,-1,Sport,5.8,1,,35.17774,-85.68843
"Jacob's Ladder","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/105892550/jacobs-ladder,2.8,-1,Sport,5.8,1,80,35.17702,-85.68673
Sanscrit,"T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105889140/sanscrit,2.8,-1,Trad,5.8,1,100,35.07379,-85.40108
"Walk in the Park","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/105946728/walk-in-the-park,3.0,-1,Trad,5.8,1,80,34.99865,-85.35565
"Free to Think","Leda > Tennessee",https://www.mountainproject.com/route/105994620/free-to-think,2.7,-1,Trad,5.8,1,60,35.2356,-85.2265
"Circus Circus","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105933651/circus-circus,3.8,-1,Trad,5.8,2,110,35.06887,-85.4194
"Comic Relief Direct","Image Wall > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099039/comic-relief-direct,1.8,-1,Sport,5.8,1,30,36.09386,-84.70206
"Ox Crack","Leda > Tennessee",https://www.mountainproject.com/route/106078886/ox-crack,3.0,-1,Trad,5.8,1,,35.2356,-85.2265
Overlooked,"The Orchard > King's Bluff > Tennessee",https://www.mountainproject.com/route/112455574/overlooked,3.2,-1,Sport,5.8,1,50,36.50128,-87.32035
"Sport Puppy","Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/111751471/sport-puppy,2.3,-1,Sport,5.8,1,60,35.17686,-85.6833
"Hat Pin with Sledge Hammer","Cake Walk Wall > King's Bluff > Tennessee",https://www.mountainproject.com/route/107392841/hat-pin-with-sledge-hammer,2.5,-1,Sport,5.8,1,35,36.50134,-87.32113
"Bombs Away","Flying Squirrel Buttress > Suck Creek Canyon > Tennessee",https://www.mountainproject.com/route/106068616/bombs-away,2.5,-1,Trad,5.8,3,310,35.13887,-85.38365
"Lungs of the Forest","Yawn Wall > Denny West > Denny Cove > Tennessee",https://www.mountainproject.com/route/113731696/lungs-of-the-forest,2.3,-1,Sport,5.8,1,,35.15507,-85.68923
"Old Fart","The Quiet Zone > King's Bluff > Tennessee",https://www.mountainproject.com/route/110751347/old-fart,2.6,-1,Sport,5.8,1,40,36.50081,-87.32458
"Tribal Babysitter","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/106307014/tribal-babysitter,3.0,-1,Trad,5.8,1,90,35.06887,-85.4194
[Redacted],"T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/112799652/redacted,2.9,-1,Trad,5.8,1,80,35.07379,-85.40108
Pruno,"The Distillery (AKA Still House Left) > Woodcock Cove > Tennessee",https://www.mountainproject.com/route/122940842/pruno,3.4,-1,Sport,5.8,1,60,35.33191,-85.45106
"Path of the Misfits","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/106366851/path-of-the-misfits,2.1,-1,Trad,5.8,1,80,35.06887,-85.4194
"Old Habits","Tea and Crumpets Wall > Deep Creek > Tennessee",https://www.mountainproject.com/route/110261992/old-habits,2.3,-1,Sport,5.8,1,60,35.29555,-85.19524
Touchy-feely,"The Orchard > King's Bluff > Tennessee",https://www.mountainproject.com/route/112490777/touchy-feely,2.6,-1,Sport,5.8,1,50,36.50128,-87.32035
"Mercenary Territory","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/108262386/mercenary-territory,2.8,-1,Trad,5.8,1,105,34.99865,-85.35565
"Capital Assets (aka Mantis  aka Never on Sunday)","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/107092317/capital-assets-aka-mantis-aka-never-on-sunday,2.2,-1,Trad,5.8,1,100,35.07379,-85.40108
"New Purchase","Cake Walk Wall > King's Bluff > Tennessee",https://www.mountainproject.com/route/106985078/new-purchase,1.9,-1,Sport,5.8,1,45,36.50134,-87.32113
"Decoy Buckets","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/110811644/decoy-buckets,2.9,-1,Trad,5.8,1,100,34.99865,-85.35565
Rigby,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291827/rigby,2.3,-1,Sport,5.8,1,35,35.94466,-83.87729
"Flake Route","Starr Mountain > Tennessee",https://www.mountainproject.com/route/106114866/flake-route,2.8,-1,Trad,5.8,1,80,35.2269,-84.5255
"Little Orange Corner","Moonshiner Wall > Denny West > Denny Cove > Tennessee",https://www.mountainproject.com/route/113219942/little-orange-corner,2.6,-1,Trad,5.8,1,45,35.15512,-85.69025
Trungle,"T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/111658056/trungle,2.7,-1,Trad,5.8,1,70,35.07379,-85.40108
"Ace in the Hole","Fort Sandstone > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/114215670/ace-in-the-hole,2.6,-1,Sport,5.8,1,,36.08972,-84.71158
"Terrier in Trouble","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/106214037/terrier-in-trouble,2.4,-1,Trad,5.8,1,40,34.9992,-85.3554
"Cathedral Crack","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/114128435/cathedral-crack,2.4,-1,Trad,5.8,1,50,35.07379,-85.40108
"Good and Plenty","Leda > Tennessee",https://www.mountainproject.com/route/106373383/good-and-plenty,2.6,-1,Trad,5.8,1,70,35.2356,-85.2265
"Magic Brownie","CBD Wall > Woodcock Cove > Tennessee",https://www.mountainproject.com/route/122114905/magic-brownie,2.6,-1,Sport,5.8,1,,35.33242,-85.45535
"Cracking Corona","Gutbuster Area > Foster Falls > Tennessee",https://www.mountainproject.com/route/118817124/cracking-corona,3.0,-1,Trad,5.8,1,120,35.17686,-85.6833
"Mister Green Jeans","Lonesome Wall > King's Bluff > Tennessee",https://www.mountainproject.com/route/109880706/mister-green-jeans,2.0,-1,Sport,5.8,1,,36.5012,-87.32333
"Big Orange Country","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/109968830/big-orange-country,2.7,-1,Trad,5.8,1,60,35.06887,-85.4194
Killarete,"Upper Area & Graceland > Black Mountain > Tennessee",https://www.mountainproject.com/route/119315182/killarete,3.0,-1,"Trad, TR",5.8,1,40,35.86658,-84.89528
"Buck Nasty","Starr Mountain > Tennessee",https://www.mountainproject.com/route/107892465/buck-nasty,2.8,-1,Trad,5.8,1,80,35.2269,-84.5255
unnamed,"Leda  Shade Wall > Tennessee",https://www.mountainproject.com/route/107578366/unnamed,3.0,-1,Trad,5.8,1,40,35.6037,-85.8691
"Armadillo’s Revenge","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/119087159/armadillos-revenge,3.0,-1,Trad,5.8,1,60,34.99865,-85.35565
"Trad is Rad","Visitors Center > Woodcock Cove > Tennessee",https://www.mountainproject.com/route/122296342/trad-is-rad,2.5,-1,Trad,5.8,1,,35.33319,-85.45765
"Atomic Bomb (aka Thunderbolt)","Y- 12 > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/115319477/atomic-bomb-aka-thunderbolt,3.0,-1,Trad,5.8,1,,36.09452,-84.71022
"Golden Child","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/107393595/golden-child,3.0,-1,Trad,5.8,1,70,35.06887,-85.4194
Benwha,"Leda  Shade Wall > Tennessee",https://www.mountainproject.com/route/106775881/benwha,3.0,-1,Trad,"5.8 PG13",1,40,35.6037,-85.8691
"On the Side","The Red Light District > Foster Falls > Tennessee",https://www.mountainproject.com/route/106099570/on-the-side,2.2,-1,Trad,5.8,1,50,35.17702,-85.68673
"Dirty Corner","The Left Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/112929993/dirty-corner,2.7,-1,Trad,5.8,1,40,35.17853,-85.68079
"The Ramp","Roadside Wall > Suck Creek Canyon > Tennessee",https://www.mountainproject.com/route/106951298/the-ramp,2.8,-1,Trad,5.8,1,100,35.14799,-85.39152
Anteater,"Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/110894340/anteater,2.5,-1,Trad,5.8,1,60,34.99865,-85.35565
"Learning to Walk","The Alley > King's Bluff > Tennessee",https://www.mountainproject.com/route/106656996/learning-to-walk,2.0,-1,Sport,5.8,1,50,36.50091,-87.32427
"Snoop'n and Poop'n","The Quiet Zone > King's Bluff > Tennessee",https://www.mountainproject.com/route/110751279/snoopn-and-poopn,2.0,-1,Sport,5.8,1,,36.50081,-87.32458
"Sky Hook","The Balcony > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106180064/sky-hook,2.3,-1,Trad,5.8,1,60,36.09385,-84.699
"Slip and Sliding Away","The Orchard > King's Bluff > Tennessee",https://www.mountainproject.com/route/117938672/slip-and-sliding-away,2.3,-1,Sport,5.8,1,30,36.50128,-87.32035
"Community Effort","Lonesome Wall > King's Bluff > Tennessee",https://www.mountainproject.com/route/117876668/community-effort,2.2,-1,Sport,5.8,1,,36.5012,-87.32333
"Take It Easy","The Still House > Woodcock Cove > Tennessee",https://www.mountainproject.com/route/122151474/take-it-easy,2.5,-1,Sport,5.8,1,50,35.33195,-85.4503
"snake charmer","O&W Wall > Big South Fork > Tennessee",https://www.mountainproject.com/route/107928269/snake-charmer,2.5,-1,Trad,5.8,1,90,36.45445,-84.6492
"Elvis Never Wore Lycra","Upper Area & Graceland > Black Mountain > Tennessee",https://www.mountainproject.com/route/114142877/elvis-never-wore-lycra,2.4,-1,Sport,5.8,1,40,35.86658,-84.89528
Scha-Wing!,"Orange Wall > Denny West > Denny Cove > Tennessee",https://www.mountainproject.com/route/116090505/scha-wing,2.3,-1,Trad,5.8,1,60,35.15504,-85.68776
