Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Train Time Direct","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/105961431/train-time-direct,3.6,-1,Trad,"5.11+ PG13",1,70,34.99865,-85.35565
"In Search of the Source","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/120243613/in-search-of-the-source,4.0,-1,Trad,5.11+,1,90,35.07379,-85.40108
"Departure 29","Departure 29 > Big Soddy Gorge > Tennessee",https://www.mountainproject.com/route/114427300/departure-29,4.0,-1,Trad,5.11+,1,90,35.30012,-85.18848
"Who Do You Do","Middle Obed > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/111837807/who-do-you-do,3.4,-1,Sport,5.11+,1,70,36.09008,-84.70732
Dummkopf,"The Right Bunker > Foster Falls > Tennessee",https://www.mountainproject.com/route/107926638/dummkopf,2.7,-1,Sport,5.11+,1,70,35.17886,-85.67949
Superwave,"T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105891962/superwave,3.1,-1,Trad,5.11+,1,100,35.06887,-85.4194
"Witches Broom","Broom Wall/Rasputin Ledge > North Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/107709871/witches-broom,2.9,-1,Sport,5.11+,1,70,36.09595,-84.70763
"Turbo Zone","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/118030446/turbo-zone,3.0,-1,Trad,5.11+,1,100,35.07379,-85.40108
"Boom Shaka (aka Gifford the Big Red Dog)","Pig Wall > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/120650154/boom-shaka-aka-gifford-the-big-red-dog,2.3,-1,Sport,5.11+,1,65,35.15062,-85.68549
"Very 69","Canoe Wall > Big South Fork > Tennessee",https://www.mountainproject.com/route/116508485/very-69,3.0,-1,Sport,5.11+,1,70,36.62716,-84.58005
"Nasty Lite","The Point Butress(Main Wall) > Castle Rock > Tennessee",https://www.mountainproject.com/route/111263774/nasty-lite,3.0,-1,Sport,5.11+,1,80,35.10392,-85.63142
"Happy birthday","Roadside Wall > Suck Creek Canyon > Tennessee",https://www.mountainproject.com/route/122611639/happy-birthday,3.0,-1,Sport,"5.11+ PG13",1,65,35.14799,-85.39152
"Gospel of Luke","Good Samaritan Buttress > Big Soddy Gorge > Tennessee",https://www.mountainproject.com/route/113826295/gospel-of-luke,3.0,-1,Trad,5.11+,1,70,35.30033,-85.19775
"Moral Dilemma","The Crack House > Big South Fork > Tennessee",https://www.mountainproject.com/route/106609487/moral-dilemma,3.0,-1,Sport,5.11+,1,90,36.45701,-84.63636
"Mineral Fright","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/105972403/mineral-fright,2.6,-1,Trad,5.11+,1,100,34.9992,-85.3554
"The Woodshed","The Woodshed > Deep Creek > Tennessee",https://www.mountainproject.com/route/107334019/the-woodshed,2.4,-1,Sport,5.11+,1,60,35.29794,-85.19518
"Temple of Doom","Leda > Tennessee",https://www.mountainproject.com/route/112797910/temple-of-doom,2.0,-1,Sport,5.11+,1,,35.2356,-85.2265
Hieroglyphics,"Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/111895464/hieroglyphics,2.0,-1,Sport,5.11+,1,70,36.1022,-84.7184
Drama,"Ladies Delight > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/118878974/drama,2.5,-1,Sport,5.11+,1,50,35.15427,-85.68136
"Hydroponic Tonic","Earth First > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/113939594/hydroponic-tonic,2.0,-1,Sport,5.11+,1,,35.15062,-85.68549
"Cave Route","Pine Creek > Big South Fork > Tennessee",https://www.mountainproject.com/route/106500633/cave-route,2.0,-1,Trad,"5.11+ R",3,150,36.45143,-84.62645
"Ring Shank","Buzzard Point > Tennessee",https://www.mountainproject.com/route/123801722/ring-shank,3.0,-1,Trad,5.11+,1,75,35.53775,-85.03099
"Fat People Don't Eat Salad","Dessert Bar > Denny East > Denny Cove > Tennessee",https://www.mountainproject.com/route/123929273/fat-people-dont-eat-salad,2.0,-1,Sport,"5.11+ PG13",1,75,35.15312,-85.67361
"Butter Battle","Departure 29 > Big Soddy Gorge > Tennessee",https://www.mountainproject.com/route/124083911/butter-battle,3.0,-1,Trad,5.11+,1,60,35.30012,-85.18848
"Great White Fright","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/124367551/great-white-fright,4.0,-1,Trad,5.11+,1,80,34.9992,-85.3554
"Amazing Grays","Amazing Grays > Graysville - Dinner Branch > Tennessee",https://www.mountainproject.com/route/124500176/amazing-grays,4.0,-1,Sport,5.11+,1,,35.46462,-85.11185
