Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Jack Knife","Throne Rock Area > Echo Canyon > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105872732/jack-knife,2.4,-1,Trad,5.5,1,,30.5061,-98.8215
"Lessa the Puramatic 6000 Kitty","Dead Cats > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/111017837/lessa-the-puramatic-6000-kitty,2.1,-1,"Sport, TR",5.5,1,30,30.3636,-98.1255
"Easier Than It Looks","Devil's Slide > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/106375162/easier-than-it-looks,2.4,-1,Trad,5.5,3,300,30.50849,-98.819
"Zoey's Arete","Zoey's Wall > Reimers Ranch > Austin Area > Texas",https://www.mountainproject.com/route/112436222/zoeys-arete,2.3,-1,Sport,5.5,1,20,30.363,-98.125
"78: Easy Nose","Cave Tower > Side Canyons & First Overhang > Mineral Wells State Park > Texas",https://www.mountainproject.com/route/112486675/78-easy-nose,2.3,-1,"Sport, TR",5.5,1,35,32.8211,-98.02725
"Easy Traverse","Devil's Slide > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/116725334/easy-traverse,3.0,-1,Trad,"5.5 R",5,500,30.50849,-98.819
"Corner Access Chimney","Auspicious Wall > Bailey sport climbs > Hamm Creek Park > Texas",https://www.mountainproject.com/route/123339038/corner-access-chimney,3.0,-1,Sport,5.5,1,,32.1694,-97.45488
"Unnamed sport climb","Middle Tower > Side Canyons & First Overhang > Mineral Wells State Park > Texas",https://www.mountainproject.com/route/112570530/unnamed-sport-climb,2.4,-1,"Sport, TR",5.5,1,25,32.82093,-98.02742
"Waterfall route","Thunderbird > Franklin Mountain Range > Texas",https://www.mountainproject.com/route/113728047/waterfall-route,2.5,-1,Trad,5.5,1,90,31.86108,-106.49942
"Chunky Tuna","Center Wall > Main Dome > Enchanted Rock State Natural Area > Texas",https://www.mountainproject.com/route/105869572/chunky-tuna,1.8,-1,Trad,5.5,1,,30.5069,-98.8208
"#27 Moderate to Easy Climbs","Main Canyon Left > Mineral Wells State Park > Texas",https://www.mountainproject.com/route/122549158/27-moderate-to-easy-climbs,2.0,-1,TR,5.5,1,30,32.8203,-98.0273
"Koern-Dog Corner","Petri Dish Wall > Medicine Wall > Texas",https://www.mountainproject.com/route/122635117/koern-dog-corner,2.0,-1,Trad,5.5,1,30,29.60347,-98.55221
