Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Burl Dog","Cat Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106381034/burl-dog,4.0,-1,Trad,5.12+,1,80,38.09105,-109.56274
"Hydraulic Pump","4X4 > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106296805/hydraulic-pump,3.8,-1,Trad,5.12+,1,100,38.0733,-109.5813
"Trench Warfare","Allen's Ridge Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106015634/trench-warfare,3.9,-1,Trad,5.12+,1,60,40.5673,-111.768
Crankcase,"4X4 > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106303899/crankcase,3.6,-1,Trad,5.12+,1,120,38.0733,-109.5813
"Salt-Lake Special","4X4 > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106921370/salt-lake-special,3.4,-1,Trad,5.12+,1,60,38.0733,-109.5813
"Humble Pie","2nd Meat Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/107388440/humble-pie,4.0,-1,Trad,5.12+,1,80,38.1302,-109.5862
Tasmania,"Cat Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106116829/tasmania,4.0,-1,"Trad, Sport",5.12+,1,50,38.09105,-109.56274
"Christmas Tree","Battle of the Bulge Buttress > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106091289/christmas-tree,4.0,-1,Trad,5.12+,1,140,38.03837,-109.54917
"The Angry Inch","Disappointment Cliffs > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106714096/the-angry-inch,4.0,-1,Trad,5.12+,1,45,38.11634,-109.59215
Caesarean,"Sabbatical Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/119789815/caesarean,4.0,-1,Trad,5.12+,1,120,38.02086,-109.58064
"The Trad Warrior","Lower Mill Creek > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106426418/the-trad-warrior,4.0,-1,Trad,"5.12+ PG13",1,150,38.47684,-109.38133
"Cement Shoes","Scarface > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/108156374/cement-shoes,4.0,-1,Trad,5.12+,2,180,38.06928,-109.55004
"Ultimate Crack","Power Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/115688257/ultimate-crack,4.0,-1,Trad,5.12+,1,130,38.0679,-109.5416
"The Platypus","Cat Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/123476362/the-platypus,4.0,-1,Sport,5.12+,1,110,38.09105,-109.56274
"Mushrooms With Hefner","Broken Tooth > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106388533/mushrooms-with-hefner,4.0,-1,Trad,5.12+,2,150,38.10072,-109.56618
"Low Fang","Broken Tooth > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/113704194/low-fang,4.0,-1,Sport,5.12+,1,,38.10072,-109.56618
"Jack In The Box","Bridger Jack Butte > The Bridger Jacks > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/120532217/jack-in-the-box,4.0,-1,Trad,5.12+,1,80,38.08825,-109.60042
Koan,"Gangsters Paradise > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/116197977/koan,4.0,-1,Trad,5.12+,1,27,38.0022,-109.5866
"Finger Bandit","Day Canyon Cragging Routes > Day Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106610447/finger-bandit,3.5,-1,Trad,5.12+,1,50,38.56973,-109.66167
"Full Moon Good Drugs","Public Service Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/112337411/full-moon-good-drugs,4.0,-1,Trad,5.12+,1,110,38.10607,-109.57104
O'Grady,"O'Grady > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105886259/ogrady,4.0,-1,Trad,5.12+,2,200,38.64817,-109.47073
"For Dewey","Scarface > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/122198466/for-dewey,4.0,-1,Trad,5.12+,1,110,38.06928,-109.55004
"Petrified Hourglass","Bartlett Wash > Southeast Utah > Utah",https://www.mountainproject.com/route/111736582/petrified-hourglass,4.0,-1,Trad,5.12+,1,110,38.6828,-109.82562
Clandestine,"Cliffs of Insanity > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/117268590/clandestine,3.0,-1,Trad,5.12+,1,130,38.15145,-109.59834
"Pat's Crack","Reservoir Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106603827/pats-crack,4.0,-1,Trad,5.12+,1,90,38.08284,-109.56274
"Prima Donna","Northside Routes > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112529746/prima-donna,4.0,-1,Trad,5.12+,1,70,38.60758,-109.57414
"Thin It to Win It","Canyon Point Butte > Lost World  Butte Area > Southeast Utah > Utah",https://www.mountainproject.com/route/111606193/thin-it-to-win-it,4.0,-1,Trad,5.12+,1,50,38.68884,-109.91818
"The LGS (Last Great Splitter)","Sparks Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/109584981/the-lgs-last-great-splitter,3.5,-1,Trad,5.12+,1,85,38.04022,-109.59149
"The Silverback","Temple of Sinawava > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/106737328/the-silverback,3.7,-1,Trad,5.12+,5,700,37.28494,-112.94922
"Yuji's Crack","Crackhouse > Southeast Utah > Utah",https://www.mountainproject.com/route/116965127/yujis-crack,3.7,-1,"Trad, Boulder","5.12+ V6-7",1,,38.58924,-109.69932
"Jaws of Flesh","Waterfront, The > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/112340847/jaws-of-flesh,3.7,-1,Trad,5.12+,1,40,40.5739,-111.7562
"State of Becoming","The Beach > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/118099875/state-of-becoming,3.7,-1,Trad,5.12+,1,50,38.16148,-109.58228
"The Joker","Random - Unsorted > State Highway 313 > Southeast Utah > Utah",https://www.mountainproject.com/route/109663381/the-joker,3.5,-1,Trad,5.12+,1,100,38.564,-109.54235
"Nathan Martin","Pistol Whipped > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/108038861/nathan-martin,3.3,-1,Trad,5.12+,1,80,38.00828,-109.58715
"Finger of Fate Free","The Titan > Fisher Towers > Southeast Utah > Utah",https://www.mountainproject.com/route/116095670/finger-of-fate-free,3.5,-1,Trad,"5.12+ R",9,,38.71745,-109.29955
Thinner,"Tenderloins Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/118350511/thinner,3.5,-1,Trad,5.12+,1,120,38.1357,-109.5812
"The Supercavitator","The Shipyard > Long Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112861813/the-supercavitator,3.3,-1,Trad,5.12+,1,100,38.55073,-109.65957
"Lamb Chop","1st Meat Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/107629794/lamb-chop,3.3,-1,Trad,5.12+,1,50,38.12499,-109.5956
"Surf and Turf","Sacred Cow Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/108094442/surf-and-turf,3.3,-1,Trad,5.12+,1,90,38.14011,-109.58944
"Superette Crack","Dove Creek Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/111117841/superette-crack,3.0,-1,Trad,5.12+,1,75,38.07106,-109.59543
"Pop Up!","Reservoir Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/119751264/pop-up,3.0,-1,Trad,5.12+,1,,38.08284,-109.56274
"Strewn Masters of Hore","Coffin Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106580214/strewn-masters-of-hore,3.0,-1,Sport,5.12+,1,50,40.57418,-111.77065
"Pit of Despair","Cliffs of Insanity > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/110602410/pit-of-despair,3.0,-1,Trad,5.12+,1,120,38.15145,-109.59834
"Thin and Tipsy","Critic's Choice > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/113891425/thin-and-tipsy,3.0,-1,Trad,5.12+,1,35,38.03075,-109.60173
"Swarming Flys","Upper Tier > Graveside Matter Wall > Cedar Canyon > Cedar City > Southwest Utah > Utah",https://www.mountainproject.com/route/117548023/swarming-flys,3.0,-1,Sport,5.12+,1,65,37.61602,-112.93205
Sidewinder,"East Gate Buttress > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106130602/sidewinder,3.0,-1,Trad,5.12+,1,60,40.57387,-111.75163
"Blood Hush","Physics Department > Long Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106625707/blood-hush,3.0,-1,Trad,5.12+,1,50,38.5419,-109.6576
Armageddon,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112557529/armageddon,3.0,-1,Sport,5.12+,1,60,38.54668,-109.59959
"Shotgun Wedding","Sabbatical Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/111814241/shotgun-wedding,3.0,-1,Trad,5.12+,1,115,38.02086,-109.58064
Morphology,"Tucupit > North Fork of Taylor > Kolob Canyon > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/116840476/morphology,3.0,-1,Trad,5.12+,6,825,37.46471,-113.17594
"Embers (closed project)","Fern's Ledge > South Willow Canyon > Stansbury Mountains > West Desert > Utah",https://www.mountainproject.com/route/121183364/embers-closed-project,3.0,-1,Sport,5.12+,1,60,40.49291,-112.58395
"Heat Seeker","Mile 385 Area > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/121361851/heat-seeker,2.5,-1,Sport,5.12+,1,80,41.79951,-111.63754
Despot,"Suburbia > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/116696021/despot,3.0,-1,Trad,5.12+,1,100,38.18816,-109.61034
"Carne Diem","Tenderloins Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/112824948/carne-diem,3.0,-1,Trad,5.12+,1,130,38.1357,-109.5812
Kora,"Sub Peak of Meridian Tower > Oak Creek Drainages > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/123543375/kora,3.0,-1,Trad,"5.12+ PG13",8,1000,37.21144,-112.99857
Requiem,"Moab Rim Trail Towers > Moab Rim Area > Southeast Utah > Utah",https://www.mountainproject.com/route/106576345/requiem,2.7,-1,Aid,"5.12+ A0 PG13",4,325,38.5428,-109.5526
Ouija,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/112313719/ouija,2.5,-1,Sport,5.12+,1,,40.44472,-111.69582
"Bodies in Motion","Nature Center Wall > North Ogden > Ogden > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107103953/bodies-in-motion,2.5,-1,Sport,5.12+,1,50,41.28876,-111.9531
"Cathedral of the Mad Feline","Cat Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106100211/cathedral-of-the-mad-feline,2.3,-1,Trad,5.12+,1,60,38.09105,-109.56274
"Wish You Were Beer","The Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106289156/wish-you-were-beer,2.0,-1,Trad,5.12+,2,200,38.17139,-109.59666
Moondog,"Ibextopia > Ibex > West Desert > Utah",https://www.mountainproject.com/route/118161883/moondog,2.0,-1,Sport,5.12+,1,,38.97469,-113.38981
"Gravity Storm","Margaritaville > Right Hand Fork > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108073359/gravity-storm,2.0,-1,Sport,5.12+,1,,41.78242,-111.63575
"High Tolerance","Good Water Tower > San Rafael Canyon - AKA Little Grand Canyon > San Rafael Swell - North > San Rafael Swell > South Central Utah > Utah",https://www.mountainproject.com/route/124677312/high-tolerance,4.0,-1,Trad,5.12+,5,400,39.10912,-110.73165
