Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Rose","F - North End > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/106725856/the-rose,4.0,-1,Trad,5.10-,1,85,44.421,-72.90176
"Hush, Mama Thrush","Lower West Bolton > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/106083774/hush-mama-thrush,3.5,-1,Trad,5.8,1,90,44.38535,-72.91031
"Fresh Meat","E - Lower Tier > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/107562004/fresh-meat,3.2,-1,Sport,5.10b,1,80,44.42037,-72.90162
"Chockstone (Ledangier)","C - Upper Tier - Right End > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/106147002/chockstone-ledangier,3.5,-1,Trad,"5.8 PG13",1,100,44.42839,-72.89961
"Mister Rogers","10. Neighborhood Ledge > Bolton Dome > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/116540903/mister-rogers,2.9,-1,Sport,5.7+,1,70,44.37078,-72.858
"Center Crack","Main wall > Deer Leap > 2. Central Vermont > Vermont",https://www.mountainproject.com/route/106125927/center-crack,3.5,-1,Trad,5.7,1,70,43.66498,-72.83323
Paradox,"E - Lower Tier > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/107860000/paradox,3.4,-1,Sport,5.11a,1,60,44.42037,-72.90162
"Release the Hens","06. Main Wall > Bolton Dome > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/116540877/release-the-hens,3.8,-1,Sport,5.11c,1,95,44.37063,-72.85791
"Harvest Moon","Lower West Bolton > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/106957126/harvest-moon,3.0,-1,"Trad, TR","5.8- R",1,80,44.38535,-72.91031
"The Thorn","F - North End > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/107018409/the-thorn,3.9,-1,Trad,5.11a,1,60,44.421,-72.90176
"Private Property","B - Upper Tier - Left End > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/107294665/private-property,2.5,-1,Sport,5.8+,1,60,44.42012,-72.90173
"Work Shoes","03. Railroad Yard > Bolton Dome > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/117519087/work-shoes,2.7,-1,Sport,5.7,3,380,44.37069,-72.85826
"Stone Staircase","E - Lower Tier > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/107560554/stone-staircase,2.5,-1,Sport,5.9,1,70,44.42037,-72.90162
Jamathon,"01. West Side > Bolton Dome > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/116526810/jamathon,2.8,-1,"Trad, TR",5.7+,1,70,44.37123,-72.85883
"The Awesomest","01. West Side > Bolton Dome > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/116540825/the-awesomest,3.6,-1,Sport,5.11d,1,50,44.37123,-72.85883
"The 5.7 Corner","E - Lower Tier > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/106147018/the-57-corner,2.7,-1,Trad,"5.7 PG13",1,60,44.42037,-72.90162
"Peachy Canoodle","E - Lower Tier > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/110336476/peachy-canoodle,2.5,-1,Sport,5.9+,1,55,44.42037,-72.90162
"The 5.7+ Corner","E - Lower Tier > Upper West > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/106147008/the-57-corner,2.9,-1,Trad,"5.7 PG13",1,60,44.42037,-72.90162
"The Politics of Dancing","82 Main Wall > 82 Crag > Bolton Area > 1. Northern Vermont > Vermont",https://www.mountainproject.com/route/106800119/the-politics-of-dancing,3.5,-1,Sport,"5.10a PG13",1,160,44.37746,-72.86114
