Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Terrapin Station","Aid Box > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/107509083/terrapin-station,3.6,-1,"Trad, TR",5.11b,1,,38.98854,-77.24734
"Early Bird","Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/116731498/early-bird,3.6,-1,Sport,5.11b,1,65,37.3013,-82.30045
"Friends Don't Let Friend's Climb Fat","Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/113633538/friends-dont-let-friends-climb-fat,3.6,-1,Sport,5.11b,1,60,37.15873,-82.40324
"Black Market Shrimp","The Fortress > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/122522511/black-market-shrimp,4.0,-1,Trad,5.11b,1,35,38.55292,-78.3106
Tigress,"Pinnacle Overlook > Pinnacle Rock Area > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/111794156/tigress,3.3,-1,Sport,5.11b,1,40,37.12845,-82.41344
"Superman Arete","Superman Crag > Center Lightside Routes > Center Lightside > Lightside > (6) Jaybird Gorge > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/118586804/superman-arete,3.3,-1,Sport,5.11b,1,40,36.89937,-82.41859
"Mo Money Mo Problems","The Bank > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/118236601/mo-money-mo-problems,3.3,-1,Sport,5.11b,1,90,36.88041,-82.43219
Reincarnation,"Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/118944382/reincarnation,2.9,-1,Sport,5.11b,1,110,37.3013,-82.30045
"Ladybug Jam","Waking Dream Wall > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/117532430/ladybug-jam,3.0,-1,Trad,5.11b,1,95,38.54865,-78.30455
BRANKLES,"Alpha Wall > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/108805063/brankles,3.0,-1,Sport,5.11b,1,75,36.89936,-82.42035
"Dark Horse","Primary Crag > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/117532478/dark-horse,3.0,-1,Trad,5.11b,1,85,38.55095,-78.32352
"Crankarmadillo (AKA Cranky Climber)","Cornice > Great Falls > DC & Northern VA Region > Virginia",https://www.mountainproject.com/route/121237491/crankarmadillo-aka-cranky-climber,3.0,-1,TR,5.11b,1,80,38.98804,-77.24726
"Short, Wide, and Handsome","Waking Dream Wall > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/117532417/short-wide-and-handsome,3.0,-1,Trad,5.11b,1,65,38.54865,-78.30455
"Summer Thunder Extension","Big Shot > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/121876556/summer-thunder-extension,3.0,-1,Sport,5.11b,1,70,36.90262,-82.39906
"Bare Knuckle Boxer","The Spot > Pinnacle Ridge > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/113972077/bare-knuckle-boxer,3.0,-1,Trad,"5.11b R",1,50,37.84158,-79.06637
"Orange Slice","Mid Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/114358008/orange-slice,3.0,-1,Trad,5.11b,1,45,37.28855,-82.30904
"The Pearl","Pirate Crags > Pinnacle Ridge > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/113972654/the-pearl,3.0,-1,Trad,5.11b,1,50,37.83008,-79.07126
"Smokey Treats","Western Pillars > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/118810263/smokey-treats,2.5,-1,Trad,5.11b,1,45,37.90664,-78.93805
"Self Potential","Self Potential Wall > Wintergreen > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/108952709/self-potential,2.0,-1,Sport,5.11b,1,70,37.90597,-78.93764
"Mischievous Sandbagging","Rebel Wall > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/117893217/mischievous-sandbagging,2.0,-1,Sport,5.11b,1,50,36.87025,-82.24574
"Intestines Slide","Towers > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/113662832/intestines-slide,2.0,-1,Sport,5.11b,1,60,37.15917,-82.40307
"The Unchained!","Briar Ledge > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/107764592/the-unchained,2.0,-1,Trad,5.11b,1,55,38.5515,-78.3106
"Welcome To The Family","New Beginnings Wall > New Beginnings Area > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/108826741/welcome-to-the-family,2.0,-1,Sport,5.11b,1,100,37.06165,-81.65342
"Tuolumne Vacation","Karen's Crag > Pinnacle Ridge > Charlottesville vicinity > Central & Southern VA Region > Virginia",https://www.mountainproject.com/route/113970100/tuolumne-vacation,2.0,-1,TR,5.11b,1,30,37.84374,-79.065
"Thar She Blows!","Whale's Lip > Old Rag > Shenandoah National Park > Shenandoah & NW VA Region > Virginia",https://www.mountainproject.com/route/107764454/thar-she-blows,2.0,-1,Trad,5.11b,1,80,38.5515,-78.3106
"Breaking Bread","Alpha Wall > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia",https://www.mountainproject.com/route/108805069/breaking-bread,2.0,-1,Sport,5.11b,1,75,36.89936,-82.42035
