Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"South Arete","South Early Winters Spire > Liberty Bell Group > Washington Pass > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/106378815/south-arete,2.5,-1,"Trad, Alpine",5.5,3,,48.51216,-120.65513
"Chimney Divine","Kotick Memorial Wall > Echo Basin > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/107442256/chimney-divine,2.4,-1,Sport,5.5,1,40,47.02349,-119.97212
"Shake It Don't Break It","The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/106399185/shake-it-dont-break-it,1.9,-1,Sport,5.5,1,60,47.0277,-119.96449
"Northeast Buttress","Mt. Goode > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/110103763/northeast-buttress,3.9,-1,"Trad, Alpine",5.5,1,2800,48.48291,-120.9108
"Perfect Harmony","Sunshine Vista (Easy Street) > Far Side > Exit 38 > North Bend & Vicinity > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/106521698/perfect-harmony,2.4,-1,Sport,5.5,2,180,47.43036,-121.62226
"Rough Boys","Orange Sunshine area > Royal Columns > Tieton River > South-Central & Yakima > Washington",https://www.mountainproject.com/route/111861838/rough-boys,2.7,-1,Trad,5.5,1,50,46.72461,-120.80957
"Challenger Glacier","Main Summit > Mt. Challenger > Northern Pickets > Picket Range > North Cascades > Hwy 20 and North Cascades National Park > Northwest Region > Washington",https://www.mountainproject.com/route/112031867/challenger-glacier,3.8,-1,"Trad, Snow, Alpine","5.5 Mod. Snow",1,1400,48.83577,-121.34234
"Sunset Ridge","Mount Rainier > Southwest Cascades > South-West & Tacoma > Washington",https://www.mountainproject.com/route/112479245/sunset-ridge,4.0,-1,"Trad, Ice, Snow, Alpine","5.5 AI1-2 Steep Snow",1,9000,46.8529,-121.76047
"Main Crack","Main Wall > Minnehaha > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/106315348/main-crack,2.5,-1,"Trad, TR",5.5,1,60,47.68751,-117.32723
"X-Crack-Right Finish","XY Crag (Chromosome Cracks) > Eight Mile Area > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/106605334/x-crack-right-finish,2.3,-1,"Trad, TR",5.5,1,40,47.55214,-120.76401
"Adventure Time","(e) The Empire > Powerhouse Area > Echo Basin > Frenchman Coulee (Vantage) > Central Region > Washington",https://www.mountainproject.com/route/121447136/adventure-time,3.4,-1,Sport,5.5,1,50,47.02057,-119.9688
"Double Trouble","Crack Wall > Powerline Area > Mount Erie > San Juan, Fidalgo & Whidbey Islands > Northwest Region > Washington",https://www.mountainproject.com/route/109286799/double-trouble,2.0,-1,"Sport, TR",5.5,1,30,48.45422,-122.63045
"Oyster Odyssey","Julia's Outcrop (Governor Lister Cliff) > Bellingham Area > Bellingham and Mt Baker Hwy > Northwest Region > Washington",https://www.mountainproject.com/route/108237079/oyster-odyssey,2.3,-1,Sport,5.5,1,25,48.6238,-122.4484
"5.5 Crack","Barney's Rubble > Icicle Creek > Leavenworth > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/116209309/55-crack,1.9,-1,Trad,5.5,1,40,47.54333,-120.73567
"Southern Comfort","East Face > Big Rock > Rocks of Sharon > Spokane Area > Northeast Corner & Spokane > Washington",https://www.mountainproject.com/route/107792069/southern-comfort,2.1,-1,Sport,5.5,1,80,47.578,-117.2859
"Doug Thompson's Lesbian Unicorn Off-Width","Missing Bottle Buttress > Inner Walls > Index > Skykomish Valley > Central-West Cascades & Seattle > Washington",https://www.mountainproject.com/route/114558686/doug-thompsons-lesbian-unicorn-off-width,2.7,-1,TR,5.5,1,50,47.81956,-121.57498
