Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Brinton's Crack","07: Brinton's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730484/brintons-crack,3.7,-1,Trad,5.6,1,80,43.41359,-89.71303
Air,"04. Air Spire > Necedah (Petenwell Rock) > Central > Wisconsin",https://www.mountainproject.com/route/105993472/air,3.6,-1,Trad,5.6,1,95,44.04467,-90.01972
"Lost Face","05: Lost Face Area > 1: Prospect Point Rampart > West Bluff 05 - West Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730553/lost-face,3.5,-1,"Trad, TR",5.6,1,100,43.42052,-89.73831
"Pine Tree Step-Across","7.1.1 - Railroad Amphitheater > East Bluff 07 - Railroad Tracks > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730229/pine-tree-step-across,3.4,-1,"Trad, TR","5.6 R",1,,43.41812,-89.72723
"Coatimundi Crack","11: Bill's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730682/coatimundi-crack,3.1,-1,"Trad, TR",5.6,1,125,43.41366,-89.71414
"King's Throne","The Cleo Amphitheater > West Bluff 03 - Cleo Amphitheater > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730331/kings-throne,3.1,-1,"Trad, TR",5.6,1,,43.41738,-89.73856
Berkeley,"07: Brinton's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105898019/berkeley,3.0,-1,"Trad, TR",5.6,1,60,43.41359,-89.71303
"Full Stop","08: Two Pines Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730802/full-stop,2.8,-1,"Trad, TR",5.6,1,70,43.41367,-89.7134
"PushMi, Pull-Yu","11: Bill's Buttress > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730538/pushmi-pull-yu,2.7,-1,"Trad, TR",5.6,1,100,43.41366,-89.71414
"Cracking Up","15: Pseudo Hawk's Nest > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730883/cracking-up,2.7,-1,"Trad, TR",5.6,1,70,43.41353,-89.71515
"Phallus in Wonderland","04. Air Spire > Necedah (Petenwell Rock) > Central > Wisconsin",https://www.mountainproject.com/route/106452194/phallus-in-wonderland,3.2,-1,Trad,5.6,2,100,44.04467,-90.01972
"Angel's Crack","Upper Major Mass & Jungle Gym Tower > 5.3 - Doorway Rocks - Major Mass > East Bluff 05 - Potholes Area > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730250/angels-crack,3.2,-1,"Trad, TR",5.6,1,,43.41403,-89.71997
"The Great Crack","Great Tower > West Bluff 04 - Great Tower Area > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730751/the-great-crack,3.3,-1,"Trad, TR",5.6,1,,43.41896,-89.73749
"Bucket Brigade","17: Hawk's Nest > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105731153/bucket-brigade,2.9,-1,Trad,5.6,1,100,43.41353,-89.7158
"Jacob's Ladder","6. Porkchop Buttress > West Bluff 02 - Misery Rocks & The Pantry > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730565/jacobs-ladder,2.5,-1,"Trad, TR",5.6,1,50,43.41671,-89.73827
"The Pretzel","15: Pseudo Hawk's Nest > East Bluff 04 - East Rampart > Devil's Lake > Baraboo Range > Wisconsin",https://www.mountainproject.com/route/105730874/the-pretzel,2.4,-1,"Trad, TR",5.6,1,50,43.41353,-89.71515
