Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Suck the Nipple","Upper Psychoactive Wall > Leigh Creek > Old Road Crags > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/108329849/suck-the-nipple,3.1,-1,Sport,5.11+,1,70,44.08095,-107.30567
"Right Torpedo Tube","Nautilus > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105751711/right-torpedo-tube,3.7,-1,Trad,5.11+,1,90,41.15478,-105.37467
"Right About Now","The Citadel > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/106734111/right-about-now,3.3,-1,Sport,5.11+,1,80,42.74087,-108.83689
"Sucker Born Every Minute","Circus Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/106159417/sucker-born-every-minute,2.7,-1,Sport,5.11+,1,45,44.10072,-107.28884
"Sulphur Queen","4. Bermuda Triangle > The Shipyard > Piney Creek Canyon > Eastern Big Horns > Wyoming",https://www.mountainproject.com/route/110787227/sulphur-queen,3.8,-1,Sport,5.11+,1,75,44.55914,-106.94184
Icarus,"Cirque of the Sun > Wind River Range > Wyoming",https://www.mountainproject.com/route/115357176/icarus,4.0,-1,"Trad, Alpine",5.11+,9,950,42.75578,-109.15999
Crankenstein,"Nautilus > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105814034/crankenstein,3.9,-1,Trad,5.11+,1,60,41.15478,-105.37467
"Cache Pirates","Mount Hooker > Baptiste Lake > Wind River Range > Wyoming",https://www.mountainproject.com/route/118292922/cache-pirates,4.0,-1,"Trad, Alpine",5.11+,10,1200,42.85573,-109.30769
"Country Western Swing aka Mystery Blocks","The Heap > Upper Blair > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/106446032/country-western-swing-aka-mystery-blocks,3.0,-1,Sport,5.11+,1,45,41.19623,-105.38291
Bloodletting,"Reynolds Hill > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/106156786/bloodletting,3.6,-1,Trad,5.11+,1,50,41.17386,-105.35395
Superman,"The Bridge > Fremont Canyon > Wyoming",https://www.mountainproject.com/route/106796421/superman,3.8,-1,Trad,5.11+,1,75,42.47099,-106.79643
Moonsault,"Roof Ranch > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105815488/moonsault,3.8,-1,Trad,5.11+,1,60,41.18484,-105.37826
"Purple People Eater","Fickle Finger of Fate > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107223332/purple-people-eater,3.4,-1,Sport,5.11+,1,90,44.0976,-107.29321
"Muscle and Fitness","Muscle and Fitness > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/121263923/muscle-and-fitness,4.0,-1,Trad,5.11+,1,50,41.17264,-105.34965
"Bulls On Parade","Parade Rock > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/113258805/bulls-on-parade,4.0,-1,Trad,5.11+,1,30,41.18484,-105.37826
"Morning Sickness","The Bridge > Fremont Canyon > Wyoming",https://www.mountainproject.com/route/106796446/morning-sickness,3.7,-1,Trad,5.11+,1,85,42.47099,-106.79643
Fingorilla,"Buford > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105815637/fingorilla,3.8,-1,Trad,5.11+,1,40,41.18484,-105.37826
"Red Alert","Red Sentinel > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/109131463/red-alert,4.0,-1,"Trad, Alpine",5.11+,1,171,43.73407,-110.79444
"Heroes and Zeroes","Wine and Roses > Fremont Canyon > Wyoming",https://www.mountainproject.com/route/106846565/heroes-and-zeroes,3.6,-1,"Trad, Sport",5.11+,1,165,42.46729,-106.80228
"Galactic Tactic","Purple Galaxy > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/116179348/galactic-tactic,3.3,-1,Sport,5.11+,1,70,42.74003,-108.84134
"Question Crack Center","Question Wall > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107227195/question-crack-center,3.1,-1,Sport,5.11+,1,80,44.09938,-107.28795
"Still a Gorilla","Gorilla Rock > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105814699/still-a-gorilla,3.8,-1,Trad,5.11+,1,40,41.14073,-105.30252
Blind,"4. Zeppelin Wall > 1. Fairfield East > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/116174188/blind,3.3,-1,Sport,5.11+,1,65,42.74066,-108.84557
"Power Behind the Throne","Wine and Roses > Fremont Canyon > Wyoming",https://www.mountainproject.com/route/108355399/power-behind-the-throne,3.5,-1,Trad,5.11+,1,160,42.46729,-106.80228
"Pussy Cat's Hot Licks","Spelunk Spire > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/109475942/pussy-cats-hot-licks,3.3,-1,Trad,5.11+,1,30,41.17639,-105.34788
"The Suit","Lower Blair III > Lower Blair I, II, III, and vicinity > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/108035214/the-suit,3.0,-1,Trad,5.11+,1,40,41.19063,-105.38913
"The Burr Route","Illigitimus Rotundus AKA: Fat Bastard > Lake Point > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/108221657/the-burr-route,2.5,-1,Sport,5.11+,1,50,44.15758,-107.23345
Repoman,"The Heap > Upper Blair > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/109528697/repoman,2.8,-1,Trad,5.11+,1,80,41.19623,-105.38291
"12 Hours to live","Porter's Prow > Shady Side > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/114592666/12-hours-to-live,3.0,-1,Sport,5.11+,1,,42.73653,-108.82237
"Medicine Crow","Cloud Peak East Cirque > Cloud Peak Wilderness Area > Wyoming",https://www.mountainproject.com/route/113617923/medicine-crow,3.0,-1,"Trad, Alpine","5.11+ R",8,1100,44.38376,-107.17329
"Double Stud","Mock 10 Wall > Aspen Glade > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/119760439/double-stud,3.0,-1,Sport,5.11+,1,70,42.5934,-108.73895
"Holy Roller","Vegas Wall > Lower Canyon Granite > Cody > Wyoming",https://www.mountainproject.com/route/122344115/holy-roller,3.0,-1,Sport,5.11+,1,90,44.50719,-109.17547
"Mean Machine","Snaggletooth > Lucerne Valley > Wyoming",https://www.mountainproject.com/route/120570330/mean-machine,3.0,-1,Sport,5.11+,1,40,41.00388,-109.60681
"The Burgler","Point of Rocks > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/113835886/the-burgler,3.0,-1,"Trad, TR, Boulder","5.11+ V3",1,40,42.52142,-107.5617
"Jay's Got Wood","Upper Blair Boulder Problems > Upper Blair > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105831425/jays-got-wood,3.0,-1,Boulder,"5.11+ V3",1,,41.20411,-105.37424
"Heartbreak June","Heartbreak Hotel > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/106476846/heartbreak-june,3.0,-1,Trad,"5.11+ PG13",1,70,41.18484,-105.37826
Unnamed,"The Rest of the East Bridge Bands > East Bridge Bands > Cody > Wyoming",https://www.mountainproject.com/route/109582061/unnamed,3.0,-1,Sport,5.11+,1,65,44.51156,-109.15117
"Air Guitar","Hot Lixx Family Fun Center > Mondo Beyondo > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/107726777/air-guitar,2.7,-1,Sport,5.11+,1,60,44.13321,-107.25725
"Seersucker Sex Toys","Heavy Metal Rock Band > Shady Side > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/114548304/seersucker-sex-toys,2.7,-1,Sport,5.11+,1,60,42.73506,-108.82392
"Driller's Delight","3. The Roof Area > 3. Fairfield West > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/107045038/drillers-delight,2.7,-1,Sport,5.11+,1,,42.73974,-108.85212
"Munger Crack","Upper Ledge > Arms Deal Wall > Teton Canyon > Wyoming",https://www.mountainproject.com/route/109469447/munger-crack,2.6,-1,Trad,5.11+,1,40,43.75578,-110.91313
"Back-up Binkie","Killer Cave > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/106710731/back-up-binkie,1.9,-1,Sport,5.11+,1,60,42.74193,-108.83178
"Unknown 5.11+","4. Lone Pilgrim > 1. Left Side (Lunarscape, Tribal War, Poker-Face, Lone Pilgrim) > OK Corral > Wild Iris > Lander Area > Wyoming",https://www.mountainproject.com/route/122938130/unknown-511,2.5,-1,Sport,5.11+,1,55,42.57481,-108.71685
"The Edge of Horror","Omega  Buttress > Death Canyon > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/107970434/the-edge-of-horror,2.5,-1,"Trad, Alpine","5.11+ R",1,250,43.65911,-110.81351
"The Relocation Roof","Upper Blair Boulder Problems > Upper Blair > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/105830498/the-relocation-roof,2.5,-1,Boulder,"5.11+ V3-4",1,,41.20411,-105.37424
"Asphalt Flowers","Giving Tree Wall > Leigh Creek > Old Road Crags > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/114580159/asphalt-flowers,2.3,-1,Sport,5.11+,1,50,44.08259,-107.3041
Kokoro,"Supremacy Wall > Old Road Crags > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/119177757/kokoro,2.1,-1,Sport,5.11+,1,,44.08693,-107.29783
"Lentil Scrutinizer","Split Rock > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/114069944/lentil-scrutinizer,2.0,-1,"Trad, TR",5.11+,1,30,42.4536,-107.546
"Alpine Cow","Cathedral Buttress > Death Canyon > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/118862599/alpine-cow,2.0,-1,"Trad, Alpine",5.11+,4,250,43.66063,-110.82348
"Magpie Acres","Disappointment Peak > Grand Teton National Park > Wyoming",https://www.mountainproject.com/route/114289590/magpie-acres,2.0,-1,"Trad, Alpine",5.11+,1,100,43.73345,-110.79302
"American Nightmare","5. American Nightmare Area > 2. Fairfield Central > Fairfield Hill > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/116194021/american-nightmare,3.0,-1,Sport,5.11+,1,70,42.73985,-108.84895
"Unnamed Inversion Roof","Roof Ranch > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/109652911/unnamed-inversion-roof,2.0,-1,Boulder,"5.11+ V4",1,15,41.18484,-105.37826
"Ancient Graffiti","Sandstone Buttress > The Sandstone > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/111740078/ancient-graffiti,2.0,-1,Trad,5.11+,2,160,42.75846,-108.79839
"Red Rover","The Recess Wall > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/112339793/red-rover,2.0,-1,Sport,5.11+,1,40,42.7401,-108.84163
Husbandry,"Rendezvous Mountain North Face > Jackson Hole Mountain Resort > Jackson Hole > Wyoming",https://www.mountainproject.com/route/109425911/husbandry,2.0,-1,"Sport, Alpine",5.11+,1,31,43.59684,-110.86758
"Escape to Alcatraz","Haystack > Sweetwater Rocks > Wyoming",https://www.mountainproject.com/route/123854826/escape-to-alcatraz,3.5,-1,Sport,5.11+,1,40,42.48246,-107.58403
"Two Digit Midget","The Temple > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/123856885/two-digit-midget,2.0,-1,Sport,5.11+,1,60,44.14391,-107.23197
"The $16 Sack","The Temple > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/123856940/the-16-sack,3.0,-1,Sport,5.11+,1,110,44.14391,-107.23197
"Obols for Kharon","The Silver Dollar (A-WOL) > The Spires > Cody > Wyoming",https://www.mountainproject.com/route/123876343/obols-for-kharon,3.0,-1,Sport,5.11+,1,85,44.51538,-109.17269
Blood,"Blood Sweat Bears > Ten Sleep Canyon > Wyoming",https://www.mountainproject.com/route/124605451/blood,2.0,-1,Sport,5.11+,1,50,44.08285,-107.31265
"Pep In Your Step","Lower Blair I > Lower Blair I, II, III, and vicinity > Blair (overview) > Vedauwoo > Laramie Area > Wyoming",https://www.mountainproject.com/route/124651453/pep-in-your-step,3.0,-1,Trad,"5.11+ PG13",1,75,41.18963,-105.38811
"Suburban Kids with Biblical Names","The Joint > The Granite > Sinks Canyon > Lander Area > Wyoming",https://www.mountainproject.com/route/124658977/suburban-kids-with-biblical-names,3.7,-1,Sport,5.11+,1,50,42.72912,-108.86395
"Club Sandwich","The Bird Wall > Wilson Canyon > Jackson Hole > Wyoming",https://www.mountainproject.com/route/124864976/club-sandwich,2.5,-1,Sport,5.11+,1,55,43.43132,-110.75484
"Fianchetto (open project)","Queen’s Gambit > North Fork > Swift Creek Canyon > Jackson Hole > Wyoming",https://www.mountainproject.com/route/125087221/fianchetto-open-project,2.0,-1,Sport,5.11+,1,40,42.75412,-110.87572
"Searching for Bobby Fischer (open project)","Queen’s Gambit > North Fork > Swift Creek Canyon > Jackson Hole > Wyoming",https://www.mountainproject.com/route/125087663/searching-for-bobby-fischer-open-project,4.0,-1,Sport,5.11+,1,55,42.75412,-110.87572
