Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Peacemaker","The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106080329/the-peacemaker,3.5,-1,Sport,5.10a,7,660,31.87031,-109.99388
"Pocket Puzzle","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105830204/pocket-puzzle,3.3,-1,Sport,5.10a,1,,33.3104,-111.06756
"Arete Horizon","The Pond > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/106401811/arete-horizon,3.1,-1,Sport,5.10a,1,75,33.3104,-111.06756
Neptune,"Atlantis North Side > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105979723/neptune,3.0,-1,Sport,5.10a,1,85,33.30561,-111.07634
"Office Party","The Sacred Trust > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/107482137/office-party,2.8,-1,Sport,5.10a,6,360,36.65804,-114.00725
"Ship of Fools","The Prow > Paradise Forks > Sycamore Canyon > Northern Arizona > Arizona",https://www.mountainproject.com/route/105792565/ship-of-fools,2.9,-1,Trad,5.10a,1,100,35.13763,-112.02421
"Community Service","Main Wall > La Milagrosa Canyon > Southern Arizona > Arizona",https://www.mountainproject.com/route/105895574/community-service,2.9,-1,Sport,5.10a,1,60,32.29825,-110.71317
"Isle of You","Trad Rock > Isle of Ewe > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738602/isle-of-you,2.8,-1,Sport,5.10a,1,170,31.87484,-110.01472
"R.E.M. (Rapid Eye Movement)","(N) The Son Tower > The Pit (aka Le Petit Verdon) > Flagstaff Area > Northern Arizona > Arizona",https://www.mountainproject.com/route/106143325/rem-rapid-eye-movement,2.5,-1,Sport,5.10a,1,50,35.12943,-111.59631
Yarlsberg,"Swiss Wall > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105827985/yarlsberg,2.7,-1,Sport,5.10a,1,60,34.75327,-111.06506
"Jack & Jill Go Bolting","Cracker Jack Cliffs > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105827935/jack-jill-go-bolting,2.7,-1,Sport,5.10a,1,55,34.75582,-111.06739
"Phony Pony","The Sheepshead > Sheepshead Area (Southwest) > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106140561/phony-pony,3.0,-1,Trad,5.10a,5,600,31.87031,-109.99388
"Grumpy after Eight","Atlantis South Side > Atlantis > Queen Creek Canyon > Central Arizona > Arizona",https://www.mountainproject.com/route/105980883/grumpy-after-eight,2.5,-1,Sport,5.10a,1,65,33.30561,-111.07634
"Peanut Brittle","Sweet Rock > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/106333961/peanut-brittle,2.5,-1,Sport,5.10a,1,90,31.87238,-110.01815
"Slots O Fun","Casino Cliffs > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105933822/slots-o-fun,2.5,-1,Sport,5.10a,1,35,34.75623,-111.06529
"Edge your Bets","Casino Cliffs > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105933816/edge-your-bets,2.5,-1,Sport,5.10a,1,35,34.75623,-111.06529
"Eminent Domain","The Grail > Lime Kiln Canyon > The Arizona Strip > Northern Arizona > Arizona",https://www.mountainproject.com/route/111301554/eminent-domain,2.4,-1,Sport,5.10a,1,60,36.65703,-114.00822
"Stone Woman","Trad Rock > Isle of Ewe > West Stronghold > Cochise Stronghold > Southern Arizona > Arizona",https://www.mountainproject.com/route/105738572/stone-woman,2.5,-1,Sport,5.10a,1,90,31.87484,-110.01472
"Fist Full O' Dollars","Casino Cliffs > Jacks Canyon > Winslow- Hwy’s 87 & 99 Corridors > Northern Arizona > Arizona",https://www.mountainproject.com/route/105828293/fist-full-o-dollars,2.1,-1,Sport,5.10a,1,50,34.75623,-111.06529
