Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Corn Grinder","North Forty Routes > North Side > Horseshoe Canyon Ranch > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/106294136/corn-grinder,3.2,-1,Sport,5.12c,1,70,36.00881,-93.29549
"Supersoul Sureshot","The Far East > East Side > Horseshoe Canyon Ranch > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/105988238/supersoul-sureshot,3.8,-1,Sport,5.12c,1,55,36.00394,-93.28377
"Egyptian Airbus","Prophecy Wall > West Side > Horseshoe Canyon Ranch > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/105986411/egyptian-airbus,3.4,-1,Sport,5.12c,1,65,36.00388,-93.29631
"White Noise","The Tomb > Rock Creek > Big Piney Region > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/110448250/white-noise,4.0,-1,Sport,5.12c,1,80,35.7469,-93.26835
Goldline,"Hudson Mountain > Cowell > Cowell/Deer Area > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/108438637/goldline,3.9,-1,Sport,5.12c,1,55,35.85138,-93.12402
"Resident Evil","The Tomb > Rock Creek > Big Piney Region > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/110448200/resident-evil,4.0,-1,Sport,5.12c,1,80,35.7469,-93.26835
"The Black","Valley of The Blind > Sam's Throne & Surroundings > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/106313466/the-black,3.9,-1,Sport,5.12c,1,90,35.86384,-93.04812
"Single Malt","Prohibition Wall > Prohibition > Richland Creek Area > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/118713618/single-malt,4.0,-1,Sport,5.12c,1,55,35.86324,-92.90375
Absolut,"Prohibition Wall > Prohibition > Richland Creek Area > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/118725977/absolut,4.0,-1,Sport,5.12c,1,65,35.86324,-92.90375
"Orange Kush","Dardanelle Rock > River Valley and Ouachitas Region > Arkansas",https://www.mountainproject.com/route/108158768/orange-kush,4.0,-1,Sport,5.12c,1,70,35.23714,-93.16375
"Tales From The Crypt","The Tomb > Rock Creek > Big Piney Region > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/111599931/tales-from-the-crypt,3.8,-1,Sport,5.12c,1,75,35.7469,-93.26835
"Dozen Red Roses","Haw Creek East > Haw Creek > Big Piney Region > North-Central Arkansas > Arkansas",https://www.mountainproject.com/route/121834995/dozen-red-roses,4.0,-1,Sport,5.12c,1,60,35.6788,-93.2382
