Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Power of One","White Wall > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106627719/the-power-of-one,4.0,-1,Sport,5.13d,1,100,34.1116,-118.9264
Peace,"West Face, Right > Medlicott Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/113508237/peace,4.0,-1,Sport,5.13d,2,250,37.85505,-119.42899
"Holey Mackerel","Mothership Cliff > Inner Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/116651905/holey-mackerel,4.0,-1,Sport,5.13d,1,110,37.51923,-118.57258
Ripple,"Kadawn Buttress > Laundromat Canyon > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/118743403/ripple,4.0,-1,Trad,"5.13d R",1,120,37.39144,-118.6733
"Wynter is coming","Headwall > 1-First Tier > Mountaineer Walls > El Cajon Mountain > South San Diego County > San Diego County > California",https://www.mountainproject.com/route/118900383/wynter-is-coming,4.0,-1,Sport,5.13d,1,50,32.89829,-116.8246
"Wet Lycra Nightmare","Leaning Tower > Q. Leaning Tower Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/122469031/wet-lycra-nightmare,2.0,-1,Trad,5.13d,9,900,37.71281,-119.64769
"Book of Hate","Elephant's Graveyard > Bc. Elephant Rock Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/114315261/book-of-hate,4.0,-1,Trad,5.13d,1,150,37.71673,-119.71214
"Top Gun","Stately Pleasure Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/119481615/top-gun,4.0,-1,"Trad, Alpine",5.13d,1,60,37.83546,-119.4577
"More Handsome than Honnold","Eldorado Roof > Inner Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/120254532/more-handsome-than-honnold,4.0,-1,Sport,5.13d,1,100,37.51898,-118.57187
Nalazak,"Incredible Hulk > 02 - The Sawtooth Ridge > High Sierra > California",https://www.mountainproject.com/route/117252328/nalazak,4.0,-1,"Trad, Alpine",5.13d,1,230,38.12188,-119.41522
Assassin,"Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/118837304/assassin,4.0,-1,Sport,5.13d,1,,37.90698,-120.5582
Stingray,"Iguana Dome > Near East > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106987035/stingray,3.6,-1,Trad,5.13d,1,90,34.03943,-116.13434
"5 Minutes Alone","High Energy Wall > Cloudburst Canyon > Woodfords Canyon > Carson Pass Highway (88) > Lake Tahoe > California",https://www.mountainproject.com/route/117407234/5-minutes-alone,4.0,-1,Trad,"5.13d R",1,110,38.7622,-119.86184
"Thief in the Night","Ghetto Wall > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/120320923/thief-in-the-night,4.0,-1,Sport,5.13d,1,60,34.09524,-118.73109
"New Leaf (2nd pitch of GL)","East Pillar of the Cookie > Aj. Cookie Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/118239361/new-leaf-2nd-pitch-of-gl,4.0,-1,Trad,5.13d,1,115,37.71868,-119.71864
"Surf Safari","Endless Bummer Rock > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114258736/surf-safari,3.7,-1,Sport,5.13d,1,60,37.87756,-122.61868
"The Juice","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/113924271/the-juice,3.5,-1,Sport,5.13d,1,,37.90698,-120.5582
"Mortal Kombat","2. Space Invaders > The Pie Shop > South Shore > Lake Tahoe > California",https://www.mountainproject.com/route/117274873/mortal-kombat,3.5,-1,Sport,5.13d,1,65,38.8828,-120.01717
"Rocket Science","2. Brain Block > East Face > Snowshed Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/119016855/rocket-science,3.5,-1,Sport,5.13d,1,60,39.31588,-120.31831
Overhaul,"Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/118837254/overhaul,3.5,-1,Sport,5.13d,1,,37.90698,-120.5582
"Death Row","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/118837344/death-row,3.5,-1,Sport,5.13d,1,,37.90698,-120.5582
"Gala Gala Happy","Owl Tor > Hwy 166/Silly Rock > Central Coast > California",https://www.mountainproject.com/route/107261242/gala-gala-happy,3.0,-1,Sport,5.13d,1,,35.11955,-120.10394
"Mule Skinner","Garbage Gully > Scheelite Canyon / Pratt's Crack Gully > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/113106835/mule-skinner,3.0,-1,Sport,5.13d,1,55,37.3849,-118.67544
"A Time Out Of Joint","Center Cave > Big Chief Area > Truckee River Canyon > Lake Tahoe > California",https://www.mountainproject.com/route/119728622/a-time-out-of-joint,3.0,-1,Sport,5.13d,1,,39.2453,-120.20289
"Buried Dulcinea","Treasure Towers > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/119491245/buried-dulcinea,3.0,-1,Sport,5.13d,1,100,34.12485,-118.92574
Bismillah,"The Fantasy > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/122621761/bismillah,3.0,-1,Sport,5.13d,1,50,37.36933,-118.68672
"Brenna's got a Baby","Ghetto Wall > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/122967822/brennas-got-a-baby,3.0,-1,Sport,5.13d,1,40,34.09524,-118.73109
"Grab Your Toes, Boy!","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122401679/grab-your-toes-boy,3.0,-1,Sport,5.13d,1,,37.90698,-120.5582
"La Machine","Ivory Tower > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105800093/la-machine,3.0,-1,Sport,5.13d,1,50,34.07388,-116.16036
"Guilty Until Proven Innocent","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122402390/guilty-until-proven-innocent,3.0,-1,Sport,5.13d,1,,37.90698,-120.5582
Atmosphere,"Boney Bluff > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106689513/atmosphere,3.0,-1,Sport,5.13d,1,40,34.11046,-118.95737
Prodigy,"Dream Street > Echo Cliffs > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/106627087/prodigy,3.0,-1,Sport,5.13d,1,50,34.1116,-118.9264
Brenna,"Ghetto Wall > Malibu Creek State Park > Santa Monica Mountains > Los Angeles Basin > California",https://www.mountainproject.com/route/111009365/brenna,2.7,-1,Sport,5.13d,1,35,34.09524,-118.73109
Desire,"Faulty Tower > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/118353666/desire,2.3,-1,Sport,5.13d,1,40,37.51367,-118.57129
"Great Brown Shark","Delta Wall > Uptown Rock > Pine Creek Canyon > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/118286320/great-brown-shark,2.0,-1,Sport,5.13d,1,90,37.36813,-118.68846
"Corona Extension","Great Wall of China > Central Gorge > Owens River Gorge > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/120260237/corona-extension,2.0,-1,Sport,5.13d,1,180,37.51637,-118.57089
Fryerplace,"Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122397399/fryerplace,2.0,-1,Sport,5.13d,1,,37.90698,-120.5582
"Lock Down","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122397084/lock-down,2.0,-1,Sport,5.13d,1,,37.90698,-120.5582
"Knee to Tower","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122402705/knee-to-tower,2.0,-1,Sport,5.13d,1,,37.90698,-120.5582
"Petty Offense","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122397223/petty-offense,2.0,-1,Sport,5.13d,1,,37.90698,-120.5582
Criming,"Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122397354/criming,2.0,-1,Sport,5.13d,1,,37.90698,-120.5582
"Skitz Row","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122397448/skitz-row,2.0,-1,Sport,5.13d,1,,37.90698,-120.5582
"Dead Man Walking","Jailhouse Rock > Sonora Pass Highway (108) > California",https://www.mountainproject.com/route/122397469/dead-man-walking,2.0,-1,Sport,5.13d,1,,37.90698,-120.5582
"Galactic Entropy","Space Wall > Donner Summit > I-80 Corridor > Lake Tahoe > California",https://www.mountainproject.com/route/124811550/galactic-entropy,3.0,-1,Sport,5.13d,1,70,39.32331,-120.31591
