Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Metamorphosis","Wind Tower - S Face > The Wind Tower > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105764211/the-metamorphosis,3.6,-1,Trad,5.10-,1,,39.9314,-105.283
"Reef On It!","Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/108152210/reef-on-it,3.4,-1,Sport,5.10-,1,60,39.51669,-105.39578
Tese,"Witches' Tower > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764685/tese,3.0,-1,Sport,5.10-,1,100,40.0022,-105.395
"High Heeled Tittty Twister","E. Cactus Cliff Far Right (Funkdemental and right) > Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105754630/high-heeled-tittty-twister,3.0,-1,Sport,5.10-,1,75,38.63066,-105.21961
"Satyr's Asshole","Turkey Rock > Turkey Rocks > South Platte > Colorado",https://www.mountainproject.com/route/105754924/satyrs-asshole,2.9,-1,Trad,5.10-,3,,39.11917,-105.23983
Ugoogoly,"The Graveyard > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/114012513/ugoogoly,2.8,-1,Sport,5.10-,1,85,39.74438,-105.40288
"Teenage Wristband","The Dark Side > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105762054/teenage-wristband,2.8,-1,Sport,5.10-,1,80,38.6281,-105.2239
"Panama Red","The Canal Zone > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/106210200/panama-red,2.7,-1,Sport,5.10-,1,50,39.75032,-105.24779
"5.10 Crack aka ""Thin Fingers""","Lookout Mountain Crag > Lookout Mountain Road > Golden > Colorado",https://www.mountainproject.com/route/105759501/510-crack-aka-thin-fingers,2.6,-1,"Trad, TR, Aid","5.10- C1",1,40,39.74899,-105.24258
"Six More Bottles of Bosco","E. Cactus Cliff Far Right (Funkdemental and right) > Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/105802979/six-more-bottles-of-bosco,2.6,-1,Sport,5.10-,1,80,38.63066,-105.21961
Beasto,"The Canal Zone > Clear Creek Canyon > Golden > Colorado",https://www.mountainproject.com/route/106243288/beasto,2.5,-1,Sport,5.10-,1,70,39.75032,-105.24779
"Brown Cloud Arête","Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado",https://www.mountainproject.com/route/105748247/brown-cloud-arete,2.4,-1,"Sport, TR",5.10-,1,50,39.76831,-105.21562
"Cheeseburger In Paradise","D. Cactus Cliff Right (left of Funkdemental) > Cactus Cliff > Shelf Road > Canon City > Colorado",https://www.mountainproject.com/route/106141750/cheeseburger-in-paradise,2.4,-1,Sport,5.10-,1,,38.63093,-105.22073
"Aces High","Mount Royal (near Frisco) > 10 Mile Canyon > Colorado",https://www.mountainproject.com/route/107281739/aces-high,3.1,-1,Sport,5.10-,1,200,39.5723,-106.111
Spike,"MBA Buttress > North Table Mountain/Golden Cliffs > Golden > Colorado",https://www.mountainproject.com/route/105751045/spike,2.4,-1,Sport,5.10-,1,,39.76824,-105.21785
"Cheers aka Thrill of the Chaise","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751477/cheers-aka-thrill-of-the-chaise,2.3,-1,"Trad, TR",5.10-,1,,40.0033,-105.3939
Diffraction,"Wind Tower - S Face > The Wind Tower > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105752350/diffraction,2.3,-1,Trad,5.10-,1,,39.9314,-105.283
"Corner Route","Officer's Gulch West > 10 Mile Canyon > Colorado",https://www.mountainproject.com/route/110685164/corner-route,2.7,-1,Sport,5.10-,1,80,39.52984,-106.14082
"Too Much Crack","Leftovers > Turkey Rocks > South Platte > Colorado",https://www.mountainproject.com/route/105753157/too-much-crack,3.4,-1,Trad,5.10-,2,,39.11908,-105.23968
"Turkey Time","Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado",https://www.mountainproject.com/route/111951106/turkey-time,2.5,-1,Sport,5.10-,1,80,39.51669,-105.39578
