Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Rambo,"Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/118177603/rambo,3.5,-1,"TR, Boulder","5.12a V4",1,20,39.76909,-75.55829
"Arena Arete","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/117907644/arena-arete,3.0,-1,TR,5.9,1,20,39.76909,-75.55829
"Grey Streak (or Temptation?)","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/116634608/grey-streak-or-temptation,2.8,-1,"TR, Boulder","5.11a/b V2",1,20,39.76909,-75.55829
Shrapnel,"Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/119984898/shrapnel,3.5,-1,TR,5.10a,1,40,39.76909,-75.55829
Dichotomy,"Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/106923793/dichotomy,2.5,-1,TR,5.8,1,35,39.76909,-75.55829
"Old School","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/107480342/old-school,2.4,-1,TR,5.7,1,35,39.76909,-75.55829
"The South Face Indirect","Ebright Azimuth > Delaware",https://www.mountainproject.com/route/118880868/the-south-face-indirect,2.5,-1,"Trad, Mixed","5.2 M1 PG13",2,447,39.83607,-75.51909
"Dichotomy Corner","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/108155048/dichotomy-corner,2.0,-1,TR,5.6,1,,39.76909,-75.55829
"Hungry for Me","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/107431192/hungry-for-me,1.9,-1,TR,5.5,1,50,39.76909,-75.55829
"Stabby Slabby","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/118167169/stabby-slabby,2.0,-1,TR,5.7+,1,40,39.76909,-75.55829
Spanky,"Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/117079779/spanky,2.0,-1,TR,5.9+,1,40,39.76909,-75.55829
"Meri Dur Kur","Main Roped Climbing Wall > Alapocas Run State Park > Delaware",https://www.mountainproject.com/route/118651264/meri-dur-kur,2.5,-1,TR,5.7,1,40,39.76909,-75.55829
