Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Conceptual Reality","Gallstone, The > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105847435/conceptual-reality,2.9,-1,Trad,5.9-,1,85,42.06573,-113.70852
"Snakes and Ladders","King on the Throne - East > King on the Throne > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105828990/snakes-and-ladders,2.7,-1,Trad,5.9-,1,50,42.08474,-113.72644
"Contra Friction","Drilling Fields - Lost World > Drilling Fields > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106439258/contra-friction,2.3,-1,Sport,5.9-,1,65,42.0823,-113.7177
26,"Main Wall > Sunny Side > Ross Park > East Idaho > Idaho",https://www.mountainproject.com/route/108189273/26,3.5,-1,TR,5.9-,1,,42.83862,-112.41851
"Great wide open","The Old Sawmill Slabs > Central Idaho > Idaho",https://www.mountainproject.com/route/112843470/great-wide-open,3.8,-1,Trad,"5.9- PG13",3,300,44.26307,-114.44015
Wallflower,"Outlaw Wall > Q'Emiln Park > North Idaho > Idaho",https://www.mountainproject.com/route/117969089/wallflower,2.8,-1,Sport,5.9-,1,90,47.70104,-116.96286
"Ray of Heaven","Tiny Town > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106000143/ray-of-heaven,2.2,-1,Sport,5.9-,1,36,42.127,-113.6701
Bestiality,"Decadent Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107274087/bestiality,2.3,-1,Trad,"5.9- R",1,140,42.08612,-113.72944
Dude,"Hidden Cliff > Dierkes Lake > Twin Falls and the Snake River Canyon > South Idaho > Idaho",https://www.mountainproject.com/route/105850200/dude,2.0,-1,Sport,5.9-,1,40,42.59729,-114.38546
"Dynamite in the Night","Sunbeam Spire > Central Idaho > Idaho",https://www.mountainproject.com/route/121733611/dynamite-in-the-night,3.0,-1,"Trad, TR",5.9-,1,40,44.27053,-114.73595
Stickup,"Rattlesnake Station > West Idaho > Idaho",https://www.mountainproject.com/route/109146921/stickup,3.0,-1,"Trad, TR",5.9-,1,25,43.2027,-115.5552
"No Hips, Hands, or Butts","Red Light District > Massacre Rocks > East Idaho > Idaho",https://www.mountainproject.com/route/106419475/no-hips-hands-or-butts,2.2,-1,"Sport, TR",5.9-,1,,42.68103,-113.0098
50,"Shady Side > Ross Park > East Idaho > Idaho",https://www.mountainproject.com/route/108190625/50,3.0,-1,TR,5.9-,1,,42.8449,-112.419
"Chicken Slinger","Poultry Pillar - West > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108312280/chicken-slinger,2.4,-1,Trad,5.9-,1,90,42.1257,-113.67175
31,"Main Wall > Sunny Side > Ross Park > East Idaho > Idaho",https://www.mountainproject.com/route/108189290/31,2.5,-1,TR,5.9-,1,,42.83862,-112.41851
Footprint,"Outback Wall > Q'Emiln Park > North Idaho > Idaho",https://www.mountainproject.com/route/109387302/footprint,1.9,-1,"Sport, TR",5.9-,1,40,47.70493,-116.96347
Compliant,"Tiny Town > Castle Rocks > Castle Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/122093618/compliant,2.0,-1,Sport,5.9-,1,30,42.127,-113.6701
7,"Main Wall > Sunny Side > Ross Park > East Idaho > Idaho",https://www.mountainproject.com/route/118892424/7,2.0,-1,"Sport, TR",5.9-,1,30,42.83862,-112.41851
"Unknown Chimney","Finger Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/113457497/unknown-chimney,2.0,-1,Trad,"5.9- R",1,80,42.10229,-113.74263
Befuddling,"Bath Rock - East > Bath Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/124502074/befuddling,2.8,-1,Trad,5.9-,2,180,42.07583,-113.72191
