Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Call Me Big Poplars","Indiana University > Indiana",https://www.mountainproject.com/route/119729503/call-me-big-poplars,3.7,-1,TR,"5.6 PG13",1,35,39.1683,-86.51758
"Choss City","Unlikely Wall > Indiana",https://www.mountainproject.com/route/110101863/choss-city,3.0,-1,Sport,5.9-,1,40,39.02696,-86.5346
"Stinky Salamander","Unlikely Wall > Indiana",https://www.mountainproject.com/route/120436838/stinky-salamander,3.0,-1,Trad,5.9,1,30,39.02696,-86.5346
"Please eat dirt!","Unlikely Wall > Indiana",https://www.mountainproject.com/route/123456976/please-eat-dirt,3.0,-1,"Sport, TR",5.11-,1,30,39.02696,-86.5346
"Needles Nermal","Garfield Park Railroad bridge > Indiana",https://www.mountainproject.com/route/122771767/needles-nermal,3.0,-1,TR,5.9+,1,25,39.73493,-86.15034
Tennyson,"Unlikely Wall > Indiana",https://www.mountainproject.com/route/123366030/tennyson,3.5,-1,"Sport, TR",5.9+,1,28,39.02696,-86.5346
Deception,"Unlikely Wall > Indiana",https://www.mountainproject.com/route/120570057/deception,2.5,-1,"Trad, TR",5.4,1,30,39.02696,-86.5346
Dragon,"Unlikely Wall > Indiana",https://www.mountainproject.com/route/122372935/dragon,2.3,-1,Trad,5.6,1,25,39.02696,-86.5346
"Mr. Green Jeans","Unlikely Wall > Indiana",https://www.mountainproject.com/route/110060351/mr-green-jeans,2.0,-1,"Sport, TR",5.10a,1,40,39.02696,-86.5346
"Wisdom Lingers","Unlikely Wall > Indiana",https://www.mountainproject.com/route/113653330/wisdom-lingers,2.0,-1,"Sport, TR",5.11+,1,30,39.02696,-86.5346
"Should be Studying","McCutchen parking garage > Purdue University Buildering > Indiana",https://www.mountainproject.com/route/123544806/should-be-studying,3.0,-1,"TR, Alpine",5.7,1,45,40.42673,-86.92873
"Back on the Crack","Unlikely Wall > Indiana",https://www.mountainproject.com/route/124203968/back-on-the-crack,2.0,-1,Sport,5.7,1,30,39.02696,-86.5346
Ledgerdemain,"Unlikely Wall > Indiana",https://www.mountainproject.com/route/125081559/ledgerdemain,2.0,-1,Sport,5.8,1,35,39.02696,-86.5346
"Holey Rollers","Unlikely Wall > Indiana",https://www.mountainproject.com/route/125081804/holey-rollers,2.0,-1,Sport,5.8,1,36,39.02696,-86.5346
"Crack is Wack","Unlikely Wall > Indiana",https://www.mountainproject.com/route/124203857/crack-is-wack,3.0,-1,Sport,5.9+,1,30,39.02696,-86.5346
"It Takes Nuts","Unlikely Wall > Indiana",https://www.mountainproject.com/route/124895342/it-takes-nuts,3.0,-1,Trad,"5.9+ R",1,30,39.02696,-86.5346
"Higher Power","Unlikely Wall > Indiana",https://www.mountainproject.com/route/124206223/higher-power,2.2,-1,Sport,"5.10- R",1,30,39.02696,-86.5346
