Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Tarzan,"Shiprock > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087950/tarzan,2.7,-1,Sport,5.7,1,50,42.21218,-91.10261
Flash,"Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087618/flash,3.6,-1,Sport,5.11b,1,50,42.21069,-91.10186
"Over The Counter","Shiprock > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087965/over-the-counter,2.9,-1,Sport,"5.9 PG13",1,75,42.21218,-91.10261
"Three Strikes No Balls","Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087912/three-strikes-no-balls,3.3,-1,"Sport, TR",5.10a,1,40,42.21069,-91.10186
"Hope for a Boner","A Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087242/hope-for-a-boner,2.7,-1,Sport,5.10a/b,1,40,42.21089,-91.10204
Schoolio,"Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087935/schoolio,2.6,-1,Sport,5.9,1,40,42.21069,-91.10186
Jugular,"Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087230/jugular,2.4,-1,Sport,5.8,1,40,42.2102,-91.10196
"Tazmanian Devil","Comic Gallery > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087601/tazmanian-devil,2.8,-1,Sport,5.10d,1,30,42.21069,-91.10186
"Virgin Lemonade","Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087040/virgin-lemonade,2.8,-1,Sport,5.10a,1,30,42.20952,-91.10185
"Silk Road","Shiprock > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087960/silk-road,2.8,-1,Sport,5.10b,1,70,42.21218,-91.10261
"Bird in Hand","Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087180/bird-in-hand,3.3,-1,Sport,5.11b,1,30,42.20952,-91.10185
"Mild Iowa","Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087226/mild-iowa,2.2,-1,Sport,5.8,1,40,42.2102,-91.10196
"Whipper Snapper","Mild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087222/whipper-snapper,2.1,-1,Sport,5.8+,1,40,42.2102,-91.10196
"Liberal Tendencies","Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa",https://www.mountainproject.com/route/106271155/liberal-tendencies,3.6,-1,Sport,5.11a,1,30,42.1989,-90.8615
"Gravity Amp","Hoot Bluff > Sport/Trad > Ozark Wildlife Area > Iowa",https://www.mountainproject.com/route/106271167/gravity-amp,3.7,-1,Sport,5.12a,1,30,42.1989,-90.8615
"Border Town Donkey Show","Windy Point > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106088400/border-town-donkey-show,3.5,-1,Sport,5.11a,1,,42.21813,-91.09831
"Super Fly","A Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087593/super-fly,3.4,-1,Sport,5.11b,1,70,42.21089,-91.10204
"Territorial Pissings","Wild Iowa Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087191/territorial-pissings,3.2,-1,Sport,5.12a,1,30,42.20952,-91.10185
"Ghost Dancer","A Wall > Sport/TR/Trad > Pictured Rocks > Iowa",https://www.mountainproject.com/route/106087589/ghost-dancer,2.9,-1,Sport,5.11a,1,70,42.21089,-91.10204
