Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"LA Face","Fall River > Kansas",https://www.mountainproject.com/route/120658796/la-face,4.0,-1,"Trad, TR",5.8+,1,25,37.6064,-96.00958
"The Cave","Fall River > Kansas",https://www.mountainproject.com/route/113405591/the-cave,3.7,-1,TR,"5.7 PG13",1,70,37.6064,-96.00958
"Mama Jama's Peach Jam","The Corridor > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/118754189/mama-jamas-peach-jam,2.8,-1,"Sport, TR",5.10a,1,25,37.27952,-95.77876
"Jam Sesh","The Corridor > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120556213/jam-sesh,2.3,-1,Sport,5.7,1,28,37.27952,-95.77876
"Old Cedar","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120556511/old-cedar,2.5,-1,Sport,5.12,1,,37.2772,-95.77874
"The Dihedral","Fall River > Kansas",https://www.mountainproject.com/route/120658832/the-dihedral,3.0,-1,"Trad, TR",5.6,1,20,37.6064,-96.00958
"The S Crack","Fall River > Kansas",https://www.mountainproject.com/route/120658841/the-s-crack,3.0,-1,"Trad, TR",5.6,1,10,37.6064,-96.00958
"La Chica Buena","Sheer Insanity > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/118802729/la-chica-buena,3.0,-1,"Trad, TR","5.10c/d PG13",1,30,37.27962,-95.77878
"Unknown 4 Bolt Sport Route","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/110418469/unknown-4-bolt-sport-route,2.1,-1,"Sport, TR",5.8,1,25,37.2772,-95.77874
"Secret Entrance to The Lollipop Guild","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120091704/secret-entrance-to-the-lollipop-guild,2.0,-1,"Trad, TR",5.5,1,25,37.2772,-95.77874
"Elk City Sidepull","Kansas Corner Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/110418484/elk-city-sidepull,2.0,-1,"Trad, TR",5.7,1,25,37.27646,-95.7783
"Toilet Paper Shortage","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120093074/toilet-paper-shortage,2.0,-1,"Trad, TR","5.7 R",1,25,37.2772,-95.77874
"Cinderella's Crack","Fall River > Kansas",https://www.mountainproject.com/route/120658855/cinderellas-crack,2.0,-1,"Trad, TR",5.8+,1,20,37.6064,-96.00958
"The View From Space","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120333658/the-view-from-space,2.0,-1,"Sport, TR",5.10+,1,25,37.2772,-95.77874
"Unknown 4 Bolt Tree Route","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120333378/unknown-4-bolt-tree-route,2.0,-1,Sport,5.8,1,25,37.2772,-95.77874
"Perseverance Landing Crater","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120333459/perseverance-landing-crater,2.0,-1,TR,5.7,1,25,37.2772,-95.77874
"Unknown Twin Sport Route Right","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120333731/unknown-twin-sport-route-right,2.0,-1,Sport,5.10,1,25,37.2772,-95.77874
"Unknown Twin Sport Route Left","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120333709/unknown-twin-sport-route-left,2.0,-1,Sport,5.10,1,25,37.2772,-95.77874
"Graboid Scar","Memorial Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120333556/graboid-scar,2.0,-1,TR,5.7,1,25,37.2772,-95.77874
"Lightning Bolt Flakes","Kansas Corner Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/110418298/lightning-bolt-flakes,2.0,-1,"Trad, TR","5.8+ PG13",1,25,37.27646,-95.7783
"Meadowlark Perch","Kansas Corner Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/110418331/meadowlark-perch,2.0,-1,"Trad, TR",5.8,1,25,37.27646,-95.7783
"King Corn","The Farm Wall > Memorial Overlook > Elk City Area > Kansas",https://www.mountainproject.com/route/120556612/king-corn,2.0,-1,Sport,5.9,1,25,37.27937,-95.77887
