Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Glory and Consequence","The Great Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106580249/glory-and-consequence,2.3,-1,Sport,5.7+,1,50,37.73288,-83.63751
"St. Alfonso's","Phantasia > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105963178/st-alfonsos,2.6,-1,Trad,5.7+,1,85,37.84495,-83.64369
A-Beano,"Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106085035/a-beano,1.8,-1,Sport,5.7+,1,30,37.72444,-83.62657
"Good Tang","Lower Small Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/106730200/good-tang,3.6,-1,Trad,5.7+,2,175,37.8214,-83.59228
"Decay's Way","Military Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105870193/decays-way,2.5,-1,Trad,"5.7+ R",1,60,37.8159,-83.66918
"Two Step","Long Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105868036/two-step,2.3,-1,Trad,5.7+,1,100,37.8446,-83.6686
"Peach Fuzz","Ladder Horn Wall > Cathedral Domain > Red River Gorge > Kentucky",https://www.mountainproject.com/route/118042992/peach-fuzz,2.4,-1,Sport,5.7+,1,45,37.65598,-83.79357
"Ol' Yeller","Pistol Ridge > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/112388613/ol-yeller,2.4,-1,Trad,5.7+,1,45,37.86342,-83.67403
"Pink Panties Pulldown","Wall of Denial > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/105880989/pink-panties-pulldown,2.0,-1,Trad,5.7+,1,40,37.82158,-83.56031
"Cussin crack","Fortress Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/120234153/cussin-crack,2.3,-1,Trad,5.7+,1,65,37.83768,-83.64701
"Route Less Traveled","Long Wall > Northern Gorge > Red River Gorge > Kentucky",https://www.mountainproject.com/route/116080236/route-less-traveled,2.1,-1,Trad,"5.7+ R",1,70,37.8446,-83.6686
"Pineapple Jam","North 40 > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/124759348/pineapple-jam,2.0,-1,Trad,5.7+,1,50,37.6523,-83.7082
"Liquor Hole","B-Hole Wall > Hole in the Wall > Bald Rock Recreational Preserve (BRRP) > Red River Gorge > Kentucky",https://www.mountainproject.com/route/125190846/liquor-hole,4.0,-1,Trad,5.7+,1,60,37.64212,-83.70876
