Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Armadillo","01. Chimney Pond (""South"") Basin - Summer Rock Routes > Katahdin > j. The Maine Highlands (inc. BSP / Katahdin ) > Maine",https://www.mountainproject.com/route/106020335/the-armadillo,3.8,-1,Trad,5.7,1,,45.91441,-68.91153
"Ginseng Route","-Shagg Crag > Maine",https://www.mountainproject.com/route/106075920/ginseng-route,3.9,-1,Sport,5.12b,1,,44.43275,-70.52741
"Old Town","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/105998178/old-town,3.7,-1,Trad,5.7+,1,70,44.34691,-68.19013
Meltdown,"-Shagg Crag > Maine",https://www.mountainproject.com/route/106075960/meltdown,3.9,-1,Sport,5.12c,1,,44.43275,-70.52741
"A Dare by the Sea","Otter Cliffs > -Acadia National Park > Maine",https://www.mountainproject.com/route/106112441/a-dare-by-the-sea,3.6,-1,"Trad, TR","5.10b/c PG13",1,60,44.31194,-68.18919
"The Great Escape","-Shagg Crag > Maine",https://www.mountainproject.com/route/106076035/the-great-escape,3.6,-1,Sport,5.10b/c,1,,44.43275,-70.52741
"Story of O","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/105975325/story-of-o,3.5,-1,Trad,5.6,3,250,44.34691,-68.19013
Guillotine,"Otter Cliffs > -Acadia National Park > Maine",https://www.mountainproject.com/route/106867373/guillotine,3.5,-1,"Trad, TR",5.10a/b,1,40,44.31194,-68.18919
"Return to Forever  - (mid-cliff START)","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/105998473/return-to-forever-mid-cliff-start,3.4,-1,Trad,5.9,1,95,44.34691,-68.19013
"Shagg It","-Shagg Crag > Maine",https://www.mountainproject.com/route/106301998/shagg-it,3.9,-1,Sport,5.12d,1,90,44.43275,-70.52741
"Shaggin Wagon","-Shagg Crag > Maine",https://www.mountainproject.com/route/106075929/shaggin-wagon,3.4,-1,Sport,5.12a/b,1,,44.43275,-70.52741
"Bartleby -(Central Slab)","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/106489240/bartleby-central-slab,3.4,-1,Trad,5.8,1,60,44.34691,-68.19013
"Chitlin's Corner","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/106034988/chitlins-corner,3.3,-1,Trad,5.10a,1,170,44.34691,-68.19013
"Connecticut Cracks","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/105998188/connecticut-cracks,3.2,-1,Trad,5.11a,1,70,44.34691,-68.19013
"Wafer Step -(Central Slab)","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/105975313/wafer-step-central-slab,3.2,-1,Trad,5.5,1,80,44.34691,-68.19013
"Recollections of Pacifica -(Central Slab)","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/106035181/recollections-of-pacifica-central-slab,3.2,-1,Trad,5.9,1,50,44.34691,-68.19013
"Chicken of the Sea","The Precipice aka The South Wall > -Acadia National Park > Maine",https://www.mountainproject.com/route/106813156/chicken-of-the-sea,3.1,-1,Trad,5.9,1,60,44.34691,-68.19013
"Rock Lobster","Otter Cliffs > -Acadia National Park > Maine",https://www.mountainproject.com/route/106112856/rock-lobster,3.1,-1,TR,5.9,1,60,44.31194,-68.18919
"The Great Chimney","Otter Cliffs > -Acadia National Park > Maine",https://www.mountainproject.com/route/106781388/the-great-chimney,3.0,-1,TR,5.5,1,60,44.31194,-68.18919
