Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Black Crack","The South End > Annapolis Rock > Maryland",https://www.mountainproject.com/route/106777915/black-crack,3.5,-1,"Trad, TR",5.9+,1,80,39.55738,-77.59861
"Strawberry Jam","Pinnacle > Rocks State Park > Maryland",https://www.mountainproject.com/route/106061175/strawberry-jam,3.2,-1,Trad,5.8+,1,60,39.6358,-76.412
"Seven Wishes","Middle Earth > Sugarloaf Mountain > Maryland",https://www.mountainproject.com/route/106389716/seven-wishes,2.7,-1,"Trad, TR",5.6,1,50,39.26161,-77.3946
Vertical,"Breakaway Wall > Rocks State Park > Maryland",https://www.mountainproject.com/route/106223383/vertical,3.0,-1,"Trad, TR",5.6,1,70,39.6355,-76.41241
"Sterling's Crack","Jungle Cliffs > Carderock > Maryland",https://www.mountainproject.com/route/106768193/sterlings-crack,2.9,-1,TR,5.7,1,45,38.97557,-77.20599
"A Flake Called Lee","Middle Earth > Sugarloaf Mountain > Maryland",https://www.mountainproject.com/route/107180077/a-flake-called-lee,2.5,-1,"Trad, TR",5.5,1,60,39.26161,-77.3946
"Easy Layback","Hades Heights > Carderock > Maryland",https://www.mountainproject.com/route/107752946/easy-layback,2.4,-1,"Trad, TR",5.5,1,35,38.97563,-77.20694
"Jan's Face","Jungle Cliffs > Carderock > Maryland",https://www.mountainproject.com/route/106462477/jans-face,2.5,-1,TR,5.7,1,40,38.97557,-77.20599
"Beginner's Crack","Jungle Cliffs > Carderock > Maryland",https://www.mountainproject.com/route/108141423/beginners-crack,2.6,-1,"Trad, TR",5.3,1,45,38.97557,-77.20599
"Hard Up Direct","Sign Wall > Maryland Heights, MD > Harper's Ferry > Maryland",https://www.mountainproject.com/route/107720049/hard-up-direct,3.0,-1,Trad,5.8,3,170,39.3247,-77.7258
"Trudie's Terror","Hades Heights > Carderock > Maryland",https://www.mountainproject.com/route/107752915/trudies-terror,2.8,-1,"Trad, TR",5.6,1,40,38.97563,-77.20694
"Breakaway left","Breakaway Wall > Rocks State Park > Maryland",https://www.mountainproject.com/route/106331929/breakaway-left,3.0,-1,Trad,5.9,1,80,39.6355,-76.41241
"Herbie's Horror","Jungle Cliffs > Carderock > Maryland",https://www.mountainproject.com/route/106691071/herbies-horror,2.9,-1,TR,5.9,1,25,38.97557,-77.20599
"Breakaway Right","Breakaway Wall > Rocks State Park > Maryland",https://www.mountainproject.com/route/106331935/breakaway-right,3.1,-1,Trad,5.9,1,80,39.6355,-76.41241
