Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Doug's Roof","Top Rope > Grand Ledge (aka Oak Park) > Lower Peninsula > Michigan",https://www.mountainproject.com/route/106431685/dougs-roof,3.6,-1,TR,5.10,1,44,42.75784,-84.75339
"11.  Between A Block And A Hard Place","Main Wall > Silver Mountain > Upper Peninsula > Michigan",https://www.mountainproject.com/route/112313722/11-between-a-block-and-a-hard-place,3.7,-1,Sport,5.10b,1,90,46.66633,-88.74034
"Potato Chips","Top Rope > Grand Ledge (aka Oak Park) > Lower Peninsula > Michigan",https://www.mountainproject.com/route/106880626/potato-chips,2.8,-1,TR,5.7,1,30,42.75784,-84.75339
"27.  Beyond Hell, Above Heaven","Main Wall > Silver Mountain > Upper Peninsula > Michigan",https://www.mountainproject.com/route/114798357/27-beyond-hell-above-heaven,3.8,-1,Sport,5.10b,2,140,46.66633,-88.74034
"Rocket Man","Top Rope > Grand Ledge (aka Oak Park) > Lower Peninsula > Michigan",https://www.mountainproject.com/route/106398717/rocket-man,3.2,-1,TR,5.10,1,30,42.75784,-84.75339
"32a.  Queen Bee","Main Wall > Silver Mountain > Upper Peninsula > Michigan",https://www.mountainproject.com/route/114798551/32a-queen-bee,3.6,-1,Sport,5.10b,1,80,46.66633,-88.74034
"The Pinacle","The Pinnacle area > Presque Isle > Marquette (and Central UP) Roped > Upper Peninsula > Michigan",https://www.mountainproject.com/route/106427587/the-pinacle,3.4,-1,"Trad, TR",5.10b/c,1,,46.58611,-87.37897
"12.  Dripping With Cooties","Main Wall > Silver Mountain > Upper Peninsula > Michigan",https://www.mountainproject.com/route/114798053/12-dripping-with-cooties,3.9,-1,Sport,5.12a,1,90,46.66633,-88.74034
"Black Buttress","Top Rope > Grand Ledge (aka Oak Park) > Lower Peninsula > Michigan",https://www.mountainproject.com/route/107204964/black-buttress,2.8,-1,TR,5.9+,1,30,42.75784,-84.75339
"5. Scrotum","Suicide > Marquette (and Central UP) Roped > Upper Peninsula > Michigan",https://www.mountainproject.com/route/106728451/5-scrotum,3.5,-1,Sport,5.10d,1,40,46.4895,-87.632
