Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Jean's Overhang","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/115326988/jeans-overhang,3.3,-1,Trad,5.11d,1,60,34.60556,-88.17891
"Mental Block","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/115336692/mental-block,2.0,-1,"Trad, TR","5.8 PG13",1,30,34.60556,-88.17891
"Daniela's Overhang","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/116378605/danielas-overhang,2.0,-1,TR,5.10a,1,30,34.60556,-88.17891
"Dana's Overhang","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/116378688/danas-overhang,2.0,-1,Trad,5.9,1,40,34.60556,-88.17891
"Yankee's Revenge","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/116379125/yankees-revenge,2.0,-1,TR,5.12,1,30,34.60556,-88.17891
"Cynthia's Overhang","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/116378797/cynthias-overhang,2.0,-1,TR,5.11+,1,35,34.60556,-88.17891
"Afro Freedom","Corn Flakes Area > Tishomingo > Mississippi",https://www.mountainproject.com/route/116379223/afro-freedom,2.0,-1,TR,5.11+,1,30,34.60494,-88.17547
"Barbara's Overhang","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/116378780/barbaras-overhang,2.0,-1,TR,5.9+,1,30,34.60556,-88.17891
"Central Pillar of Tishomingo","Cabin Bluffs > Tishomingo > Mississippi",https://www.mountainproject.com/route/116161607/central-pillar-of-tishomingo,2.0,-1,TR,5.10a,1,15,34.60498,-88.17725
"Skydiver Right","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/115327195/skydiver-right,2.0,-1,TR,5.9,1,20,34.60556,-88.17891
"Muscle City Direct","Corn Flakes Area > Tishomingo > Mississippi",https://www.mountainproject.com/route/115336921/muscle-city-direct,2.0,-1,TR,5.7,1,40,34.60494,-88.17547
"More Beans And Cornbread","Cabin Bluffs > Tishomingo > Mississippi",https://www.mountainproject.com/route/116161571/more-beans-and-cornbread,2.0,-1,TR,5.10a,1,15,34.60498,-88.17725
"Bud Wiser","Corn Flakes Area > Tishomingo > Mississippi",https://www.mountainproject.com/route/115336827/bud-wiser,2.0,-1,TR,5.7,1,35,34.60494,-88.17547
"Hang Over Right","Corn Flakes Area > Tishomingo > Mississippi",https://www.mountainproject.com/route/115336881/hang-over-right,2.0,-1,TR,5.7,1,40,34.60494,-88.17547
"Sky Diver's Delight Center Variation","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/111181926/sky-divers-delight-center-variation,2.5,-1,TR,5.7,1,30,34.60556,-88.17891
"Antebellum Overlook","Cabin Bluffs > Tishomingo > Mississippi",https://www.mountainproject.com/route/116161836/antebellum-overlook,2.0,-1,TR,5.8,1,12,34.60498,-88.17725
"Mad Dog","Corn Flakes Area > Tishomingo > Mississippi",https://www.mountainproject.com/route/116379011/mad-dog,2.0,-1,TR,5.5,1,25,34.60494,-88.17547
"Overhung Corner","Cabin Bluffs > Tishomingo > Mississippi",https://www.mountainproject.com/route/116161583/overhung-corner,2.0,-1,TR,5.9,1,15,34.60498,-88.17725
"La Tourista","Cabin Bluffs > Tishomingo > Mississippi",https://www.mountainproject.com/route/116161817/la-tourista,2.0,-1,TR,5.9,1,12,34.60498,-88.17725
Discontinuous,"Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/111181994/discontinuous,2.0,-1,TR,5.5,1,20,34.60556,-88.17891
"Stumbling Blocks","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/111181788/stumbling-blocks,2.0,-1,TR,5.1,1,30,34.60556,-88.17891
"Ankles Away","Jean's Overhang > Tishomingo > Mississippi",https://www.mountainproject.com/route/124084693/ankles-away,3.0,-1,"Trad, TR",5.8,1,30,34.60556,-88.17891
