Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Sparerib,"Sparerib Area > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105961561/sparerib,3.8,-1,Trad,5.8,2,225,45.4196,-111.2293
"The Mutt and Jeff","The Wedge > Humbug Spires > Southwest Region > Montana",https://www.mountainproject.com/route/107321383/the-mutt-and-jeff,3.7,-1,Trad,5.8,5,600,45.7773,-112.63682
"The Waltz","The Waltz Formation > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107653331/the-waltz,3.0,-1,Trad,5.8,4,300,45.41747,-111.23097
"The Dagger","Gallatin Tower > West Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106520721/the-dagger,2.9,-1,Trad,5.8,1,40,45.4169,-111.2342
"The Fiver","Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/106497956/the-fiver,2.6,-1,"Trad, TR",5.8,1,70,45.55519,-111.06181
"Watchtower Standard Route","The Watchtower - Lower > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/108100067/watchtower-standard-route,3.1,-1,Trad,5.8,3,250,45.41896,-111.23205
Batman,"Batman and Robin Slab > Lower Bear Canyon > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107643164/batman,2.0,-1,Sport,5.8,1,40,45.6049,-110.9148
"Skin Diver","Under The Sea Wall > Lower Bear Canyon > Bear Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107656940/skin-diver,2.2,-1,Sport,5.8,1,40,45.6051,-110.915
"Climbing Club Route","Main Crag > Allenspur > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/107142993/climbing-club-route,3.1,-1,Sport,5.8,1,90,45.5961,-110.5598
"Righteous are the Brave","Ladyfingers Buttress > Mill Creek > Paradise Valley > Southwest Region > Montana",https://www.mountainproject.com/route/107758460/righteous-are-the-brave,3.0,-1,Trad,5.8,1,50,45.26925,-110.4911
"New World Route","Beehive Peak > Beehive Basin > Big Sky Area > Southwest Region > Montana",https://www.mountainproject.com/route/111045917/new-world-route,3.8,-1,"Trad, Alpine",5.8,3,500,45.35399,-111.40566
"Crystal Delight","Fish Face > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/108295353/crystal-delight,2.8,-1,Trad,5.8,1,100,45.41772,-111.22982
"Jerry's Variation","Practice Rock > Hyalite Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/107758206/jerrys-variation,2.4,-1,"Trad, TR",5.8,1,45,45.55519,-111.06181
"Southwest Face","The Wedge > Humbug Spires > Southwest Region > Montana",https://www.mountainproject.com/route/108184861/southwest-face,3.1,-1,Trad,5.8,5,450,45.7773,-112.63682
"Snake Eye","Sidewinder Buttress > Rattler Gulch > Northwest Region > Montana",https://www.mountainproject.com/route/107111297/snake-eye,2.8,-1,Sport,5.8,1,60,46.72768,-113.23226
"White Line","King (West Face) > Spire Rock > Southwest Region > Montana",https://www.mountainproject.com/route/109284796/white-line,3.2,-1,Trad,5.8,2,200,45.9531,-112.29037
"Where's Jack?","The Little Matterhorn > Glacier National Park > Northwest Region > Montana",https://www.mountainproject.com/route/117298788/wheres-jack,4.0,-1,"Trad, Alpine","5.8 PG13",7,1080,48.63572,-113.78466
"Zig Zag","Sparerib Area > East Side > Gallatin Canyon > Southwest Region > Montana",https://www.mountainproject.com/route/105961577/zig-zag,2.7,-1,Trad,5.8,2,190,45.4196,-111.2293
"Don't Put Your Hand In It","Sidewinder Buttress > Rattler Gulch > Northwest Region > Montana",https://www.mountainproject.com/route/107111306/dont-put-your-hand-in-it,2.5,-1,Sport,5.8,1,60,46.72768,-113.23226
