Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Dike","Lower Slabs > *Pawtuckaway > New Hampshire",https://www.mountainproject.com/route/105948052/the-dike,2.3,-1,"Trad, TR",5.8-,1,55,43.07813,-71.17208
"The Ear ( submitted as “left variant”)","Elephant's Head > WM: Crawford Notch > New Hampshire",https://www.mountainproject.com/route/106003716/the-ear-submitted-as-left-variant,2.9,-1,Trad,5.8-,1,50,44.2136,-71.4065
"Straight, No Chaser","02. Brilliant Corners > Sandwich Notch > Lakes Region > New Hampshire",https://www.mountainproject.com/route/106590535/straight-no-chaser,2.9,-1,Trad,"5.8- PG13",1,80,43.82867,-71.49742
"Scrubbin’ Up","Round Mountain > Great North Woods Region > New Hampshire",https://www.mountainproject.com/route/123157854/scrubbin-up,3.0,-1,"Trad, TR",5.8-,1,80,44.5393,-71.31222
"Falling Bodies - Right (Mid-Cliff Start)","03. Main Slab > Mt. Willard > WM: Crawford Notch > New Hampshire",https://www.mountainproject.com/route/119449666/falling-bodies-right-mid-cliff-start,3.0,-1,"Trad, Alpine",5.8-,1,110,44.21063,-71.40458
"Land Ahoy","02. Gulley  No.1 Buttress > Mt. Willard > WM: Crawford Notch > New Hampshire",https://www.mountainproject.com/route/111136552/land-ahoy,3.0,-1,"Trad, Alpine","5.8- PG13",1,115,44.21229,-71.40458
"Unknown next to L'Anniversaire","3. The Mid Section > Rainbow Slabs > WM: Kancamagus (Eastern) > New Hampshire",https://www.mountainproject.com/route/109535192/unknown-next-to-lanniversaire,3.0,-1,Trad,"5.8- PG13",1,120,44.02081,-71.25632
"Variations to Bert's Climb","The Nose > Owl's Head Cliff (Oliverian Notch) > WM: Oliverian Notch > New Hampshire",https://www.mountainproject.com/route/106496785/variations-to-berts-climb,3.0,-1,Trad,5.8-,3,300,44.00402,-71.9098
"Merlin's Wand","Table Mountain > WM: Kancamagus (Central) > New Hampshire",https://www.mountainproject.com/route/108341823/merlins-wand,2.8,-1,Trad,"5.8- PG13",1,125,44.03033,-71.26391
Merlin,"Table Mountain > WM: Kancamagus (Central) > New Hampshire",https://www.mountainproject.com/route/108341848/merlin,2.7,-1,Trad,"5.8- R",2,250,44.03033,-71.26391
"Fast Snatch","1. Square Inch Wall > Echo Crag > WM: Franconia Notch > New Hampshire",https://www.mountainproject.com/route/107261595/fast-snatch,2.2,-1,Trad,5.8-,1,45,44.17812,-71.68974
"Bugs Eat Frogs","Table Mountain > WM: Kancamagus (Central) > New Hampshire",https://www.mountainproject.com/route/108341732/bugs-eat-frogs,2.4,-1,Trad,5.8-,2,250,44.03033,-71.26391
"Watching Me","05. The Dark Passenger > Dickey Ledge > Welch and Dickey Area > WM: Waterville Valley > New Hampshire",https://www.mountainproject.com/route/113581202/watching-me,2.6,-1,Trad,5.8-,1,80,43.91819,-71.58604
"Rookie Ridge (incomplete)","4. Main Slab > Webster Slabs > WM: Crawford Notch > New Hampshire",https://www.mountainproject.com/route/106487480/rookie-ridge-incomplete,2.5,-1,Trad,"5.8- PG13",4,1100,44.18922,-71.39391
"Sandy's Crack","Pinnacle Block > 01. Hall's Ledge > WM: Pinkham / Presidentials > New Hampshire",https://www.mountainproject.com/route/107908265/sandys-crack,2.3,-1,Trad,5.8-,1,30,44.20701,-71.23675
Pops-Sick-Hill,"2. Duet Area etc > *Cannon Cliff > New Hampshire",https://www.mountainproject.com/route/106469464/pops-sick-hill,2.0,-1,"Trad, Alpine","5.8- R",2,250,44.15668,-71.68665
W1,"The West End > Owl's Head Cliff (Oliverian Notch) > WM: Oliverian Notch > New Hampshire",https://www.mountainproject.com/route/106496517/w1,2.0,-1,Trad,"5.8- PG13",3,500,44.00507,-71.91167
W4,"The West End > Owl's Head Cliff (Oliverian Notch) > WM: Oliverian Notch > New Hampshire",https://www.mountainproject.com/route/106496549/w4,2.0,-1,Trad,"5.8- PG13",4,500,44.00507,-71.91167
