Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Stoned Temple Pilot","The Prudential > *Rumney > New Hampshire",https://www.mountainproject.com/route/105907577/stoned-temple-pilot,3.6,-1,Sport,5.12a,1,,43.80513,-71.84452
"Social Outcast","Bonsai > *Rumney > New Hampshire",https://www.mountainproject.com/route/105879133/social-outcast,3.5,-1,Sport,5.12a,1,,43.80288,-71.83926
"Peanut Man","The Main Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105874232/peanut-man,3.5,-1,Sport,5.12a,1,75,43.80249,-71.83593
Orangahang,"Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/105929673/orangahang,3.1,-1,Sport,5.12a,1,60,43.80293,-71.83513
"Romper Room","Main Cliff > Sundown Ledge > WM: Kancamagus (Eastern) > New Hampshire",https://www.mountainproject.com/route/106411003/romper-room,3.6,-1,Sport,5.12a,1,60,44.005,-71.2393
"Vallee Daze","New Wave > *Rumney > New Hampshire",https://www.mountainproject.com/route/106195388/vallee-daze,3.0,-1,Sport,5.12a,1,75,43.80285,-71.83444
"Weevil Knievil","New Wave > *Rumney > New Hampshire",https://www.mountainproject.com/route/106029102/weevil-knievil,2.7,-1,Sport,5.12a,1,60,43.80285,-71.83444
"Captain Hook","Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/106033475/captain-hook,2.6,-1,Sport,5.12a,1,50,43.80293,-71.83513
"Curl Up and Fly","Jimmy Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105878191/curl-up-and-fly,2.6,-1,Sport,5.12a,1,,43.80417,-71.84037
"Things As They Are Now","Jimmy Cliff > *Rumney > New Hampshire",https://www.mountainproject.com/route/105876648/things-as-they-are-now,2.4,-1,Sport,5.12a,1,,43.80417,-71.84037
"Get a Grip","Main Cliff Right > *Rumney > New Hampshire",https://www.mountainproject.com/route/109899773/get-a-grip,2.4,-1,Sport,5.12a,1,50,43.8027,-71.83554
"Pretzel Logic","Bonsai > *Rumney > New Hampshire",https://www.mountainproject.com/route/105942325/pretzel-logic,2.2,-1,Sport,5.12a,1,,43.80288,-71.83926
Luau,"Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105948163/luau,2.6,-1,Sport,5.12a,1,50,43.80386,-71.84091
"The Possessed","The North End > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/106182271/the-possessed,3.8,-1,Trad,5.12a,1,80,44.06728,-71.16671
"The Vaporizer","Orange Crush > *Rumney > New Hampshire",https://www.mountainproject.com/route/106732130/the-vaporizer,3.3,-1,Sport,5.12a,1,90,43.80293,-71.83513
"Cosmic Monsters","Monsters from the Id > *Rumney > New Hampshire",https://www.mountainproject.com/route/105966737/cosmic-monsters,2.1,-1,Sport,5.12a,1,,43.80226,-71.83997
"Buffalo Soldier","Buffalo Pit > *Rumney > New Hampshire",https://www.mountainproject.com/route/109198620/buffalo-soldier,2.8,-1,Sport,5.12a,1,,43.80386,-71.84992
"The Golden Ratio","Jeremy's Wall - Main Cliff upper right > Main Cliff Area > Merriam Woods aka Russell Crags > WM: Lincoln/Woodstock Area > New Hampshire",https://www.mountainproject.com/route/120763382/the-golden-ratio,3.7,-1,Sport,5.12a,1,90,43.99321,-71.65832
"The Promised Land","Main Cliff > Sundown Ledge > WM: Kancamagus (Eastern) > New Hampshire",https://www.mountainproject.com/route/106118529/the-promised-land,3.2,-1,Sport,5.12a,1,60,44.005,-71.2393
"Women in Love","The Prow Area > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/106112615/women-in-love,3.7,-1,Trad,5.12a,3,200,44.06298,-71.1656
"Silver Surfer","Waimea > *Rumney > New Hampshire",https://www.mountainproject.com/route/105988957/silver-surfer,3.3,-1,Sport,5.12a,1,,43.80386,-71.84091
"The Big Rip","Main Cliff > Sundown Ledge > WM: Kancamagus (Eastern) > New Hampshire",https://www.mountainproject.com/route/106366254/the-big-rip,2.9,-1,Trad,5.12a,1,,44.005,-71.2393
"Mission Accomplished","The Prudential > *Rumney > New Hampshire",https://www.mountainproject.com/route/110623301/mission-accomplished,2.1,-1,Sport,5.12a,1,40,43.80513,-71.84452
"October Surprise","The Stolen Buttress - Main Cliff Left > Main Cliff Area > Merriam Woods aka Russell Crags > WM: Lincoln/Woodstock Area > New Hampshire",https://www.mountainproject.com/route/120938810/october-surprise,3.8,-1,Sport,5.12a,1,65,43.99317,-71.65888
"The Alaskan Slab","The Alaskan Wall > The Left Cliff > Owl's Cliff > WM: Kancamagus (Central) > New Hampshire",https://www.mountainproject.com/route/107085207/the-alaskan-slab,4.0,-1,Sport,5.12a,1,80,44.0447,-71.3618
"The Swordfighter","High Camp Cliff > High Camp Crags > Mount Osceola > WM: Waterville Valley > New Hampshire",https://www.mountainproject.com/route/120632203/the-swordfighter,4.0,-1,"Sport, Alpine",5.12a,1,80,43.99928,-71.53613
Steamroller,"3. The Caterpillar Wall > Woodchuck Ledge > WM: Kancamagus (Eastern) > New Hampshire",https://www.mountainproject.com/route/107277598/steamroller,4.0,-1,Trad,5.12a,1,100,43.99828,-71.19971
"Free Finale/Mordor Roof link-up","The Mordor Wall > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/106230645/free-finalemordor-roof-link-up,4.0,-1,Trad,5.12a,5,500,44.0636,-71.16568
"The Balcony","The Balcony > Merriam Woods aka Russell Crags > WM: Lincoln/Woodstock Area > New Hampshire",https://www.mountainproject.com/route/120744667/the-balcony,3.7,-1,Sport,5.12a,1,80,43.99209,-71.65742
"Rayce Crack","Square Ledge (Mt Passaconaway) > WM: Kancamagus (Eastern) > New Hampshire",https://www.mountainproject.com/route/122404723/rayce-crack,4.0,-1,Trad,5.12a,1,100,43.95207,-71.36153
"Room with a View","Airation Buttress > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/106698950/room-with-a-view,3.5,-1,"Sport, TR",5.12a,1,80,44.06337,-71.16628
"Trusting the Rubber","The Main Wall > Greens Cliff > WM: Kancamagus (Central) > New Hampshire",https://www.mountainproject.com/route/115192580/trusting-the-rubber,3.5,-1,Sport,5.12a,1,90,44.0358,-71.3996
"No Hard Feelings","3- Yellowjacket Buttress > Cavern Cliff Area > Yellowjacket Crags > Yellowjacket Area > WM: Waterville Valley > New Hampshire",https://www.mountainproject.com/route/119554492/no-hard-feelings,3.5,-1,Sport,5.12a,1,55,43.90185,-71.55405
"Camber With A View","Airation Buttress > *Cathedral Ledge > New Hampshire",https://www.mountainproject.com/route/107826428/camber-with-a-view,3.5,-1,"Trad, Sport","5.12a PG13",1,100,44.06337,-71.16628
"The White Zone","7. The Slabs > *Whitehorse Ledge > New Hampshire",https://www.mountainproject.com/route/111020492/the-white-zone,3.4,-1,Trad,5.12a,1,50,44.055,-71.16605
"Blonde Ambition","Falcon Wall > Hounds Hump Ridge (Eaglet etc) > WM: Franconia Notch > New Hampshire",https://www.mountainproject.com/route/117265888/blonde-ambition,3.0,-1,Sport,5.12a,1,60,44.17133,-71.67658
"The Acme Traverse","Wild River Crag > WM: Evans Notch > New Hampshire",https://www.mountainproject.com/route/119430494/the-acme-traverse,3.5,-1,Sport,5.12a,-6,80,44.28703,-71.05746
"Hip Hop Be Bop Don't Stop","The Lumberjack Wall > Found Ledge > WM: Kancamagus (Eastern) > New Hampshire",https://www.mountainproject.com/route/107755970/hip-hop-be-bop-dont-stop,3.3,-1,Trad,5.12a,1,,43.99234,-71.23135
"Misled Youth","Rand Mountain > New Durham Area  (Longstack, Devil's Den, Rines Hill, etc.) > Lakes Region > New Hampshire",https://www.mountainproject.com/route/106712607/misled-youth,3.5,-1,Trad,5.12a,1,70,43.51464,-71.12134
"Microwave Mayo","04. Highlander Wall > Sandwich Notch > Lakes Region > New Hampshire",https://www.mountainproject.com/route/123235821/microwave-mayo,3.5,-1,Sport,5.12a,1,70,43.82914,-71.49906
Tikal,"The Ruin > Merriam Woods aka Russell Crags > WM: Lincoln/Woodstock Area > New Hampshire",https://www.mountainproject.com/route/122158088/tikal,3.0,-1,Sport,5.12a,1,60,43.99287,-71.65914
