Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Triumvirate,"i. Triumverate Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106411628/triumvirate,2.9,-1,Trad,5.4,2,200,40.96715,-75.11733
"The Rib","i. Triumverate Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106411652/the-rib,3.1,-1,Trad,5.3,2,200,40.96715,-75.11733
Corkscrew,"m. The Great Arch > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/108124429/corkscrew,3.7,-1,Trad,"5.8+ PG13",2,200,40.9693,-75.11129
"Lead Roof","Upper Lead Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114056510/lead-roof,4.0,-1,"Trad, TR",5.7,1,45,40.92147,-74.75087
"Mr. Mantis the Podiatrist","Ricks Rocks > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/112104625/mr-mantis-the-podiatrist,3.5,-1,Trad,5.6,1,60,41.0533,-74.9616
"Dead Man's Curve","a.  Roadside Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/109286001/dead-mans-curve,3.7,-1,Trad,5.8+,1,30,40.9693,-75.11129
"The Zipper","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129847/the-zipper,4.0,-1,TR,5.6,1,20,40.31299,-74.55319
"Who Stole Your Shoes","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114088549/who-stole-your-shoes,4.0,-1,Trad,5.8,1,45,41.30261,-74.67366
"Chrissy's Bowl","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114088562/chrissys-bowl,4.0,-1,Trad,"5.8 R",1,40,41.30261,-74.67366
"Watchung Arete","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129961/watchung-arete,4.0,-1,TR,5.10a,1,22,40.31299,-74.55319
"NightHawks' Traverse","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/122895822/nighthawks-traverse,4.0,-1,"Trad, TR","5.5 R",1,45,41.30261,-74.67366
"Death Don't Have No Mercy","n. Death Don't Have No Mercy > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/111925814/death-dont-have-no-mercy,3.7,-1,Trad,5.9,2,180,40.9693,-75.11129
"Sunday Special","m. The Great Arch > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/115789607/sunday-special,4.0,-1,Trad,5.3,2,185,40.9693,-75.11129
"Ain't No Rest For The Wicked","Pyramid Mountain / Booze Wall > b. North Central > New Jersey",https://www.mountainproject.com/route/120073624/aint-no-rest-for-the-wicked,4.0,-1,"Trad, TR","5.8+ R",1,35,40.96719,-74.37167
"Picasso’s Zipper","The Embankment > * bouldering Northeast NJ > c. NorthEast > New Jersey",https://www.mountainproject.com/route/118724900/picassos-zipper,4.0,-1,"TR, Boulder","5.9+ V3 R",1,30,40.72526,-74.04551
"Outside Chance","l. Double Overhang Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/115789557/outside-chance,4.0,-1,Trad,5.9,2,220,40.9693,-75.11129
"Triple Overhangs","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129883/triple-overhangs,4.0,-1,TR,5.10d,1,22,40.31299,-74.55319
"Mt.Tammany Southwest Face","South West Face Ice > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114094443/mttammany-southwest-face,4.0,-1,"Trad, Mixed, Ice, Snow","5.3 WI2 M2- Steep Snow PG13",5,1300,40.9693,-75.11129
"Triple Cranks","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129853/triple-cranks,4.0,-1,TR,5.11a,1,22,40.31299,-74.55319
"High As the Route","Highlands Boulder > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/123035037/high-as-the-route,4.0,-1,"Trad, TR",5.7+,1,25,40.92122,-74.75141
"You Can Do It","Highlands Boulder > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/123035070/you-can-do-it,4.0,-1,"Trad, TR",5.8+,1,25,40.92122,-74.75141
"Red Legos","Practice Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106411556/red-legos,4.0,-1,TR,5.4,1,30,40.92034,-74.75199
"Double Overhang","l. Double Overhang Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106717867/double-overhang,3.1,-1,Trad,5.8,2,160,40.9693,-75.11129
"High Point Face","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114088534/high-point-face,3.5,-1,Trad,5.6,1,45,41.30261,-74.67366
"The Wolfman","Pyramid Mountain / Booze Wall > b. North Central > New Jersey",https://www.mountainproject.com/route/120094573/the-wolfman,3.5,-1,TR,5.9+,1,40,40.96719,-74.37167
"Monumental Scramble","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114088511/monumental-scramble,3.5,-1,Trad,"5.1 PG13",1,40,41.30261,-74.67366
"Bolt Line","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129956/bolt-line,3.5,-1,TR,5.8,1,25,40.31299,-74.55319
"Shadow Line","i. Triumverate Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106411619/shadow-line,2.8,-1,Trad,"5.6 PG13",2,,40.96715,-75.11733
"Sergeant's Fingerline Crack","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114088529/sergeants-fingerline-crack,3.3,-1,Trad,"5.7 PG13",1,40,41.30261,-74.67366
"Blocky Madness","Upper Lead Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114056502/blocky-madness,3.2,-1,TR,5.6,1,45,40.92147,-74.75087
Hourglass,"Main Wall and Right Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106369038/hourglass,2.6,-1,"Trad, TR","5.8 R",1,60,40.9202,-74.75199
"TreeHugger's Need No Apply","Main Wall and Right Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106369007/treehuggers-need-no-apply,2.3,-1,"Trad, TR",5.7,1,50,40.9202,-74.75199
"A Year in the Life, Variation 2, Left Start","Main Wall and Right Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106369031/a-year-in-the-life-variation-2-left-start,3.0,-1,"Trad, TR",5.10d,1,60,40.9202,-74.75199
"One Bowl Gully","Ricks Rocks > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106384242/one-bowl-gully,2.3,-1,"Trad, TR",5.1,1,80,41.0533,-74.9616
"Free Radical","Ricks Rocks > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106721228/free-radical,3.0,-1,"Trad, TR","5.11a PG13",1,40,41.0533,-74.9616
Tanemund,"i. Triumverate Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106411623/tanemund,2.6,-1,Trad,"5.6 PG13",2,,40.96715,-75.11733
"Baker Man","Cake Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/112092185/baker-man,2.7,-1,TR,5.9-,1,25,40.9202,-74.7514
"Tree Toad Fracture","m. The Great Arch > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114944463/tree-toad-fracture,3.3,-1,Trad,"5.9- PG13",2,180,40.9693,-75.11129
"The Bowl","Upper Lead Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114056553/the-bowl,3.0,-1,TR,"5.10c R",1,35,40.92147,-74.75087
"Blairstown Crack","Ricks Rocks > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106384177/blairstown-crack,2.2,-1,"Trad, TR","5.7 PG13",1,70,41.0533,-74.9616
"Blow Out","Main Wall and Right Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106368904/blow-out,2.7,-1,"Trad, TR",5.11a,1,,40.9202,-74.75199
"A Year in the Life","Main Wall and Right Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106369024/a-year-in-the-life,3.0,-1,"Trad, TR",5.10a,1,60,40.9202,-74.75199
"Licky Lichen","Upper Lead Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114056558/licky-lichen,2.8,-1,TR,5.7+,1,40,40.92147,-74.75087
"Ride of the Valkyries","h. The Black Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106412860/ride-of-the-valkyries,3.3,-1,Trad,"5.10+ PG13",2,,40.9693,-75.11129
"Allamuchy's Great Roof","Practice Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106411550/allamuchys-great-roof,3.0,-1,TR,5.9,1,,40.92034,-74.75199
Proboscis,"Ricks Rocks > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/107239065/proboscis,2.8,-1,"Trad, TR","5.6 PG13",1,60,41.0533,-74.9616
"Black Wall Route","h. The Black Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106412892/black-wall-route,2.7,-1,Trad,"5.7 PG13",3,,40.9693,-75.11129
"False Arete","Upper Lead Wall > Allamuchy State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114056541/false-arete,3.0,-1,TR,"5.6 PG13",1,38,40.92147,-74.75087
"Joey Ate Lichen","High Point State Park > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114088569/joey-ate-lichen,3.0,-1,Trad,"5.7 R",1,35,41.30261,-74.67366
"Ski Bonticou","c. Smiley Slopes > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114396509/ski-bonticou,3.0,-1,"Trad, TR","5.6 PG13",2,100,40.95772,-74.74261
"Ski Minne","c. Smiley Slopes > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114396566/ski-minne,3.0,-1,"Trad, TR","5.6 R",2,100,40.95772,-74.74261
"Over the Roof","c. Smiley Slopes > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114389612/over-the-roof,3.0,-1,"Trad, TR","5.5 PG13",2,100,40.95772,-74.74261
"Fifty States","g. Walsh > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114389879/fifty-states,3.0,-1,"Trad, TR","5.7 PG13",1,70,40.9579,-74.74581
"Guyot Ridge","c. Smiley Slopes > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114396554/guyot-ridge,3.0,-1,"Trad, TR, Aid","5.5 C0 PG13",2,100,40.95772,-74.74261
"Portal of the Inside Way","c. Smiley Slopes > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114396539/portal-of-the-inside-way,3.0,-1,"Trad, TR","5.5 PG13",2,100,40.95772,-74.74261
"Left Ridge","g. Walsh > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114394294/left-ridge,3.0,-1,TR,5.10a,1,70,40.9579,-74.74581
"Center Right Roof","p. Steele > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114389800/center-right-roof,3.0,-1,TR,5.9-,1,43,40.95751,-74.74749
"East Wall","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129966/east-wall,3.0,-1,TR,5.10a,1,26,40.31299,-74.55319
"Left of Alcove Pod","q. Rosenstein > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114397434/left-of-alcove-pod,3.0,-1,TR,5.9,1,42,40.95761,-74.74781
"The Shield","q. Rosenstein > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114397467/the-shield,3.0,-1,TR,5.11a,1,27,40.95761,-74.74781
"Right of Alcove Pod","q. Rosenstein > Cranberry Hollow > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114397443/right-of-alcove-pod,3.0,-1,TR,5.8+,1,42,40.95761,-74.74781
"Dead Climber's Society","i. Triumverate Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/106411644/dead-climbers-society,3.0,-1,Trad,"5.10+ PG13",2,,40.96715,-75.11733
"Tammany Girdle (Incomplete)","a.  Roadside Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/110328958/tammany-girdle-incomplete,3.0,-1,Trad,"5.8+ PG13",11,1400,40.9693,-75.11129
"Baby Bird","Kinnelon Road Cliffs > b. North Central > New Jersey",https://www.mountainproject.com/route/119003990/baby-bird,3.0,-1,TR,5.6,1,30,40.98873,-74.49712
Valhalla,"h. The Black Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/118772649/valhalla,3.0,-1,Trad,5.10d,2,190,40.9693,-75.11129
Godzilla,"m. The Great Arch > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/114944512/godzilla,3.0,-1,Trad,"5.11c PG13",2,150,40.9693,-75.11129
"Watchung Face","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129810/watchung-face,3.0,-1,TR,5.6,1,20,40.31299,-74.55319
"Death Flake","Kinnelon Road Cliffs > b. North Central > New Jersey",https://www.mountainproject.com/route/119003945/death-flake,3.0,-1,TR,5.5,1,30,40.98873,-74.49712
"The Old Lady Climbed Well","h. The Black Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/115789401/the-old-lady-climbed-well,3.0,-1,Trad,5.8,2,175,40.9693,-75.11129
"School Teachers Walk the Plank","f. Class Four Ramp Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/118772616/school-teachers-walk-the-plank,3.0,-1,Trad,5.6,2,160,40.9693,-75.11129
"Credit Card Climb","Watchung Reservation > c. NorthEast > New Jersey",https://www.mountainproject.com/route/114129897/credit-card-climb,3.0,-1,TR,5.11,1,22,40.31299,-74.55319
"Zombie Ranger","Zombie Wall > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/118772790/zombie-ranger,3.0,-1,Trad,5.5,1,180,40.96642,-75.11419
"""V"" The Final Battle","k. Eldorado Wall aka Rad Dudes Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/115789480/v-the-final-battle,3.0,-1,"Trad, Aid","5.11d A3",3,240,40.96666,-75.11534
"Say Your Pwayers Wabbit","c. Die Hard Area > Mt.Tammany > Delaware Water Gap NRA > a. NorthWest > New Jersey",https://www.mountainproject.com/route/115789279/say-your-pwayers-wabbit,3.0,-1,Trad,5.9+,2,165,40.9693,-75.11129
