Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Beat Around the Bush","Estrellita > La Cueva Canyon, Upper > Sandia Mountains > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/105903089/beat-around-the-bush,2.9,-1,Trad,5.8-,1,100,35.20574,-106.44949
Wood,"Hueco Wall > Northern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/106096092/wood,2.1,-1,Sport,5.8-,1,50,34.00056,-106.99002
"Harley Quinn Devotion","Villain Wall > Bat Cave Area > Caballo Lake > Truth or Consequences Area > New Mexico",https://www.mountainproject.com/route/107023777/harley-quinn-devotion,2.9,-1,Sport,5.8-,1,70,32.93189,-107.2343
"Face  2","Full Moon Wall > East Side > Luna Park > Red Rock Arroyo > Truth or Consequences Area > New Mexico",https://www.mountainproject.com/route/109671369/face-2,2.7,-1,Sport,5.8-,1,75,33.4959,-107.41517
"Lowly Worm's Applecopter Express","Scarry Wall > Southern Box areas > The Box Climbing Areas > Socorro Area > New Mexico",https://www.mountainproject.com/route/111154354/lowly-worms-applecopter-express,2.2,-1,"Sport, TR",5.8-,1,52,33.98639,-106.99529
"100 Somethin' Hours","Wohlt's Welt Wall (WWW) > The High Horns > Organ Mountains > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/113878675/100-somethin-hours,3.0,-1,Trad,"5.8- PG13",1,120,32.3512,-106.57615
"Route 21","Main Wall- Upper Tier > Pajarito Gorge > White Rock > Los Alamos & White Rock > New Mexico",https://www.mountainproject.com/route/106382340/route-21,2.7,-1,"Trad, TR",5.8-,1,50,35.8115,-106.1996
"Open Book","Carnuel Crag > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/113929311/open-book,2.1,-1,Sport,5.8-,1,35,35.06512,-106.46885
"Not Slytherin","Upper Park > Luna Park > Red Rock Arroyo > Truth or Consequences Area > New Mexico",https://www.mountainproject.com/route/112930383/not-slytherin,2.2,-1,Sport,5.8-,1,90,33.49902,-107.41772
Flat-footed,"Y - North Side > Y, The > Los Alamos & White Rock > New Mexico",https://www.mountainproject.com/route/106783917/flat-footed,2.3,-1,"Trad, TR",5.8-,1,45,35.8676,-106.2051
"Right 2","Right > The Terrace > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/108102839/right-2,1.9,-1,Sport,5.8-,1,45,35.25583,-106.40573
"Behind The Spire","(B) Jungle Gym Area > Rough and Ready Hills > Las Cruces Area Climbing > New Mexico",https://www.mountainproject.com/route/115168598/behind-the-spire,2.0,-1,Sport,5.8-,1,60,32.39489,-107.0372
Basilisk,"Upper Park > Luna Park > Red Rock Arroyo > Truth or Consequences Area > New Mexico",https://www.mountainproject.com/route/113549647/basilisk,2.0,-1,Trad,5.8-,1,60,33.49902,-107.41772
"Missing Mai","West Rock > Tres Piedras > Taos Area > New Mexico",https://www.mountainproject.com/route/122205381/missing-mai,2.0,-1,Trad,5.8-,1,90,36.6608,-105.9829
"Windy Ridge","Hail Peak > Sandia Mountains > Albuquerque Area > New Mexico",https://www.mountainproject.com/route/110364152/windy-ridge,2.3,-1,"Trad, Alpine",5.8-,7,1000,35.1981,-106.4455
"Southeast Buttress","Ship Rock > Ship Rock Area > New Mexico Navajolands > New Mexico",https://www.mountainproject.com/route/122263178/southeast-buttress,2.0,-1,Trad,"5.8- R",6,600,36.6877,-108.8368
"I Was Groot","West Rock > Tres Piedras > Taos Area > New Mexico",https://www.mountainproject.com/route/115334641/i-was-groot,2.0,-1,Trad,5.8-,1,100,36.6608,-105.9829
