Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Erect Direction","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799041/erect-direction,3.7,-1,Trad,5.10c,3,300,41.74396,-74.17964
"Nurse's Aid","h. The Arrow Wall - CCK > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799082/nurses-aid,3.7,-1,Trad,"5.10c R",2,150,41.74396,-74.17964
"Try Again","e. The Mac Wall (Something Interesting) > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105799088/try-again,2.9,-1,Trad,5.10c,1,65,41.73936,-74.18421
"Frustration Syndrome","k. The Slime Wall > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/105824824/frustration-syndrome,2.7,-1,Trad,5.10c,1,60,41.74928,-74.1749
"Tennish Anyone?","l. Sleepy Hollow > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/106214631/tennish-anyone,2.8,-1,Trad,5.10c,1,50,41.75034,-74.17373
"Sole Fusion","Sugarloaf > G: Indian Lake Region > Adirondacks > New York",https://www.mountainproject.com/route/109473220/sole-fusion,3.9,-1,Trad,5.10c,5,600,43.75526,-74.46058
"Dacker Cracker","The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/106069664/dacker-cracker,2.8,-1,Trad,5.10c,1,50,44.1454,-73.75082
"The Eagle Has Landed","Eagle Falls > I: Old Forge Region > Adirondacks > New York",https://www.mountainproject.com/route/108328512/the-eagle-has-landed,3.6,-1,Sport,5.10c,1,,43.9051,-75.1959
"Star Sailor","Pitchoff Chimney Cliff > C: Keene Region > Adirondacks > New York",https://www.mountainproject.com/route/106511334/star-sailor,3.4,-1,Trad,5.10c,1,70,44.23598,-73.86449
Lucifugus,"Cave Wall > Hailes Cave South > Thacher State Park > New York",https://www.mountainproject.com/route/113517133/lucifugus,3.4,-1,Sport,5.10c,1,90,42.66434,-74.02004
"Forever Wild","Hurricane Crag > C: Keene Region > Adirondacks > New York",https://www.mountainproject.com/route/106852529/forever-wild,3.5,-1,Trad,5.10c,1,100,44.21541,-73.69944
"Fear of touching Aerie","Moss Cliff > D: Wilmington Region > Adirondacks > New York",https://www.mountainproject.com/route/108332377/fear-of-touching-aerie,3.8,-1,Trad,5.10c,4,350,44.34048,-73.89977
C-Tips,"Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/109201052/c-tips,3.5,-1,Sport,5.10c,1,100,44.40783,-73.50371
Oracle,"Ark Wall > F: Lake George Region > Adirondacks > New York",https://www.mountainproject.com/route/110644859/oracle,3.2,-1,Sport,5.10c,1,70,43.56076,-73.5939
"My Generation","Hurricane Crag > C: Keene Region > Adirondacks > New York",https://www.mountainproject.com/route/107170413/my-generation,3.3,-1,Trad,5.10c,3,280,44.21541,-73.69944
Maestro,"Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/107771601/maestro,3.9,-1,Trad,5.10c,1,140,44.40783,-73.50371
