Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Buck Fever","Lost Hunters > H: Southern Mountains > Adirondacks > New York",https://www.mountainproject.com/route/114546595/buck-fever,4.0,-1,Sport,5.12c,1,80,43.27049,-74.51824
"Let The Wild Rumpus Start","Eagle Falls > I: Old Forge Region > Adirondacks > New York",https://www.mountainproject.com/route/114606699/let-the-wild-rumpus-start,4.0,-1,Sport,5.12c,1,70,43.9051,-75.1959
Projectile,"Giants Workshop > The Gunks > New York",https://www.mountainproject.com/route/111664833/projectile,3.7,-1,Trad,5.12c,1,60,41.76253,-74.16435
Pentecostal,"Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/119244331/pentecostal,4.0,-1,Sport,5.12c,1,90,44.40783,-73.50371
"Northern Revival","Upper Washbowl Cliff > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/106575089/northern-revival,4.0,-1,Trad,"5.12c PG13",4,360,44.14256,-73.7438
"Raptor's Scream","Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/106558886/raptors-scream,4.0,-1,Sport,5.12c,1,80,44.40783,-73.50371
"Crisis Inverted","1 - Underworld > Slanting Cracks Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York",https://www.mountainproject.com/route/111007586/crisis-inverted,4.0,-1,Sport,5.12c,1,35,43.54247,-73.95337
"Say Hello to My Little Friend","1 - Underworld > Slanting Cracks Wall > Crane Mountain > G: Indian Lake Region > Adirondacks > New York",https://www.mountainproject.com/route/111198787/say-hello-to-my-little-friend,4.0,-1,Sport,5.12c,1,70,43.54247,-73.95337
"El Kabong","b. Gelsa to Moe (closure) > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/110766938/el-kabong,3.4,-1,"Trad, TR","5.12c R",1,75,41.73294,-74.19626
"Public Enemy","Split Rock Canyon > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/112080886/public-enemy,3.6,-1,Sport,5.12c,1,60,44.22557,-73.38588
"Scary Area","j. The Yellow Wall and The Seasons > The Trapps > The Gunks > New York",https://www.mountainproject.com/route/106389128/scary-area,3.3,-1,Trad,"5.12c R",2,200,41.74756,-74.17576
"One Over The Hill","Moss Island > Little Falls > New York",https://www.mountainproject.com/route/105830460/one-over-the-hill,3.5,-1,"Trad, TR",5.12c,1,35,43.03907,-74.84845
"Not Too Steep for My Lichen","Future Wall > Washbowl Pond > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/112499598/not-too-steep-for-my-lichen,3.5,-1,Sport,5.12c,1,65,44.14462,-73.74134
"Urgent Fury","The Honey Pot > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/117338451/urgent-fury,3.3,-1,Sport,5.12c,1,50,44.20254,-73.54618
Lycanthropia,"The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/106553548/lycanthropia,3.2,-1,Trad,"5.12c PG13",1,100,44.1454,-73.75082
"Miller Light","Lower Beer Wall > Beer Walls > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/117366186/miller-light,3.2,-1,Sport,5.12c,1,60,44.14472,-73.75802
"The Howling","Poke-O-Moonshine Main Face > Poke-O-Moonshine > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/119020453/the-howling,3.0,-1,Sport,5.12c,1,70,44.40783,-73.50371
"Judgement Day","The Crown > A: Lake Champlain Region > Adirondacks > New York",https://www.mountainproject.com/route/112496779/judgement-day,3.0,-1,Sport,5.12c,1,80,44.07433,-73.68993
"The Mountain King","The Big Wall > Shelving Rock > F: Lake George Region > Adirondacks > New York",https://www.mountainproject.com/route/122942918/the-mountain-king,3.0,-1,Sport,5.12c,1,90,43.55905,-73.60329
"Black Widow","The Spider's Web > B: Chapel Pond Pass > Adirondacks > New York",https://www.mountainproject.com/route/117102444/black-widow,3.0,-1,Trad,5.12c,1,80,44.1454,-73.75082
Bumkey,"a. Beginning of cliff to Gelsa > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/114235150/bumkey,3.0,-1,"Trad, TR","5.12c R",1,110,41.73517,-74.19463
"Super Slab","Ragged Mountain > E: High Peaks Region > Adirondacks > New York",https://www.mountainproject.com/route/118751589/super-slab,2.5,-1,Sport,5.12c,1,70,43.9609,-73.8628
"To Have or Have Not","b. Gelsa to Moe (closure) > The Near Trapps > The Gunks > New York",https://www.mountainproject.com/route/111953429/to-have-or-have-not,2.3,-1,"Trad, TR","5.12c R",1,60,41.73294,-74.19626
