Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Black Planet","Screamweaver Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106350327/black-planet,3.3,-1,Trad,5.12a,1,70,35.45073,-82.21796
Boldfingers,"Screamweaver Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106350293/boldfingers,3.8,-1,Trad,5.12a,1,80,35.45073,-82.21796
Filet-O-Fish,"North End > Moore's Wall (Routes) > Moore's Wall > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/106274134/filet-o-fish,3.7,-1,Trad,5.12a,1,70,36.3979,-80.2917
"Waverly Waster","North Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106520391/waverly-waster,3.5,-1,Trad,"5.12a R",1,80,35.30546,-82.79093
"Welcome to Crowders","06. Red Wall > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107101525/welcome-to-crowders,2.8,-1,"Sport, TR",5.12a,1,40,35.23437,-81.27357
X70,"Catwalk > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/107181055/x70,4.0,-1,Sport,5.12a,1,50,35.08781,-83.13744
"Arm and Hammer","Southeast Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106916902/arm-and-hammer,3.9,-1,Trad,5.12a,7,700,35.0831,-83.1358
"Slabsters Lament","Hidden Wall > Crowders Mountain > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/107284826/slabsters-lament,2.8,-1,Sport,5.12a,1,40,35.23273,-81.27498
"NED's Revenge","Big Rock Nature Preserve > 3. Piedmont Region > North Carolina",https://www.mountainproject.com/route/121223571/neds-revenge,3.8,-1,"Trad, TR",5.12a,1,25,35.06157,-80.82779
"Turkey Beard","Amphitheater > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/106451752/turkey-beard,3.8,-1,Trad,5.12a,2,200,35.871,-81.89291
"Blood Root","Left Field > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106333779/blood-root,4.0,-1,Sport,"5.12a PG13",1,90,35.449,-82.2143
"Linear Progression","Nose Area > Looking Glass Rock > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/112888892/linear-progression,4.0,-1,Trad,5.12a,2,300,35.30474,-82.79538
"Defective Sonar","Laurel Knob > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106247530/defective-sonar,4.0,-1,Trad,5.12a,8,800,35.15026,-83.0564
"The Radical Left","Lakeview Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/116782745/the-radical-left,4.0,-1,Trad,5.12a,1,120,35.449,-82.2143
Helios,"Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina",https://www.mountainproject.com/route/116514423/helios,4.0,-1,Trad,5.12a,2,190,35.88831,-81.88519
"The Volunteer Wall","Southeast Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106915113/the-volunteer-wall,4.0,-1,Trad,"5.12a PG13",8,700,35.0831,-83.1358
"Flaming Tits","Catwalk > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/119357493/flaming-tits,4.0,-1,Sport,5.12a,1,50,35.08781,-83.13744
"Home of the Brave","Lakeview Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/118648601/home-of-the-brave,4.0,-1,Trad,"5.12a R",1,230,35.449,-82.2143
"Flaming Lips","Catwalk > North Face > Whiteside Mountain > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/107180877/flaming-lips,3.6,-1,Sport,"5.12a PG13",1,60,35.08781,-83.13744
"Slab Accurate","Flapping.../Nuclear arms area > Rumbling Bald > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106587208/slab-accurate,3.6,-1,"Trad, Sport",5.12a,1,120,35.449,-82.2143
"Hocus Focus","Desperado Wall > The Dark Side (Closed to climbing, included for historic reference) > 1. Southern Mountains Region > North Carolina",https://www.mountainproject.com/route/106234141/hocus-focus,3.7,-1,Trad,5.12a,2,200,35.6037,-79.2773
