Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"High Anxiety","Lower Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105904882/high-anxiety,3.6,-1,Trad,5.7,1,75,34.7486,-98.5273
"Crazy Alice","Zoo Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105860080/crazy-alice,3.5,-1,Trad,5.8,1,60,34.69731,-98.66948
"Mr. Clean","Lower Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914923/mr-clean,3.5,-1,Trad,5.8,1,65,34.7486,-98.5273
"Great Expectations","Elk Slabs > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105883943/great-expectations,3.3,-1,Trad,5.5,1,,34.7172,-98.7237
"The Dihedral","Zoo Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105861314/the-dihedral,3.1,-1,"Trad, TR",5.6,1,60,34.69731,-98.66948
"Dr. Coolhead","Zoo Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105861339/dr-coolhead,3.4,-1,"Trad, TR","5.10d X",1,60,34.69731,-98.66948
"Ker Plunk","Lichen Wall > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105861392/ker-plunk,3.3,-1,Trad,5.7,2,100,34.69598,-98.66703
"Foolish Behavior","Upper Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105897861/foolish-behavior,3.4,-1,Trad,"5.10a PG13",1,70,34.746,-98.5316
Foolish,"Upper Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105885276/foolish,2.9,-1,Trad,"5.7 R",1,,34.746,-98.5316
"Atomic Knee Drop","Upper Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105885259/atomic-knee-drop,2.7,-1,Trad,5.6,1,,34.746,-98.5316
"Worm Hole","Echo Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914632/worm-hole,2.6,-1,Sport,5.8,1,70,34.72599,-98.73486
"Come and Get Your Love","Lost Dome Main Area > Lost Dome Region > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105901641/come-and-get-your-love,2.9,-1,Sport,5.10a,1,70,34.72377,-98.74909
"Frosted Flakes","Echo Dome > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105914655/frosted-flakes,2.9,-1,Sport,5.9,1,70,34.72599,-98.73486
"Aerial Anticipation","Aerial Anticipation > The Narrows > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105861357/aerial-anticipation,3.8,-1,Sport,5.11c,1,60,34.69784,-98.66944
"Yee Haw","Upper Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105885287/yee-haw,3.0,-1,Trad,5.6,1,,34.746,-98.5316
"Rap Bolters from Hell","Lost Dome Main Area > Lost Dome Region > Charon's Gardens > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105901650/rap-bolters-from-hell,3.9,-1,Sport,5.12a,1,75,34.72377,-98.74909
"Repeat After Me","Lower Mount Scott > Mount Scott > Wichita Mountains Wildlife Refuge > Oklahoma",https://www.mountainproject.com/route/105892450/repeat-after-me,3.4,-1,Sport,"5.10c PG13",1,50,34.7486,-98.5273
"The Hobbit","05. Sea of Screams > Quartz Mountain > Oklahoma",https://www.mountainproject.com/route/105866344/the-hobbit,3.2,-1,Trad,5.7,1,200,34.89814,-99.33283
