Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Gulag Archipelago","(u) Red Wall > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/106513445/gulag-archipelago,3.6,-1,Sport,5.11+,4,380,44.3696,-121.13916
"Where the Wild Things Roam","(2) Orange Wall > Madrone Wall > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/112449057/where-the-wild-things-roam,3.8,-1,Sport,5.11+,1,55,45.39101,-122.45814
Necromancer,"(9) Jungle Cliff > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/111265361/necromancer,3.6,-1,Sport,5.11+,1,100,45.53735,-122.37207
"Rising Expectations","(s) Monkey Face > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/107499242/rising-expectations,3.8,-1,Trad,5.11+,1,44,44.37053,-121.14363
"Tammy Jo Memorial","Steins Pillar > Steins Pillar > Central Oregon > Oregon",https://www.mountainproject.com/route/110381379/tammy-jo-memorial,3.8,-1,Sport,"5.11+ PG13",3,350,44.41174,-120.61998
"K-9 Shanghai","(5) Lost Dog Wall > Pete's Pile > Mt. Hood National Forest > Oregon",https://www.mountainproject.com/route/106265936/k-9-shanghai,3.8,-1,Trad,5.11+,3,260,45.40529,-121.56846
"Hip to Toe","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/107622377/hip-to-toe,4.0,-1,Trad,5.11+,1,80,44.80197,-121.10859
"Midas Touch","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/107877326/midas-touch,3.9,-1,Trad,5.11+,1,95,44.80197,-121.10859
"X Marks the Spot","Elements of Style Area > Moolack > Willamette Valley > Oregon",https://www.mountainproject.com/route/109646450/x-marks-the-spot,4.0,-1,Trad,"5.11+ PG13",2,200,43.87111,-122.14824
"Out Ridin' Fences","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/106712367/out-ridin-fences,3.8,-1,Trad,5.11+,1,70,44.80197,-121.10859
"Two Finger Torque","Hidden Wall > (yy) Basalt Rimrock > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/120067097/two-finger-torque,4.0,-1,"TR, Mixed","5.11+ M6",1,30,44.37219,-121.13363
"Hail Mary","(zz) Upper Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/121926393/hail-mary,4.0,-1,Trad,"5.11+ PG13",1,90,44.36434,-121.12783
"The Gambler","The Cool Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/112014194/the-gambler,4.0,-1,Trad,5.11+,1,,44.79728,-121.11122
"Dry the Rain","The Cool Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/112014178/dry-the-rain,4.0,-1,Trad,5.11+,1,,44.79728,-121.11122
Straightway,"The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/112059154/straightway,3.8,-1,Trad,5.11+,1,,44.80197,-121.10859
"Out of the Question","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/107453783/out-of-the-question,3.4,-1,Trad,"5.11+ PG13",1,70,44.80197,-121.10859
"Spider Line","l. Wall of Shadows > Rocky Butte > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/122729874/spider-line,3.5,-1,"Sport, TR",5.11+,1,120,45.55268,-122.56865
"Pressure Drop","l. Wall of Shadows > Rocky Butte > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/120858693/pressure-drop,3.3,-1,Trad,5.11+,1,75,45.55268,-122.56865
"Redd Alert","The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/107664104/redd-alert,3.2,-1,Trad,5.11+,1,100,44.80197,-121.10859
"Woman in the Mist","(3)Long Wall > Rattlesnake > Southwest Oregon > Oregon",https://www.mountainproject.com/route/106557926/woman-in-the-mist,3.2,-1,Sport,5.11+,1,70,42.65122,-122.88589
"Mr. Bentley","(3) Red Wall > Broughton Bluff > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/105973243/mr-bentley,2.7,-1,TR,5.11+,1,30,45.53999,-122.37622
"Iron Cross","(2) Wildfire Wall > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/107783261/iron-cross,2.7,-1,Trad,5.11+,1,80,44.36798,-121.13081
"Serology Test","Power Lines > Central Oregon > Oregon",https://www.mountainproject.com/route/118865770/serology-test,3.3,-1,"Sport, TR",5.11+,1,45,44.04393,-121.46742
"Hazy Shade of Summer","(3) Hand Job Wall > East Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/114982250/hazy-shade-of-summer,3.0,-1,Sport,5.11+,1,80,44.36774,-121.12995
Rightway,"The Main Wall > Trout Creek > Central Oregon > Oregon",https://www.mountainproject.com/route/112059171/rightway,3.0,-1,Trad,5.11+,1,,44.80197,-121.10859
"Iron Lung","The Einstein > Leslie Gulch > Southeast Oregon > Oregon",https://www.mountainproject.com/route/112101416/iron-lung,2.7,-1,Sport,5.11+,1,,43.33778,-117.31209
"Put a Torque in It","Hidden Wall > (yy) Basalt Rimrock > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/120066883/put-a-torque-in-it,3.0,-1,"TR, Mixed","5.11+ M5+",1,30,44.37219,-121.13363
Glaxo,"East > Cline Falls Routes > Cline Falls > Central Oregon > Oregon",https://www.mountainproject.com/route/122784847/glaxo,3.0,-1,Sport,5.11+,1,40,44.27748,-121.25681
"White Rabbit Buttress","k. Breakfast Cracks > Rocky Butte > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/122880987/white-rabbit-buttress,3.0,-1,TR,5.11+,1,100,45.55237,-122.56802
"Jungle Book","(5) Jungle Land > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/111045751/jungle-book,3.0,-1,Trad,5.11+,1,80,44.36521,-121.13067
"Summer's Tale","(5) Shakespeare Cliff > East Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/114776265/summers-tale,2.5,-1,Sport,5.11+,1,70,44.36684,-121.12991
"Fire Down Below","Spring Mountain > Northeast Oregon > Oregon",https://www.mountainproject.com/route/107722369/fire-down-below,2.5,-1,Sport,5.11+,1,,45.45812,-118.23642
"Underpull Pillar Route","Meadow Camp > Central Oregon > Oregon",https://www.mountainproject.com/route/114973801/underpull-pillar-route,2.3,-1,"TR, Boulder","5.11+ V4-5",1,25,44.00144,-121.37788
"Evolution Theory","(1) Northeast Face > (m) Smith Rock Group > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/107630637/evolution-theory,2.5,-1,Trad,"5.11+ PG13",5,,44.36442,-121.14739
"Waterfall Face","East > Cline Falls Routes > Cline Falls > Central Oregon > Oregon",https://www.mountainproject.com/route/114380267/waterfall-face,2.0,-1,"Sport, TR",5.11+,1,30,44.27748,-121.25681
Backbender,"Madrone Coves > Lookout Point > Willamette Valley > Oregon",https://www.mountainproject.com/route/121970720/backbender,2.0,-1,Sport,5.11+,1,40,43.89267,-122.67924
"Trout Geek","(5) Jungle Land > West Side > (z) Lower Gorge > Smith Rock > Central Oregon > Oregon",https://www.mountainproject.com/route/113931004/trout-geek,2.0,-1,Trad,5.11+,1,45,44.36521,-121.13067
"Sling Blade","(5)Jane's Buttress > Rattlesnake > Southwest Oregon > Oregon",https://www.mountainproject.com/route/120822087/sling-blade,2.0,-1,Sport,5.11+,1,25,42.65038,-122.88625
"name unknown","Riverside Crag > Burnt River Canyon > Northeast Oregon > Oregon",https://www.mountainproject.com/route/122454298/name-unknown,2.0,-1,Sport,5.11+,1,,44.54588,-117.69047
"Harder Than Life","k. Breakfast Cracks > Rocky Butte > Portland & The Gorge > Oregon",https://www.mountainproject.com/route/124620020/harder-than-life,2.0,-1,TR,5.11+,1,70,45.55237,-122.56802
