Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Autumn Arch","g. Autumn Arch Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107379077/autumn-arch,3.5,-1,Sport,5.10b,1,85,39.91868,-76.37749
"Electric Co.","c Electric Co. Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107394667/electric-co,2.7,-1,Sport,5.10b,1,30,39.91599,-76.37581
"Tenuous Odyssey","d. Tenuous Odyssey Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107720675/tenuous-odyssey,2.8,-1,Sport,5.10b,1,,39.91654,-76.37615
"Demon In My Semen","j. Train in Vain Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107383276/demon-in-my-semen,2.5,-1,Sport,5.10b,1,50,39.91979,-76.37835
"Heart's Horizon","g. Autumn Arch Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107720732/hearts-horizon,2.8,-1,Sport,5.10b,1,,39.91868,-76.37749
"Battling T-Rex","l. Ground Up Wall > Birdsboro Quarry > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/108046617/battling-t-rex,3.1,-1,Sport,5.10b,1,99,40.25086,-75.82354
Witness,"e. Machismo Sector > Safe Harbor South > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/107430082/witness,2.4,-1,Sport,5.10b,1,60,39.91712,-76.37657
"(2) Mosquito","Main Wall > Breakneck > Southwestern Highlands > Pennsylvania",https://www.mountainproject.com/route/106069347/2-mosquito,2.6,-1,"Sport, TR",5.10b,1,60,40.0321,-79.5408
42,"2.5 Alpine Wall (aka tall wall) > Safe Harbor North > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/110900454/42,3.0,-1,Sport,5.10b,1,70,39.93895,-76.4339
"Laid Back","Rappel Rock > Rim Road Climbing Area > McConnells Mill State Park > The Northwest > Pennsylvania",https://www.mountainproject.com/route/106917867/laid-back,3.0,-1,TR,5.10b,1,40,40.95481,-80.1712
50/50,"Main Wall > Breakneck > Southwestern Highlands > Pennsylvania",https://www.mountainproject.com/route/106069417/5050,2.6,-1,"Sport, TR",5.10b,1,60,40.0321,-79.5408
"Power and the Glory (FA's original name)","2.5 Alpine Wall (aka tall wall) > Safe Harbor North > Safe Harbor > South Central PA > Pennsylvania",https://www.mountainproject.com/route/108809819/power-and-the-glory-fas-original-name,3.0,-1,Trad,5.10b,1,70,39.93895,-76.4339
"Great Society","Main Rock > Livezey Rock > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/107281890/great-society,3.0,-1,TR,5.10b,1,,40.0477,-75.21129
