Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Black Bug (aka The Dihedral)","Inversion Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227188/black-bug-aka-the-dihedral,3.8,-1,Trad,5.10+,1,30,34.95624,-82.7914
Flakey,"Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116507370/flakey,2.9,-1,"Trad, TR",5.8,1,80,34.95673,-82.79033
"S Crack","Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116223777/s-crack,3.0,-1,Trad,5.10,1,80,34.95673,-82.79033
"Big Rock Candy Arete","Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227060/big-rock-candy-arete,3.8,-1,Trad,5.11b/c,1,80,34.95673,-82.79033
"Mental Misstep","X-Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116216481/mental-misstep,3.5,-1,Sport,5.10b,1,100,34.95688,-82.78802
"Palmetto Plumb","Knobtopia Wall (Main Wall right of Center Buttress) > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/120041251/palmetto-plumb,4.0,-1,Trad,5.11a,2,240,35.04625,-82.70721
"Ramp Arete","Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116385056/ramp-arete,2.9,-1,Sport,5.7,1,75,34.95673,-82.79033
"Stone Wall Action","Main Face > Table Rock > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/108603499/stone-wall-action,3.8,-1,Trad,5.11d,4,400,35.05044,-82.70107
Banshee,"Main Wall Left of Center Buttress > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/119909660/banshee,3.9,-1,Sport,5.10,1,90,35.04632,-82.70837
"Pumpkin' Chunkin'","Knobtopia Wall (Main Wall right of Center Buttress) > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/119974901/pumpkin-chunkin,4.0,-1,Trad,5.11b,2,130,35.04625,-82.70721
"Hedonic Treadmill","Main Face > Table Rock > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/120303671/hedonic-treadmill,4.0,-1,Trad,5.12,6,720,35.05044,-82.70107
"The Otter Groove","Main Wall Left of Center Buttress > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/123518434/the-otter-groove,4.0,-1,Trad,"5.11 PG13",2,190,35.04632,-82.70837
"15 Year Nuptial","Lower Left  Wall > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/122387103/15-year-nuptial,4.0,-1,Sport,5.11b/c,1,60,35.04611,-82.7094
"Vomitous Maximus","Main Face > Table Rock > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/116109672/vomitous-maximus,4.0,-1,Trad,5.12a,1,160,35.05044,-82.70107
"Shaconage Solstice","Resistance Wall > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/120097327/shaconage-solstice,4.0,-1,Sport,5.9,1,85,35.04652,-82.70926
"Meth Face aka Shadow Boxing","Featureless Twins > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227552/meth-face-aka-shadow-boxing,4.0,-1,"Trad, TR",5.12c,1,60,34.95629,-82.79023
"Tom and Jerry","Watergroove Wall > Table Rock > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/114031397/tom-and-jerry,4.0,-1,Trad,5.11-,1,180,35.0521,-82.69952
"Double Double Toil and Trouble","Resistance Wall > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/120097339/double-double-toil-and-trouble,4.0,-1,Sport,5.10,1,90,35.04652,-82.70926
Knobtopia,"Knobtopia Wall (Main Wall right of Center Buttress) > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/119974722/knobtopia,4.0,-1,Trad,"5.10c/d PG13",3,300,35.04625,-82.70721
"Wacky Werewolf","First Slab > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/120082305/wacky-werewolf,4.0,-1,Trad,5.11,2,200,35.04534,-82.70479
"The Underdog","Arch Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/118100516/the-underdog,3.1,-1,"Trad, TR",5.9,1,50,34.95684,-82.78811
"Sport Route #1","X-Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116219075/sport-route-1,2.6,-1,Sport,5.8,1,70,34.95688,-82.78802
Wondercrack,"Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116216406/wondercrack,3.0,-1,Trad,5.10-,2,100,34.95673,-82.79033
"Big Rock Candy Direct","Main Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/116227099/big-rock-candy-direct,3.0,-1,Trad,5.10d,1,40,34.95673,-82.79033
"Good Juju","Main Wall Left of Center Buttress > Pumpkintown > Table Rock State Park > South Carolina",https://www.mountainproject.com/route/120070989/good-juju,3.6,-1,Trad,5.11c,1,90,35.04632,-82.70837
"Anonymous Statement","X-Wall > Big Rock Mountain > South Carolina",https://www.mountainproject.com/route/120057811/anonymous-statement,3.6,-1,Trad,5.11-,1,160,34.95688,-82.78802
