Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Slang,"The Shrub > Chopping Block > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/106942558/slang,3.8,-1,Sport,5.12-,1,80,43.8851,-103.4687
"Tap and Die","White House Wall > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715514/tap-and-die,4.0,-1,"Trad, TR",5.12-,1,60,43.8807,-103.4619
"Iron Lingerie","Outer Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/105958730/iron-lingerie,4.0,-1,Sport,"5.12- R",1,180,43.84828,-103.56827
"A Place Beyond the Pines","Javelin > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/108227880/a-place-beyond-the-pines,4.0,-1,Trad,"5.12- PG13",1,115,43.84878,-103.53507
"Right Wight","Near Downs > Middle Earth > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/108295308/right-wight,3.8,-1,Trad,5.12-,1,140,43.8486,-103.5705
Birds,"Reardon's Rock > The Visitor Center > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/118826459/birds,4.0,-1,Trad,5.12-,1,145,43.87555,-103.45798
Mamajuana,"Khayyam Spire > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/121059000/mamajuana,3.8,-1,Trad,5.12-,1,140,43.8481,-103.5344
"Mr. Critical Variation","Hornets Nest > South Seas > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/113507037/mr-critical-variation,4.0,-1,Sport,5.12-,1,110,43.88643,-103.46702
"The Hateful Eight","Spire Eight > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/112003920/the-hateful-eight,4.0,-1,Trad,5.12-,1,130,43.84938,-103.53085
"So Gone Pocket Throw","Sniper Wall > The VC > Rapid City Area > South Dakota",https://www.mountainproject.com/route/106544867/so-gone-pocket-throw,4.0,-1,Sport,5.12-,1,60,44.04282,-103.33737
Armageddon,"Big Picture Wall > Big Picture Gully > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/108233165/armageddon,3.2,-1,Sport,5.12-,1,,44.33315,-103.92134
"Pulmonary Suprema","Indecent Exposure > Blue Sky > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/108408937/pulmonary-suprema,3.2,-1,Sport,5.12-,1,80,44.34528,-103.92064
"True to Form","Outer Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/107698565/true-to-form,3.7,-1,Trad,5.12-,1,180,43.84828,-103.56827
"black sunday","Dark Side Wall > The Dark Side > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/110622726/black-sunday,2.7,-1,Sport,5.12-,1,40,44.29254,-103.88384
"Brave Captain","White House Wall > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/114496375/brave-captain,3.3,-1,Trad,5.12-,2,150,43.8807,-103.4619
Wrath,"7 Sins Wall > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/111903502/wrath,3.3,-1,Sport,5.12-,1,50,44.34008,-103.92221
"Turrets Arete","The Asylum > The Mohican > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/108360026/turrets-arete,3.3,-1,Sport,5.12-,1,70,44.33171,-103.9001
"Hail The Groom","Tinker > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/109442742/hail-the-groom,3.0,-1,Trad,5.12-,1,120,43.84862,-103.56742
"Passport to The Sky","Outer Outlet > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/112046972/passport-to-the-sky,3.3,-1,Trad,5.12-,2,170,43.84828,-103.56827
"Fashion Nugget","The Kodiak > East Grizzly Bear Creek > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/121842525/fashion-nugget,3.0,-1,Sport,5.12-,1,75,43.86361,-103.45523
"Tender Heart","Intimacy Wall > North Canyon Wall > Falling Rock > Rapid City Area > South Dakota",https://www.mountainproject.com/route/116184507/tender-heart,3.0,-1,Sport,5.12-,1,70,44.05384,-103.36295
"Burnin' & Lootin'","Bob's Buttress > Spearfish Canyon > South Dakota",https://www.mountainproject.com/route/117099058/burnin-lootin,3.0,-1,Sport,5.12-,1,50,44.4578,-103.8589
Warning,"Stonehenge > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/110905342/warning,3.0,-1,Trad,"5.12- PG13",1,100,43.8477,-103.5668
"Hot Like Sauce","Yellow Bird Area > The Marina > South Dakota",https://www.mountainproject.com/route/110424722/hot-like-sauce,3.0,-1,Trad,5.12-,2,100,43.86152,-103.54659
"Riders on the storm","Weatherman tower > Playground Proper > The Playground > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/118719552/riders-on-the-storm,3.0,-1,Trad,5.12-,1,85,43.87831,-103.48601
Tetrad,"Spire Four > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/119144401/tetrad,3.0,-1,Trad,5.12-,2,200,43.84908,-103.53358
"The Harlot","Spire Eight > Cathedral Spires > Custer State Park > South Dakota",https://www.mountainproject.com/route/122703293/the-harlot,3.0,-1,Trad,"5.12- PG13",1,70,43.84938,-103.53085
"Debutant Farmers","Positron > Palisades State Park > East Side SD > South Dakota",https://www.mountainproject.com/route/106713518/debutant-farmers,2.4,-1,"Trad, TR",5.12-,1,,43.68605,-96.52474
"Dave The Evangelist","The Ramp > Raspberry Rocks > Iron Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/105715154/dave-the-evangelist,2.3,-1,Sport,5.12-,1,80,43.85037,-103.39708
"Love & Anarchy","Pennsylvania Ave. > Emancipation > Mount Rushmore National Memorial > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/120418432/love-anarchy,2.0,-1,Sport,5.12-,1,85,43.88132,-103.46134
"How's it Hanging?","Stonehenge > Outlets > Sylvan Lake > Custer State Park > South Dakota",https://www.mountainproject.com/route/113538711/hows-it-hanging,2.0,-1,Trad,5.12-,1,90,43.8477,-103.5668
"How Much Does a Polar Bear Weigh?","The Icebreaker > The Chessmen > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/113484837/how-much-does-a-polar-bear-weigh,2.0,-1,Trad,5.12-,1,130,43.88305,-103.49947
"Curt Marshaled","Incisor > Picket Fence > Custer State Park > South Dakota",https://www.mountainproject.com/route/110853103/curt-marshaled,2.0,-1,Sport,5.12-,1,50,43.85044,-103.53114
Ishmael,"Right of Passage > Hidden Acres > The Playground > Horsethief Lake Area > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/112789100/ishmael,2.0,-1,Trad,5.12-,2,140,43.8813,-103.4818
"The Crimp-Pansie","Net Attraction Dome > New Domensions > Iron Mountain > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/123377478/the-crimp-pansie,2.0,-1,Sport,5.12-,1,95,43.85075,-103.44557
"Slippery Jack","Riparian Wall > Camp Remington > The Needles Of Rushmore > South Dakota",https://www.mountainproject.com/route/124370618/slippery-jack,3.0,-1,Sport,5.12-,1,90,43.82702,-103.46577
