Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Cake Walk","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105889130/cake-walk,3.7,-1,Trad,5.10a,1,100,35.07379,-85.40108
"Where Lizards Go to Die","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105891959/where-lizards-go-to-die,3.7,-1,Trad,5.10a,1,100,35.06887,-85.4194
"Hidden Assets","T-Wall East > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/105918859/hidden-assets,3.5,-1,Trad,5.10a,1,100,35.07379,-85.40108
"Jefferson Airplane","Sunset North > Sunset Park > Tennessee",https://www.mountainproject.com/route/105920616/jefferson-airplane,3.4,-1,Trad,5.10a,1,100,34.9992,-85.3554
Tarantella,"Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099156/tarantella,3.3,-1,Sport,5.10a,1,90,36.1022,-84.7184
"Ticks Are For Kids","Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106165650/ticks-are-for-kids,3.1,-1,Sport,5.10a,1,60,36.1022,-84.7184
"Girls Only","Leda > Tennessee",https://www.mountainproject.com/route/105890340/girls-only,3.1,-1,Sport,5.10a,1,60,35.2356,-85.2265
"Guardian Angel","Lower Leda > Tennessee",https://www.mountainproject.com/route/106189081/guardian-angel,3.3,-1,Sport,5.10a,1,80,35.236,-85.2322
Christine,"Stephen King Library > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099081/christine,2.9,-1,Sport,5.10a,1,80,36.09366,-84.69989
"Cracked Actor","Leda > Tennessee",https://www.mountainproject.com/route/106171021/cracked-actor,3.4,-1,Trad,5.10a,1,80,35.2356,-85.2265
"Rover B. Dog","Tieranny Roofs > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106392548/rover-b-dog,2.5,-1,Sport,5.10a,1,50,36.09055,-84.70502
"Cheap Seats","The Balcony > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106954613/cheap-seats,2.4,-1,Sport,5.10a,1,60,36.09385,-84.699
Backlash,"Image Wall > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106065033/backlash,2.4,-1,Sport,5.10a,1,80,36.09386,-84.70206
It,"Stephen King Library > South Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106099070/it,2.2,-1,Sport,5.10a,1,30,36.09366,-84.69989
"Moderate Machine","Tea and Crumpets Wall > Deep Creek > Tennessee",https://www.mountainproject.com/route/107162749/moderate-machine,3.0,-1,Sport,5.10a,1,80,35.29555,-85.19524
"Train Time","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/105946733/train-time,3.5,-1,Trad,5.10a,1,80,34.99865,-85.35565
"Silent Runner","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/106023926/silent-runner,3.8,-1,Trad,5.10a,1,95,34.99865,-85.35565
