Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Jody's Route (aka The Chris' Route)","Leda > Tennessee",https://www.mountainproject.com/route/105891570/jodys-route-aka-the-chris-route,3.6,-1,Sport,5.10c/d,1,70,35.2356,-85.2265
"Indigenous Beverage","Moonshiner Wall > Denny West > Denny Cove > Tennessee",https://www.mountainproject.com/route/113731118/indigenous-beverage,2.7,-1,Sport,5.10c/d,1,45,35.15512,-85.69025
"Ivy League","Lilly Bluff > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/106703771/ivy-league,2.6,-1,Sport,5.10c/d,1,70,36.1022,-84.7184
"Mitch's Bitch","Wall of Useless Conflict > Foster Falls > Tennessee",https://www.mountainproject.com/route/108668686/mitchs-bitch,2.9,-1,Sport,5.10c/d,1,80,35.17829,-85.68934
"SE Climbing","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291576/se-climbing,2.7,-1,Sport,5.10c/d,1,60,35.94466,-83.87729
"Big Men, Small Airplanes","Starr Mountain > Tennessee",https://www.mountainproject.com/route/106114872/big-men-small-airplanes,2.7,-1,Trad,5.10c/d,1,75,35.2269,-84.5255
"Black Magic","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/106489683/black-magic,2.9,-1,Trad,"5.10c/d PG13",2,110,34.99865,-85.35565
"Natural Born Drillers","Drill of Rights Wall > Woodcock Cove > Tennessee",https://www.mountainproject.com/route/122296288/natural-born-drillers,3.0,-1,Sport,5.10c/d,1,,35.33292,-85.45646
"Youth in Asia","Sun Wall > North Clear Creek > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/110967546/youth-in-asia,2.7,-1,Sport,5.10c/d,1,70,36.09595,-84.70763
"A Different Slant","King's Bluff East > King's Bluff > Tennessee",https://www.mountainproject.com/route/106564498/a-different-slant,3.0,-1,Sport,"5.10c/d R",1,40,36.50129,-87.3223
Ethiopia,"Roadside Wall > Suck Creek Canyon > Tennessee",https://www.mountainproject.com/route/106051865/ethiopia,2.6,-1,"Trad, TR",5.10c/d,1,50,35.14799,-85.39152
Agrippa,"Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/112019768/agrippa,2.8,-1,Trad,5.10c/d,1,50,34.99865,-85.35565
"Step Into My Dream","T-Wall West > The Tennessee Wall > Tennessee",https://www.mountainproject.com/route/106364352/step-into-my-dream,2.7,-1,Trad,5.10c/d,1,90,35.06887,-85.4194
Excalibur,"Starr Mountain > Tennessee",https://www.mountainproject.com/route/106096478/excalibur,2.5,-1,Trad,5.10c/d,1,70,35.2269,-84.5255
"Velvet Elvis","Promised Land > Prentice Cooper > Tennessee",https://www.mountainproject.com/route/110868449/velvet-elvis,2.0,-1,Trad,5.10c/d,1,,35.09545,-85.47093
"Who Shot Bambi?","Buzzard Point > Tennessee",https://www.mountainproject.com/route/106308324/who-shot-bambi,2.0,-1,Sport,5.10c/d,1,50,35.53775,-85.03099
"Confederate Arete","Sunset South > Sunset Park > Tennessee",https://www.mountainproject.com/route/112038598/confederate-arete,2.0,-1,Trad,5.10c/d,1,50,34.99865,-85.35565
