Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Tachycardia,"Heart Rock > Heart Rock Area > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107669530/tachycardia,3.6,-1,Sport,5.7,3,300,39.5561,-111.6708
Spaceshot,"Leaning Wall > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/105717829/spaceshot,3.6,-1,Aid,"5.7 C2",8,800,37.27874,-112.94358
"Leopard Skin","Sand Dunes > Island In The Sky > Snow Canyon State Park > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/105891653/leopard-skin,3.3,-1,"Trad, Sport",5.7,4,260,37.19133,-113.64333
"Outside Corner","JHCOB Wall > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740009/outside-corner,3.4,-1,Trad,5.7,3,450,40.62108,-111.74946
"Main Crack","Ed and Terry Wall > Rock Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741227/main-crack,3.4,-1,Trad,5.7,1,100,40.2645,-111.6232
"Beckey's Wall","Beckey's Wall Area > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740507/beckeys-wall,3.3,-1,Trad,5.7,3,160,40.5729,-111.7529
Flakes,"Ed and Terry Wall > Rock Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741680/flakes,3.4,-1,"Trad, TR",5.7,1,110,40.2645,-111.6232
"Squeeze My Lemon","Lizard Head Wall > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105822918/squeeze-my-lemon,3.3,-1,Trad,5.7,1,,40.5733,-111.7596
"Crescent Crack","Crescent Crack Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740015/crescent-crack,2.9,-1,Trad,5.7,2,300,40.5733,-111.771
"The Offwidth","Offwidth Boulder > Secret Garden > Boulders - Little Cottonwood > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109551316/the-offwidth,3.2,-1,Boulder,"5.7 V0+",1,,40.57257,-111.77302
"The Great Chasm","The Great Chasm > Middle Fork > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/105914358/the-great-chasm,3.1,-1,Sport,5.7,3,300,39.5569,-111.6902
"Don't Feed The Monkey","Orangutan Wall > Left Fork > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/107144872/dont-feed-the-monkey,3.1,-1,Sport,5.7,1,95,39.55474,-111.68811
Peterbilt,"Road Kill Wall > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108370948/peterbilt,3.2,-1,Sport,5.7,1,100,39.5566,-111.6855
"Fist Crack","Crack Boulder > Left Fork > Joe's Valley > Central Utah > Utah",https://www.mountainproject.com/route/106148408/fist-crack,3.1,-1,Boulder,"5.7 V0+",1,,39.27402,-111.19141
"Cowboy Ridge","Mt. Kinesava > Zion National Park > Southwest Utah > Utah",https://www.mountainproject.com/route/106601197/cowboy-ridge,3.1,-1,Trad,5.7,10,1200,37.1978,-113.0308
Perhaps,"Green Adjective Gully > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740054/perhaps,3.0,-1,Trad,5.7,2,210,40.5741,-111.7543
"Tingey's Terror","Beckey's Wall Area > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740441/tingeys-terror,2.9,-1,Trad,5.7,4,400,40.5729,-111.7529
"Schoolroom West","Schoolroom Area > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740033/schoolroom-west,2.6,-1,Trad,5.7,3,300,40.5733,-111.754
"The Lost Bolt","First Practice Wall > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106018105/the-lost-bolt,2.9,-1,Sport,5.7,1,100,41.7445,-111.7579
"South Face","South Sixshooter > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/105717562/south-face,2.8,-1,Trad,5.7,3,,38.12093,-109.65158
"Schoolroom Direct Variation","Schoolroom Area > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740036/schoolroom-direct-variation,2.9,-1,Trad,"5.7 R",1,50,40.5733,-111.754
"Breaking the Sabbath","Prophesy Wall > Saint George > Southwest Utah > Utah",https://www.mountainproject.com/route/107072538/breaking-the-sabbath,2.7,-1,Sport,5.7,1,80,37.2939,-113.6932
"Northeast Chimney","Off Balanced Rock > Arches National Park > Southeast Utah > Utah",https://www.mountainproject.com/route/105717982/northeast-chimney,2.8,-1,Trad,"5.7 R",2,150,38.70213,-109.56371
"Adventures in Babysitting","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112542521/adventures-in-babysitting,2.7,-1,Sport,5.7,1,90,38.66006,-109.49974
Neopolitan,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/110130825/neopolitan,2.4,-1,"Sport, TR",5.7,1,90,38.54668,-109.59959
"Losing My Religion","Waterfront, The > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107808135/losing-my-religion,2.6,-1,Trad,5.7,3,205,40.5739,-111.7562
Maudlin,"Salt Lake Slips > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106067460/maudlin,2.6,-1,Sport,5.7,1,115,40.6226,-111.748
Rockapella,"Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741968/rockapella,2.5,-1,Sport,5.7,1,70,40.4507,-111.6717
"Itchy Scratchy","Strone Crag > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111986937/itchy-scratchy,2.5,-1,Trad,5.7,5,410,40.6214,-111.7461
"Hatchet Crack","Schoolroom Area > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740432/hatchet-crack,2.5,-1,Trad,5.7,1,80,40.5733,-111.754
"I'll Make you Famous","Billy the Kid Wall > Left Fork > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106843417/ill-make-you-famous,2.6,-1,Sport,5.7,1,60,39.55489,-111.68758
"Tinker Toys","Tinker Toys > Rock Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105798732/tinker-toys,2.5,-1,"Trad, TR",5.7,1,35,40.265,-111.6223
"Tax Evasion","Penitentiary Wall > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740099/tax-evasion,2.6,-1,Trad,5.7,1,60,40.6221,-111.7634
"Sweet Jane Variation","Beckey's Wall Area > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740438/sweet-jane-variation,2.5,-1,Trad,5.7,2,150,40.5729,-111.7529
"Variety Delight","The Egg > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740993/variety-delight,2.4,-1,Trad,5.7,2,210,40.57405,-111.76875
"Just Say No to Crack","The Egg > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740450/just-say-no-to-crack,2.3,-1,Sport,5.7,1,80,40.57405,-111.76875
Stampede,"The Wild > Rock Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106211464/stampede,2.4,-1,Sport,5.7,1,45,40.2646,-111.6122
"5.6 Corner","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/105936677/56-corner,2.2,-1,Trad,5.7,1,50,38.5092,-109.5995
Serengeti,"The Wild > Rock Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106211506/serengeti,2.4,-1,Sport,5.7,1,35,40.2646,-111.6122
"Crack Face","Reservoir Ridge > Storm Mountain Picnic Area > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741017/crack-face,2.3,-1,"Trad, TR",5.7,1,,40.62638,-111.74488
"The Standard Thumb","The Thumb Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741170/the-standard-thumb,2.2,-1,Trad,5.7,11,,40.5746,-111.7574
"Drilling  In The Dark","Fucoidal Quartzite > Logan Canyon > Cache Valley > Northern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106425625/drilling-in-the-dark,2.3,-1,Sport,5.7,1,45,41.78063,-111.64374
"Inner Light","Watchtower Main > The Watchtower > Ferguson Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740003/inner-light,2.3,-1,"Trad, TR",5.7,1,50,40.61349,-111.77922
"Wet Itchies","Engagement Alcove > Left Fork > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/105741191/wet-itchies,2.3,-1,Sport,5.7,1,50,39.5545,-111.6881
"Fear of Gear","Stone Garden > Uinta Mountains > Northeast Utah > Utah",https://www.mountainproject.com/route/105741374/fear-of-gear,2.8,-1,Trad,5.7,1,40,40.74985,-110.87912
"The Hook Variation","Schoolroom Area > Gate Buttress > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740714/the-hook-variation,2.7,-1,Sport,5.7,1,70,40.5733,-111.754
"Black Slab","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/106618148/black-slab,2.1,-1,Sport,5.7,1,50,38.5092,-109.5995
"Grama and the Green Suede Shoes","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106402035/grama-and-the-green-suede-shoes,2.0,-1,Trad,5.7,1,50,38.54668,-109.59959
"Thieving Magpie","Salt Lake Slips > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105739931/thieving-magpie,2.1,-1,Sport,5.7,1,70,40.6226,-111.748
"Facial Fracture","The Red Rock > Red Rock > Draper Area Crags > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741929/facial-fracture,2.1,-1,"Sport, TR",5.7,1,50,40.48757,-111.85656
"Down, Dirty, Doublecrossed","Mule Hollow Wall > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741710/down-dirty-doublecrossed,2.6,-1,Trad,5.7,5,500,40.63207,-111.75115
"Indecent Exposure Variation","The Thumb Area > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741155/indecent-exposure-variation,2.1,-1,Trad,5.7,2,,40.5746,-111.7574
"Standard Route","The Pickle > Arches National Park > Southeast Utah > Utah",https://www.mountainproject.com/route/105920520/standard-route,2.6,-1,"Trad, Aid","5.7 C0",1,90,38.61375,-109.60839
"Starlight Express","Roadside Crag > Echo Canyon > Wasatch Back > Wasatch Range > Utah",https://www.mountainproject.com/route/110235166/starlight-express,2.3,-1,Sport,5.7,1,35,41.00686,-111.3826
"Left Slab","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/105949876/left-slab,2.1,-1,Sport,5.7,1,50,38.5092,-109.5995
"Muddy Ethics","Reservoir Ridge > Storm Mountain Picnic Area > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/114502166/muddy-ethics,2.5,-1,Sport,5.7,1,60,40.62638,-111.74488
"Assembly Line","Industrial Wall > Coalpit Gulch > Little Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105740459/assembly-line,2.0,-1,Sport,5.7,1,80,40.567,-111.73761
Encore,"Storm Mountain Island > Storm Mountain Picnic Area > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105840321/encore,2.2,-1,Trad,5.7,2,120,40.6239,-111.7446
"Six Appeal","Storm Mountain Island > Storm Mountain Picnic Area > Big Cottonwood Canyon > Central Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105739889/six-appeal,2.0,-1,Sport,5.7,1,80,40.6239,-111.7446
"High Hopes","PA's Mother > Rock Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105967748/high-hopes,2.0,-1,"Sport, TR",5.7,1,40,40.2656,-111.6204
"Sun Dog","Good Medicine Area > Ruth Lake > Uinta Mountains > Northeast Utah > Utah",https://www.mountainproject.com/route/105741131/sun-dog,1.9,-1,"Sport, TR",5.7,1,40,40.73091,-110.87835
"One Eyed Willy","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112542433/one-eyed-willy,2.3,-1,Sport,5.7,1,45,38.66006,-109.49974
